CIPLA IN Equity,price,volume,mc,pe,bm,div
2017-08-31,571.9,33011853.0,460199.5595,45.6789,3.668,2.0
2017-09-30,586.1,30490079.0,471626.0917,46.8131,3.7591,2.0
2017-10-31,627.6,24719502.0,505020.5343,50.1278,4.0252,2.0
2017-11-30,600.9,47695459.0,483617.6113,47.9952,3.854,2.0
2017-12-31,608.5,26822955.0,489808.8366,48.6022,3.9027,2.0
2018-01-31,592.15,28307963.0,476677.8585,47.2963,3.7979,2.0
2018-02-28,589.65,40303761.0,474726.6584,47.0966,3.7818,2.0
2018-03-31,545.45,39439224.0,439152.248,31.1152,3.0863,2.0
2018-04-30,607.4,48925473.0,489029.3802,34.6492,3.4368,2.0
2018-05-31,524.8,52100108.0,422526.5373,29.9373,2.9694,2.0
2018-06-30,616.65,77835736.0,496521.1461,35.1768,3.4891,2.0
2018-07-31,641.35,51763614.0,516425.7928,36.5859,3.6289,2.0
2018-08-31,662.15,68406673.0,533174.3021,37.7724,3.7466,3.0
2018-09-30,654.05,48607833.0,526659.2766,37.3103,3.7008,3.0
2018-10-31,629.25,44637953.0,506689.6259,35.8956,3.5604,3.0
2018-11-30,540.85,82560897.0,435520.6253,30.8528,3.0602,3.0
2018-12-31,519.5,41861791.0,418414.9762,29.6349,2.9394,3.0
2019-01-31,517.3,39846847.0,416771.8024,29.5094,2.927,3.0
2019-02-28,554.55,54500270.0,446797.8694,31.6343,3.1378,3.0
2019-03-31,528.9,41612808.0,426134.2265,27.8809,2.8386,3.0
2019-04-30,565.0,69049325.0,455221.2153,29.7839,3.0323,3.0
2019-05-31,558.85,56945710.0,450288.9608,29.4597,2.9993,3.0
2019-06-30,553.45,29464394.0,445937.9536,29.175,2.9703,3.0
2019-07-31,521.1,31864591.0,419917.1923,27.4697,2.7967,3.0
2019-08-31,472.45,55701938.0,380741.788,24.9051,2.5356,3.0
2019-09-30,425.5,41882289.0,342933.6883,22.4302,2.2836,3.0
2019-10-31,466.85,76009014.0,376317.2795,24.6099,2.5056,3.0
2019-11-30,466.7,99609734.0,376265.2598,24.602,2.5048,3.0
2019-12-31,478.2,44207867.0,385538.0364,25.2082,2.5665,3.0
2020-01-31,446.9,52935519.0,360303.1127,23.5582,2.3985,3.0
2020-02-29,402.1,70740402.0,324186.4602,21.1966,2.158,3.0
2020-03-31,422.85,122499264.0,340916.6089,22.0349,2.1628,4.0
2020-04-30,589.6,234636986.0,475358.6553,30.7243,3.0156,4.0
2020-05-31,648.15,195541497.0,522563.9628,33.7754,3.3151,4.0
2020-06-30,640.25,153654957.0,516215.0084,33.3637,3.2747,4.0
2020-07-31,720.15,160307517.0,580662.7804,37.5274,3.6834,4.0
2020-08-31,713.55,224326583.0,575359.2304,37.1834,3.6496,4.0
2020-09-30,774.7,207375896.0,624666.5206,40.37,3.9624,4.0
2020-10-31,754.5,160727949.0,608402.9742,39.3174,3.8591,4.0
2020-11-30,745.6,184049443.0,601286.2077,38.8536,3.8135,4.0
2020-12-31,819.95,140756495.0,661252.9617,42.728,4.1938,4.0
2021-01-31,825.9,92357967.0,666051.3703,43.038,4.2243,4.0
2021-02-28,787.05,114963921.0,634724.6964,41.0135,4.0256,4.0
2021-03-31,815.1,77301811.0,657348.2195,27.334,3.5869,3.0
2021-04-30,910.35,181570695.0,734163.8469,30.5282,4.006,3.0
2021-05-31,949.35,164682842.0,765644.5169,31.836,4.1776,0.0
2021-06-30,971.9,68945092.0,783931.4076,32.5922,4.2769,0.0
2021-07-31,920.05,46732203.0,742109.3426,30.8535,4.0487,0.0
2021-08-31,947.8,63093324.0,764492.4025,31.784,4.1708,5.0
2021-09-30,983.55,56675498.0,793328.2364,32.9829,4.3281,5.0
2021-10-31,905.05,57788865.0,730010.3913,30.3504,3.9827,5.0
2021-11-30,971.3,51873210.0,783502.665,32.5721,4.2742,5.0
2021-12-31,944.1,58065528.0,761690.641,31.66,4.1545,5.0
2022-01-31,945.0,46918470.0,762436.3478,31.6901,4.1585,5.0
2022-02-28,925.05,69874110.0,746343.324,31.0211,4.0707,5.0
2022-03-31,1018.05,82838281.0,821377.0293,32.6298,3.941,5.0
2022-04-30,981.2,38434271.0,791645.9321,31.4487,3.7984,5.0
2022-05-31,992.95,48007733.0,801167.3117,31.8253,3.8439,5.0
2022-06-30,917.2,34575800.0,740095.2866,29.3974,3.5506,5.0
2022-07-31,977.4,28663889.0,788754.446,31.3269,3.7837,5.0
2022-08-31,1038.45,33237488.0,838021.3367,33.2837,4.02,5.0
2022-09-30,1114.95,42244087.0,899766.4373,35.7356,4.3161,5.0
2022-10-31,1167.4,30202129.0,942093.6713,37.4167,4.5192,5.0
2022-11-30,1139.65,37386269.0,919781.2368,36.5272,4.4118,5.0
2022-12-31,1075.95,31975733.0,868370.6592,34.4856,4.1652,5.0
2023-01-31,1017.95,27895754.0,821632.1635,32.6266,3.9406,5.0
2023-02-28,906.4,34187249.0,731595.2582,29.0513,3.5088,5.0
2023-03-31,900.5,55460273.0,726839.109,25.9361,3.1051,5.0
2023-04-30,908.05,38638721.0,732933.096,26.1535,3.1312,5.0
2023-05-31,953.05,53311604.0,769261.1027,27.4496,3.2863,5.0
2023-06-30,1014.95,35165316.0,819292.4413,29.2324,3.4998,5.0
2023-07-31,1175.0,43202740.0,948505.8932,33.8422,4.0517,8.5
2023-08-31,1257.6,48756080.0,1015273.421,36.2212,4.3365,8.5
2023-09-30,1186.15,33195555.0,957599.6265,34.1633,4.0901,8.5
2023-10-31,1200.0,34969325.0,968790.5148,34.5622,4.1379,8.5
2023-11-30,1212.3,37049953.0,978720.6176,34.9165,4.1803,8.5
2023-12-31,1246.3,36417187.0,1006200.801,35.8957,4.2975,8.5
2024-01-31,1351.0,43353025.0,1090742.74,38.9113,4.6585,8.5
2024-02-29,1480.35,30962952.0,1195174.697,42.6368,5.1046,8.5
2024-03-31,1496.95,30118122.0,1208585.642,29.3232,4.5255,8.5
2024-04-30,1400.0,31113330.0,1130352.955,27.4241,4.2324,8.5
