PRJ IN Equity,price,volume,mc,pe,bm,div
2022-03-31,398.45,23292859.0,73184.5419,48.7103,7.992,2.16
2022-04-30,408.8,28958737.0,75085.5584,49.9756,8.1996,2.16
2022-05-31,342.75,24848604.0,62953.9509,41.901,6.8748,2.16
2022-06-30,363.9,20385778.0,66838.6367,44.4866,7.299,2.16
2022-07-31,394.8,12996598.0,72514.1351,48.2641,7.9188,4.2
2022-08-31,421.05,18587165.0,77335.5537,51.4731,8.4453,4.2
2022-09-30,417.15,21902817.0,76619.2287,50.9963,8.3671,4.2
2022-10-31,413.2,37167835.0,75907.7688,50.5134,8.2879,4.2
2022-11-30,391.8,20688559.0,71976.4371,47.8973,7.8587,4.2
2022-12-31,356.15,22627979.0,65429.4163,43.5391,7.1436,4.2
2023-01-31,343.25,10230426.0,63059.5175,41.9621,6.8848,4.2
2023-02-28,351.1,10280485.0,64501.6652,42.9218,7.0423,4.2
2023-03-31,341.0,16784115.0,62646.163,26.1303,5.8113,4.2
2023-04-30,355.45,7239719.0,65300.8171,27.2375,6.0576,4.2
2023-05-31,393.65,17293222.0,72318.6571,30.1648,6.7086,4.2
2023-06-30,377.6,17210023.0,69370.062,28.9349,6.4351,4.2
2023-07-31,427.8,46961611.0,78592.459,32.7816,7.2906,4.5
2023-08-31,492.55,42769720.0,90487.8815,37.7433,8.3941,4.5
2023-09-30,586.6,56472478.0,107766.0974,44.9502,9.9969,4.5
2023-10-31,535.55,20755409.0,98387.5443,41.0383,9.1269,4.5
2023-11-30,644.6,23783813.0,118421.4565,49.3946,10.9853,4.5
2023-12-31,556.0,46840315.0,102200.0769,42.6054,9.4754,4.5
2024-01-31,498.1,15630493.0,91557.2991,38.1686,8.4886,4.5
2024-02-29,499.95,23231996.0,91897.3533,38.3103,8.5202,4.5
2024-03-31,532.95,24283793.0,97963.1852,34.5623,7.6866,4.5
2024-04-30,547.75,13843547.0,100683.619,35.522,7.9,4.5
2024-05-31,522.05,21056819.0,95959.6226,33.8554,7.5294,4.5
2024-06-30,728.65,53985498.0,133935.4066,47.2536,10.5091,4.5
2024-07-31,705.3,22307563.0,129643.371,45.7393,10.1723,6.0
2024-08-31,766.9,46062731.0,140966.2572,49.7341,11.0608,6.0
2024-09-30,801.95,31514981.0,147408.9059,52.0071,11.5663,6.0
2024-10-31,739.3,21488243.0,135893.016,47.9442,10.6627,6.0
2024-11-30,823.75,32322799.0,151416.0312,53.4209,11.8807,6.0
2024-12-31,821.15,18108064.0,150938.1172,53.2523,11.8432,6.0
2025-01-31,631.6,30865211.0,116096.3464,40.9598,9.1094,6.0
2025-02-28,488.45,19741832.0,89783.5028,31.6764,7.0448,6.0
2025-03-31,554.85,16238971.0,101988.6919,46.5869,7.381,6.0
2025-04-30,461.3,16450813.0,84792.9775,38.7322,6.1366,6.0
2025-05-31,479.95,18546223.0,88221.0916,40.2981,6.3847,6.0
2025-06-30,508.85,25848552.0,93533.2898,42.7246,6.7691,6.0
2025-07-31,467.05,11280057.0,85849.9028,39.2149,6.2131,6.0
2025-08-31,391.3,15894406.0,71926.0613,32.8547,5.2054,6.0
2025-09-30,329.95,25176954.0,60649.1284,27.7036,4.3892,6.0
2025-10-31,337.6,22839083.0,62055.2985,28.3459,4.491,6.0
2025-11-30,316.2,15717536.0,58121.6984,26.5491,4.2063,6.0
2025-12-31,322.6,64119600.0,59298.1022,27.0865,4.2915,6.0
2026-01-31,290.15,14729270.0,53333.3675,24.3619,3.8598,6.0
2026-02-28,317.95,128621652.0,58443.3713,26.6961,4.2296,6.0
2026-03-31,308.4,16078366.0,56687.9552,25.8942,4.1026,6.0
