HAVL IN Equity,price,volume,mc,pe,bm,div
2011-04-30,79.4,35294955.0,49535.5969,16.3173,7.5773,0.25
2011-05-31,81.89,45346940.0,51089.0432,16.829,7.8149,0.25
2011-06-30,76.9,70814850.0,47975.9118,15.8035,7.3387,0.25
2011-07-31,72.61,60452475.0,45299.4923,14.9219,6.9293,0.75
2011-08-31,67.01,38849080.0,41805.7978,13.7711,6.3949,0.75
2011-09-30,73.09,21478175.0,45598.9518,15.0206,6.9751,0.5
2011-10-31,71.09,13565910.0,44351.2038,14.6095,6.7842,0.5
2011-11-30,82.75,56578365.0,51625.5748,17.0058,7.897,0.5
2011-12-31,77.04,36825030.0,48063.2542,15.8323,7.352,0.5
2012-01-31,96.19,38902700.0,60010.4416,19.7678,9.1796,0.5
2012-02-29,108.52,55211625.0,67702.8082,22.3017,10.3562,0.5
2012-03-31,114.42,43857960.0,71383.6649,19.2951,7.47,0.5
2012-04-30,111.06,26295630.0,69287.4482,18.7285,7.2506,0.5
2012-05-31,111.81,39563995.0,69755.3537,18.855,7.2996,0.5
2012-06-30,116.64,30508355.0,72768.6652,19.6695,7.6149,0.5
2012-07-31,107.34,35737370.0,66966.6369,18.1012,7.0077,1.3
2012-08-31,108.77,22032255.0,67858.7767,18.3423,7.1011,1.3
2012-09-30,124.9,25803930.0,77921.8646,21.0624,8.1541,1.3
2012-10-31,115.39,31992000.0,71988.8227,19.4587,7.5333,1.3
2012-11-30,114.76,23340555.0,71595.7821,19.3524,7.4922,1.3
2012-12-31,127.32,32989915.0,79431.6397,21.4705,8.3121,1.3
2013-01-31,131.66,37091090.0,82139.2529,22.2024,8.5955,1.3
2013-02-28,127.58,62841560.0,79593.8469,21.5143,8.3291,1.3
2013-03-31,128.76,20848170.0,80330.0183,13.8155,5.5706,1.3
2013-04-30,131.69,16764450.0,82157.9691,14.1298,5.6973,1.3
2013-05-31,147.77,88719710.0,92189.8633,15.8552,6.393,1.3
2013-06-30,147.05,31220845.0,91774.4601,15.7779,6.3619,1.5
2013-07-31,121.69,54319865.0,75947.1884,13.0569,5.2647,1.5
2013-08-31,120.48,33666080.0,75192.0228,12.927,5.2124,1.5
2013-09-30,127.17,37511340.0,79367.2771,13.6448,5.5018,1.5
2013-10-31,147.93,36778450.0,92323.6714,15.8723,6.3999,1.5
2013-11-30,150.78,23175405.0,94102.3672,16.1781,6.5232,1.5
2013-12-31,158.18,17708755.0,98720.7351,16.9721,6.8434,1.5
2014-01-31,155.74,29873080.0,97197.9219,16.7103,6.7378,1.5
2014-02-28,153.76,27921545.0,95962.1964,16.4979,6.6522,1.5
2014-03-31,186.78,25709220.0,116570.1031,26.1085,6.997,2.5
2014-04-30,186.28,24140945.0,116258.0512,26.0386,6.9782,2.5
2014-05-31,194.08,26749815.0,121126.0607,27.1289,7.2704,2.5
2014-06-30,234.5,47044490.0,146352.3352,32.7789,8.7846,3.0
2014-07-31,239.59,31666030.0,149529.0157,33.4904,8.9753,3.0
2014-08-31,284.2,30339232.0,177370.2885,39.726,10.6464,3.0
2014-09-30,264.85,47245578.0,165395.6566,37.0212,9.9215,3.0
2014-10-31,285.4,23910675.0,178228.8858,39.8938,10.6914,3.0
2014-11-30,319.45,25312042.0,199492.7035,44.6533,11.9669,3.0
2014-12-31,275.35,126586590.0,171952.781,38.489,10.3149,3.0
2015-01-31,258.45,43920066.0,161398.9332,36.1266,9.6818,3.0
2015-02-28,270.25,41783180.0,168767.8755,37.7761,10.1238,3.0
2015-03-31,305.25,41096377.0,190624.9733,49.4733,10.4843,2.0
2015-04-30,279.8,27178181.0,174731.7528,45.3485,9.6102,2.0
2015-05-31,275.75,29316795.0,172230.0772,44.6921,9.4711,2.0
2015-06-30,282.65,21506769.0,176539.7328,45.8104,9.7081,3.0
2015-07-31,279.1,21446079.0,174322.4462,45.235,9.5862,3.0
2015-08-31,260.15,18378369.0,162486.508,42.1637,8.9353,3.0
2015-09-30,252.25,13881243.0,157552.2646,40.8833,8.664,3.0
2015-10-31,253.6,14222951.0,158395.4581,41.1021,8.7103,3.0
2015-11-30,285.75,28626144.0,178475.9549,46.3128,9.8146,3.0
2015-12-31,304.7,81737447.0,190311.8931,49.3841,10.4654,3.0
2016-01-31,296.7,38869452.0,185315.1909,48.0875,10.1907,3.0
2016-02-29,272.2,28116679.0,170012.7906,44.1167,9.3492,6.0
2016-03-31,321.35,29380074.0,200711.2794,15.4347,6.6292,6.0
2016-04-30,332.2,29333288.0,207488.0567,15.9558,6.8531,6.0
2016-05-31,364.5,75474867.0,227662.2416,17.5072,7.5194,6.0
2016-06-30,359.9,25583704.0,224885.4393,17.2863,7.4245,6.0
2016-07-31,389.65,38151209.0,243474.8858,18.7152,8.0382,6.0
2016-08-31,417.6,30086056.0,260939.5928,20.0576,8.6148,6.0
2016-09-30,418.2,28377218.0,261314.506,20.0865,8.6272,6.0
2016-10-31,408.0,33529049.0,254940.9814,19.5965,8.4168,6.0
2016-11-30,344.35,36331670.0,215168.9386,16.5394,7.1037,6.0
