CLGT IN Equity,price,volume,mc,pe,bm,div
2014-04-30,717.35,3565502.0,195108.9024,36.1385,32.5247,13.5
2014-05-31,693.43,3871632.0,188601.654,34.9332,31.44,13.5
2014-06-30,754.28,4038406.0,205151.9897,37.9987,34.1989,13.5
2014-07-31,783.1,5068388.0,212991.9593,39.4509,35.5058,13.5
2014-08-31,768.05,10530424.0,208898.5837,38.6927,34.8235,13.5
2014-09-30,871.28,8174796.0,236974.3116,43.8929,39.5037,13.0
2014-10-31,845.2,4127284.0,229882.2771,42.5793,38.3215,13.0
2014-11-30,930.6,9268300.0,253109.8437,46.8816,42.1935,13.0
2014-12-31,892.75,8147588.0,242815.1951,44.9748,40.4774,12.5
2015-01-31,937.78,9906034.0,255061.3577,47.2431,42.5188,12.5
2015-02-28,972.7,6174704.0,264560.7748,49.0025,44.1023,12.5
2015-03-31,1007.15,7276844.0,273930.3627,49.0097,35.5608,12.5
2015-04-30,994.1,6688452.0,270380.9329,48.3747,35.1,12.0
2015-05-31,1001.9,7519534.0,272502.438,48.7543,35.3754,12.0
2015-06-30,1019.88,6455146.0,277391.3717,49.629,36.0101,12.0
2015-07-31,994.93,12046176.0,270605.3295,48.4148,35.1292,12.0
2015-08-31,977.4,9070684.0,265838.7894,47.562,34.5104,12.0
2015-09-30,961.5,13092007.0,261514.209,46.7883,33.949,12.0
2015-10-31,955.35,7053983.0,259841.4972,46.4891,33.7318,12.0
2015-11-30,970.85,4346755.0,264057.2748,47.2433,34.2791,12.0
2015-12-31,972.85,5378258.0,264601.2462,47.3406,34.3497,11.0
2016-01-31,857.95,11226395.0,233350.0942,41.7494,30.2928,11.0
2016-02-29,820.4,6520949.0,223137.0328,39.9221,28.967,11.0
2016-03-31,830.85,10633219.0,225979.2829,39.191,21.9176,11.0
2016-04-30,840.85,4851706.0,228699.1395,39.6627,22.1814,10.0
2016-05-31,861.35,6133324.0,234274.8454,40.6297,22.7222,10.0
