REDI IN Equity,price,volume,mc,pe,bm,div
2020-05-31,43.35,41873832.0,33733.9079,6.5483,0.7829,3.8
2020-06-30,43.93,81668810.0,34181.3588,6.6352,0.7933,3.8
2020-07-31,45.25,44906424.0,35212.4414,6.8353,0.8172,2.15
2020-08-31,53.9,53997534.0,41943.6595,8.142,0.9734,2.15
2020-09-30,59.13,34812414.0,46009.6264,8.9313,1.0678,2.15
2020-10-31,64.78,31218162.0,50406.3172,9.7847,1.1698,2.15
2020-11-30,65.7,25474922.0,51126.1296,9.9245,1.1865,2.15
2020-12-31,66.1,16158946.0,51437.3998,9.9849,1.1938,1.4
2021-01-31,67.5,19970638.0,52526.8454,10.1964,1.219,1.4
2021-02-28,91.5,25701414.0,71203.0572,13.8218,1.6525,1.4
2021-03-31,95.43,40925920.0,74257.3959,9.8174,1.5056,1.4
2021-04-30,89.23,13376740.0,69456.1773,9.1795,1.4078,1.4
2021-05-31,131.3,44409958.0,102208.9782,13.5082,2.0716,0.0
2021-06-30,133.7,53948894.0,104090.6269,13.7551,2.1095,0.0
2021-07-31,163.63,96215406.0,127388.4004,16.8338,2.5817,5.8
2021-08-31,154.25,38944839.0,120514.6371,15.8693,2.4337,5.8
2021-09-30,139.4,34174050.0,108912.4176,14.3416,2.1994,5.8
2021-10-31,143.7,43103160.0,112271.9829,14.784,2.2673,5.8
2021-11-30,147.05,81738152.0,114895.7079,15.1286,2.3201,5.8
2021-12-31,144.85,118439456.0,113185.3032,14.9023,2.2854,5.8
2022-01-31,162.1,181786187.0,126664.3952,16.677,2.5576,5.8
2022-02-28,153.25,101376512.0,119749.0349,15.7665,2.418,5.8
2022-03-31,144.95,62108550.0,113272.1314,8.8384,1.958,5.8
2022-04-30,153.15,183959487.0,119680.0754,9.3384,2.0688,5.8
2022-05-31,130.0,71451920.0,101589.3555,7.9268,1.7561,5.8
2022-06-30,125.55,44625795.0,98111.8737,7.6555,1.696,5.8
2022-07-31,124.65,37787632.0,97409.6348,7.6006,1.6838,6.6
2022-08-31,150.75,105524416.0,117805.876,9.1921,2.0364,6.6
2022-09-30,139.2,79041985.0,108779.9532,8.4878,1.8804,6.6
2022-10-31,136.7,28043310.0,106826.2902,8.3354,1.8466,6.6
2022-11-30,179.55,168828789.0,140313.8932,10.9482,2.4254,6.6
2022-12-31,180.8,99047112.0,141290.7373,11.0244,2.4423,6.6
2023-01-31,184.9,50872996.0,144506.7266,11.2744,2.4977,6.6
2023-02-28,170.4,226255810.0,133174.3981,10.3902,2.3018,6.6
2023-03-31,166.65,34367702.0,130247.1025,9.3519,1.8802,6.6
2023-04-30,168.4,26862980.0,131621.8445,9.4501,1.8999,6.6
2023-05-31,174.15,39500454.0,136116.0583,9.7727,1.9648,6.6
2023-06-30,186.0,42946352.0,145393.5294,10.4377,2.0985,6.6
2023-07-31,180.3,36835934.0,140937.9213,10.1178,2.0342,7.2
2023-08-31,156.85,57498657.0,122607.3929,8.8019,1.7696,7.2
2023-09-30,154.8,49924346.0,121004.9374,8.6869,1.7465,7.2
2023-10-31,142.8,24609273.0,111624.7097,8.0135,1.6111,7.2
2023-11-30,160.7,32096235.0,125621.6198,9.018,1.8131,7.2
2023-12-31,176.8,48061647.0,138207.2332,9.9214,1.9947,7.2
2024-01-31,179.85,29954843.0,140602.1314,10.0926,2.0291,7.2
2024-02-29,206.75,88350645.0,161631.8636,11.6021,2.3326,7.2
2024-03-31,208.45,40304161.0,162960.8801,13.3708,2.1588,7.2
2024-04-30,218.6,62800722.0,170895.8906,14.0218,2.2639,7.2
2024-05-31,198.15,35009326.0,154908.6035,12.7101,2.0521,7.2
2024-06-30,214.22,35749069.0,167471.7186,13.7409,2.2185,7.2
2024-07-31,212.33,35979155.0,165994.1649,13.6196,2.199,6.2
2024-08-31,201.85,23956095.0,157801.1689,12.9474,2.0904,6.2
2024-09-30,184.67,23841994.0,144370.2842,11.8454,1.9125,6.2
2024-10-31,194.46,57431713.0,152023.8559,12.4734,2.0139,6.2
2024-11-30,197.63,48179697.0,154502.0808,12.6767,2.0467,6.2
2024-12-31,200.07,62669363.0,156409.6104,12.8332,2.072,6.2
2025-01-31,206.23,119283882.0,161225.3409,13.2284,2.1358,6.2
2025-02-28,224.32,213125973.0,175367.6404,14.3887,2.3231,6.2
2025-03-31,242.95,133384215.0,189932.098,11.8339,2.1779,6.2
2025-04-30,245.71,101074616.0,192089.7954,11.9683,2.2026,6.2
2025-05-31,258.67,111414234.0,202221.5921,12.5996,2.3188,6.2
2025-06-30,325.35,86011201.0,254350.3111,15.8475,2.9165,6.2
2025-07-31,250.2,51932596.0,195599.9626,12.187,2.2429,6.8
2025-08-31,240.85,42342385.0,188290.3717,11.7316,2.159,6.8
2025-09-30,283.43,356393748.0,221578.327,13.8057,2.5407,6.8
2025-10-31,253.75,82920958.0,198375.2619,12.36,2.2747,6.8
2025-11-30,281.1,217482984.0,219756.7926,13.6922,2.5198,6.8
2025-12-31,272.35,40270104.0,212916.2663,13.266,2.4414,6.8
2026-01-31,271.45,52467156.0,212212.6693,13.2221,2.4333,6.8
2026-02-28,280.45,128084920.0,219248.6392,13.6605,2.514,6.8
2026-03-31,249.5,37088619.0,195052.7205,12.1529,2.2366,6.8
