ADSEZ IN Equity,price,volume,mc,pe,bm,div
2022-03-31,774.2,114617745.0,1635399.355,34.2263,3.8949,5.0
2022-04-30,856.4,200130482.0,1809036.434,37.8603,4.3084,5.0
2022-05-31,739.85,147223692.0,1562839.334,32.7078,3.7221,5.0
2022-06-30,672.05,79331862.0,1419620.429,29.7104,3.381,5.0
2022-07-31,763.7,63915292.0,1613219.436,33.7622,3.8421,5.0
2022-08-31,842.15,151588840.0,1778935.116,37.2303,4.2367,5.0
2022-09-30,820.65,206517199.0,1733519.091,36.2798,4.1286,5.0
2022-10-31,823.55,121705548.0,1739644.974,36.408,4.1432,5.0
2022-11-30,881.0,172018725.0,1903082.411,38.9478,4.4322,5.0
2022-12-31,818.1,112482156.0,1767209.671,36.1671,4.1158,5.0
2023-01-31,612.65,240870235.0,1323409.125,27.0844,3.0822,5.0
2023-02-28,592.45,590064054.0,1279774.318,26.1914,2.9805,5.0
2023-03-31,631.9,336614106.0,1364991.799,25.7079,2.9963,5.0
2023-04-30,681.3,77520319.0,1471702.663,27.7177,3.2305,5.0
2023-05-31,738.85,187563306.0,1596018.66,30.059,3.5034,5.0
2023-06-30,739.25,141123590.0,1596882.715,30.0753,3.5053,5.0
2023-07-31,777.85,65968954.0,1680264.078,31.6456,3.6884,5.0
2023-08-31,792.2,197804945.0,1711262.072,32.2295,3.7564,5.0
2023-09-30,825.15,142673039.0,1782438.651,33.57,3.9126,5.0
2023-10-31,784.75,67441311.0,1695169.037,31.9264,3.7211,5.0
2023-11-30,825.5,88153577.0,1783194.699,33.5842,3.9143,5.0
2023-12-31,1024.35,226636232.0,2212738.328,41.6741,4.8572,5.0
2024-01-31,1207.65,181175994.0,2608691.797,49.1314,5.7264,5.0
2024-02-29,1320.5,82247830.0,2852463.477,53.7225,6.2615,5.0
2024-03-31,1341.85,68990985.0,2898582.443,35.735,5.4747,5.0
2024-04-30,1324.9,87854078.0,2861968.088,35.2836,5.4056,5.0
2024-05-31,1437.4,101646798.0,3104983.72,38.2796,5.8646,5.0
2024-06-30,1478.1,218777824.0,3192901.375,39.3635,6.0306,6.0
2024-07-31,1569.9,65691064.0,3391202.13,41.8083,6.4052,6.0
2024-08-31,1481.9,62512639.0,3201109.903,39.4647,6.0461,6.0
2024-09-30,1448.2,43142607.0,3128313.22,38.5672,5.9086,6.0
2024-10-31,1375.95,47719027.0,2972243.181,36.6431,5.6139,6.0
2024-11-30,1190.05,171461666.0,2570673.352,31.6924,4.8554,6.0
2024-12-31,1231.1,85216406.0,2659347.055,32.7856,5.0229,6.0
2025-01-31,1099.35,80351641.0,2374748.749,29.277,4.4853,6.0
2025-02-28,1069.4,68051813.0,2310052.588,28.4794,4.3631,6.0
2025-03-31,1182.95,45882023.0,2555336.365,23.037,4.0928,6.0
2025-04-30,1216.5,52221313.0,2627809.027,23.6904,4.2088,6.0
2025-05-31,1432.8,82728772.0,3095047.08,27.9026,4.9572,6.0
2025-06-30,1450.2,60257792.0,3132633.498,28.2415,5.0174,7.0
2025-07-31,1373.1,24370705.0,2966086.785,26.74,4.7506,7.0
2025-08-31,1312.8,54805372.0,2835830.407,25.5657,4.542,7.0
2025-09-30,1403.5,54538596.0,3031755.009,27.332,4.8558,7.0
2025-10-31,1451.5,49148604.0,3135441.679,28.2668,5.0219,7.0
2025-11-30,1516.9,43457512.0,3276714.766,29.5404,5.2482,7.0
2025-12-31,1469.8,33961029.0,3386359.082,28.6232,5.0852,7.0
2026-01-31,1419.8,45163664.0,3271161.127,27.6495,4.9122,7.0
2026-02-28,1521.0,60370247.0,3504321.788,29.6203,5.2624,7.0
2026-03-31,1499.0,11118993.0,3453634.688,29.1918,5.1862,7.0
