CIFC IN Equity,price,volume,mc,pe,bm,div
2009-12-31,13.68,4386725.0,3568.8383,2.5049,1.0986,0.0
2010-01-31,12.47,6805095.0,3253.1735,2.5049,1.0014,0.0
2010-02-28,14.19,6445870.0,3701.8871,2.5049,1.1395,0.0
2010-03-31,18.74,47176140.0,4888.8911,13.4322,1.6148,0.0
2010-04-30,25.13,81517125.0,6555.9142,18.0123,2.1654,0.0
2010-05-31,25.77,90236660.0,6722.8774,18.4711,2.2206,0.2
2010-06-30,27.13,36249115.0,12978.8565,19.4459,2.3377,0.2
2010-07-31,29.84,61434180.0,14275.3069,21.3883,2.5713,0.2
2010-08-31,31.65,41657735.0,15141.2019,22.6857,2.7272,0.2
2010-09-30,34.82,37248330.0,16657.714,24.9578,3.0004,0.2
2010-10-31,36.41,23125590.0,17418.3621,26.0975,3.1374,0.2
2010-11-30,37.33,38487930.0,19608.3293,26.7569,3.2167,0.2
2010-12-31,37.87,21141155.0,19891.9751,27.1439,3.2632,0.2
2011-01-31,34.98,9603830.0,18373.9447,25.0725,3.0142,0.2
2011-02-28,31.28,6370620.0,16430.4457,22.4205,2.6953,0.2
2011-03-31,34.98,5502915.0,18373.9447,22.6261,1.9667,0.2
2011-04-30,32.51,5064330.0,17076.5278,21.0285,1.8278,0.2
2011-05-31,31.04,2632675.0,16305.1719,20.0776,1.7452,0.2
2011-06-30,32.16,5731915.0,16893.5028,20.8021,1.8082,0.2
2011-07-31,34.01,20381290.0,17865.2995,21.9987,1.9122,0.3
2011-08-31,30.61,3067880.0,16079.2948,19.7995,1.721,0.3
2011-09-30,29.46,1185755.0,17571.6824,19.0556,1.6564,0.3
2011-10-31,32.1,992070.0,19146.3341,20.7633,1.8048,0.3
2011-11-30,26.17,1729150.0,15609.6726,16.9276,1.4714,0.3
2011-12-31,22.62,1312060.0,13492.197,14.6313,1.2718,0.3
2012-01-31,30.61,8729450.0,18258.0084,19.7995,1.721,0.3
2012-02-29,33.61,15062940.0,20048.2142,21.74,1.8897,0.6
2012-03-31,37.64,3015900.0,22452.0911,13.3475,1.779,0.6
2012-04-30,36.01,1873555.0,23866.455,12.7695,1.702,0.6
2012-05-31,33.75,4993055.0,22368.9099,11.9681,1.5952,0.6
2012-06-30,34.22,606040.0,22680.4177,12.1348,1.6174,0.6
2012-07-31,42.69,17725170.0,28294.1856,15.1383,2.0177,0.5
2012-08-31,41.21,2810150.0,27313.5756,14.6135,1.9477,0.5
2012-09-30,43.6,5533430.0,28897.6437,15.461,2.0607,0.5
2012-10-31,44.11,5549785.0,29235.6666,15.6418,2.0848,0.5
2012-11-30,49.67,25718985.0,32922.9163,17.6135,2.3476,0.5
2012-12-31,53.85,15302660.0,35693.5583,19.0957,2.5452,0.5
2013-01-31,56.77,13406090.0,37631.4129,20.1312,2.6832,0.7
2013-02-28,61.22,24115060.0,43805.2659,21.7092,2.8935,0.7
2013-03-31,54.63,3568050.0,39089.8673,11.8813,2.0039,0.7
2013-04-30,53.67,4090485.0,38402.9504,11.6725,1.9687,0.7
2013-05-31,55.73,3199755.0,39880.3611,12.1205,2.0442,0.7
2013-06-30,48.07,10334535.0,34405.1328,10.4545,1.7633,0.7
2013-07-31,45.25,10739045.0,32387.8242,9.8412,1.6598,0.7
2013-08-31,42.6,2029540.0,30491.0787,9.2649,1.5626,0.7
2013-09-30,44.98,1411680.0,32195.573,9.7825,1.6499,0.7
2013-10-31,45.89,4605910.0,32846.9285,9.9804,1.6833,0.7
2013-11-30,50.26,1488150.0,35974.8665,10.9308,1.8436,0.7
2013-12-31,48.86,1327025.0,34972.7811,10.6264,1.7922,0.7
2014-01-31,49.06,2779155.0,35115.9362,10.6699,1.7996,0.7
2014-02-28,45.48,714395.0,32556.9443,9.8913,1.6683,0.7
2014-03-31,57.66,26878155.0,41281.9768,11.2048,1.807,0.7
2014-04-30,57.73,3268335.0,41332.0937,11.2184,1.8092,0.7
2014-05-31,62.47,6479975.0,44731.2786,12.1395,1.9577,0.7
2014-06-30,77.78,5855490.0,55759.9676,15.1147,2.4375,0.7
2014-07-31,83.73,6106230.0,60046.0785,16.2709,2.624,0.7
2014-08-31,81.29,1964255.0,58319.4041,15.7967,2.5475,0.7
2014-09-30,99.2,5958215.0,71203.5488,19.2771,3.1088,0.7
2014-10-31,96.99,1561645.0,69624.0975,18.8476,3.0395,0.7
2014-11-30,90.23,1716645.0,64776.3725,17.534,2.8277,0.7
2014-12-31,94.73,3402410.0,68020.2986,18.4085,2.9687,0.7
2015-01-31,108.62,61820265.0,77997.7818,21.1077,3.404,0.7
2015-02-28,113.98,5309085.0,81869.5577,22.1492,3.572,0.7
2015-03-31,117.82,4923045.0,84635.5285,19.1562,3.1677,0.7
2015-04-30,117.65,6998955.0,84535.7419,19.1285,3.1631,0.7
2015-05-31,115.81,3808085.0,83235.4952,18.8294,3.1137,0.7
2015-06-30,125.17,2708210.0,89964.2281,20.3512,3.3653,0.7
2015-07-31,138.1,4051255.0,99261.0397,22.4535,3.713,0.7
2015-08-31,121.12,7594430.0,87056.46,19.6927,3.2564,0.7
2015-09-30,130.27,6996035.0,93650.2077,21.1804,3.5024,0.7
2015-10-31,124.27,23676035.0,96995.1659,20.2049,3.3411,0.7
2015-11-30,129.08,6206505.0,100751.6316,20.9869,3.4704,0.7
2015-12-31,128.37,5835270.0,100198.7044,20.8715,3.4514,0.7
2016-01-31,126.4,5352350.0,98661.0286,20.5512,3.3984,0.7
2016-02-29,128.84,12490035.0,100571.105,20.9479,3.464,0.7
2016-03-31,144.25,7334750.0,112612.695,19.0094,5.6232,0.7
2016-04-30,159.84,7309360.0,124791.5996,21.0639,6.2309,0.7
