ONGC IN Equity,price,volume,mc,pe,bm,div
2018-12-31,149.9,301853517.0,1923701.954,8.6999,0.9429,3.6
2019-01-31,141.25,196211420.0,1812694.469,8.1979,0.8885,3.6
2019-02-28,148.65,291613648.0,1907660.41,8.6274,0.935,6.6
2019-03-31,159.75,352946828.0,2009699.603,6.6981,0.9264,6.25
2019-04-30,169.2,330111107.0,2128583.242,7.0943,0.9812,6.25
2019-05-31,171.95,236190685.0,2163179.01,7.2096,0.9972,6.25
2019-06-30,167.75,189434636.0,2110341.837,7.0335,0.9728,6.25
2019-07-31,138.85,294945639.0,1746771.768,5.8218,0.8052,6.25
2019-08-31,121.2,242307196.0,1524729.84,5.0818,0.7029,7.0
2019-09-30,131.8,288352227.0,1658080.799,5.5262,0.7643,7.0
2019-10-31,141.7,241443720.0,1782625.564,5.9413,0.8217,7.0
2019-11-30,131.75,172547627.0,1657451.785,5.5241,0.764,7.0
2019-12-31,128.8,175833657.0,1620339.962,5.4004,0.7469,7.0
2020-01-31,108.95,357814322.0,1370621.42,4.5681,0.6318,7.0
2020-02-29,91.95,472159934.0,1156756.673,3.8553,0.5332,7.0
2020-03-31,68.3,1190530180.0,859233.0698,7.9511,0.4189,6.75
2020-04-30,79.9,556835123.0,1005164.309,9.3015,0.4901,6.75
2020-05-31,83.2,449299373.0,1046679.23,9.6857,0.5103,5.75
2020-06-30,81.35,577231555.0,1023405.713,9.4703,0.499,5.75
2020-07-31,78.3,406075615.0,985035.8618,9.1153,0.4803,5.75
2020-08-31,81.95,423986020.0,1030953.881,9.5402,0.5026,5.75
2020-09-30,69.25,463793648.0,871184.335,8.0617,0.4248,5.75
2020-10-31,64.9,452805802.0,816460.101,7.5553,0.3981,5.0
2020-11-30,78.5,506383940.0,987551.8941,9.1385,0.4815,5.0
2020-12-31,93.05,1051321187.0,1170594.952,10.8324,0.5707,5.0
2021-01-31,88.3,659434659.0,1110838.627,10.2794,0.5416,5.0
2021-02-28,111.0,878823629.0,1396410.959,12.922,0.6808,1.75
2021-03-31,102.15,696284687.0,1285075.49,7.8819,0.5815,1.75
2021-04-30,108.15,439079891.0,1360557.164,8.3449,0.6157,1.75
2021-05-31,113.65,593533726.0,1429748.698,8.7693,0.647,1.75
2021-06-30,117.7,740190324.0,1480698.827,9.0818,0.6701,1.75
2021-07-31,115.3,336471960.0,1450506.193,8.8966,0.6564,1.75
2021-08-31,120.55,303488690.0,1516552.659,9.3017,0.6863,1.75
2021-09-30,144.5,582879864.0,1817850.346,11.1497,0.8226,3.6
2021-10-31,149.05,728595445.0,1875090.616,11.5008,0.8485,3.6
2021-11-30,142.1,379961559.0,1787657.675,10.9645,0.809,9.1
2021-12-31,142.4,238009586.0,1791431.759,10.9877,0.8107,9.1
2022-01-31,172.6,397105309.0,2171356.191,13.3179,0.9826,9.1
2022-02-28,160.65,422993834.0,2021021.854,12.3958,0.9146,9.1
2022-03-31,163.9,922094651.0,2061907.763,4.5289,0.7946,9.1
2022-04-30,160.45,323079581.0,2018505.799,4.4335,0.7778,9.1
2022-05-31,151.25,474338708.0,1902767.231,4.1793,0.7332,9.1
2022-06-30,151.55,781364307.0,1906541.314,4.1876,0.7347,9.1
2022-07-31,134.15,835457928.0,1687644.456,3.7068,0.6503,9.1
2022-08-31,138.6,509349052.0,1743626.698,3.8298,0.6719,10.5
2022-09-30,126.8,350062978.0,1595179.403,3.5037,0.6147,10.5
2022-10-31,134.05,287130334.0,1686386.428,3.7041,0.6499,10.5
2022-11-30,141.1,298657213.0,1775077.396,3.8989,0.684,11.75
2022-12-31,146.75,316380978.0,1846155.974,4.055,0.7114,11.75
2023-01-31,144.9,322567916.0,1822882.457,4.0039,0.7025,11.75
2023-02-28,152.05,251698862.0,1912831.453,4.2014,0.7371,14.0
2023-03-31,151.05,205890775.0,1900251.174,5.1765,0.672,14.0
2023-04-30,158.95,187874187.0,1999635.38,5.4472,0.7071,14.0
2023-05-31,154.9,340531929.0,1948685.249,5.3084,0.6891,14.0
