CHOLAHLD IN Equity,price,volume,mc,pe,bm,div
2015-07-31,274.48,1582874.0,74096.1243,12.097,1.8164,2.0
2015-08-31,278.95,1969387.0,75303.4503,12.2941,1.846,2.0
2015-09-30,283.42,1186015.0,76525.7327,12.4912,1.8756,2.0
2015-10-31,275.21,1265263.0,74307.1885,12.129,1.8212,2.0
2015-11-30,278.74,1536100.0,75276.3157,12.2849,1.8446,2.0
2015-12-31,296.5,3516694.0,80070.0313,13.0672,1.9621,2.0
2016-01-31,288.14,1452279.0,77829.6249,12.699,1.9068,2.0
2016-02-29,250.8,1574250.0,67763.2389,11.0534,1.6597,2.0
2016-03-31,268.38,2890617.0,72512.4733,4.8365,1.5125,2.0
2016-04-30,284.29,2914336.0,76812.0761,5.1233,1.6022,2.0
2016-05-31,305.82,2564148.0,82629.1858,5.5113,1.7236,2.0
2016-06-30,336.68,3019120.0,90966.1062,6.0674,1.8975,2.0
2016-07-31,380.99,1538533.0,102937.5493,6.8658,2.1472,5.5
2016-08-31,387.82,3899153.0,104782.9126,6.9889,2.1857,5.5
2016-09-30,409.48,1838013.0,110637.4916,7.3794,2.3078,5.0
2016-10-31,451.82,1062050.0,122074.9971,8.1423,2.5464,5.0
2016-11-30,402.24,3119310.0,108679.7204,7.2488,2.267,5.0
2016-12-31,405.5,2177507.0,109613.6642,7.3076,2.2853,5.0
2017-01-31,399.26,1107645.0,107926.7234,7.1951,2.2502,5.0
2017-02-28,431.85,1824370.0,116736.3031,7.7824,2.4338,6.25
2017-03-31,435.21,1489956.0,117651.6594,48.6811,6.8693,6.25
2017-04-30,468.11,3023409.0,126546.0611,52.3613,7.3886,4.75
2017-05-31,480.07,1939147.0,129779.5369,53.6993,7.5774,4.75
2017-06-30,462.84,2158446.0,125145.0666,51.7719,7.3054,4.75
2017-07-31,537.8,4830158.0,145412.0055,60.1562,8.4885,1.25
2017-08-31,550.0,2836458.0,103119.8446,61.5213,8.6811,1.25
2017-09-30,563.85,529738.0,105716.5665,63.0705,8.8997,1.25
2017-10-31,588.2,3406191.0,110281.9623,65.7942,9.2841,1.25
2017-11-30,565.15,3999951.0,105960.3058,63.2159,8.9203,1.25
2017-12-31,687.3,2411878.0,128885.815,76.8792,10.8483,1.25
2018-01-31,689.15,2303868.0,129232.7359,77.0861,10.8775,1.25
2018-02-28,670.4,1139560.0,125716.6474,74.9888,10.5815,1.85
2018-03-31,649.9,1951187.0,121878.149,22.2016,3.6826,1.85
2018-04-30,722.45,3080039.0,135520.0796,24.68,4.0937,0.6
2018-05-31,671.35,1281313.0,125943.0553,22.9344,3.8041,0.6
2018-06-30,614.55,2084779.0,115298.7515,20.994,3.4823,0.6
2018-07-31,628.1,2429362.0,117854.6904,21.4569,3.559,1.25
2018-08-31,586.6,1367050.0,110067.7621,20.0392,3.3239,1.25
2018-09-30,551.9,1287714.0,103584.7081,18.8538,3.1273,1.25
2018-10-31,487.15,2165159.0,91431.9452,16.6418,2.7604,1.25
2018-11-30,520.85,1771872.0,97757.0125,17.7931,2.9513,1.25
2018-12-31,526.2,2187039.0,98761.1404,17.9758,2.9816,1.25
2019-01-31,444.3,1267537.0,83389.5376,15.178,2.5176,1.25
