OLECTRA IN Equity,price,volume,mc,pe,bm,div
2024-03-31,1888.55,32517489.0,155013.5759,201.7682,16.9696,0.4
2024-04-30,1726.7,20727063.0,141728.8086,184.4765,15.5153,0.4
2024-05-31,1746.15,17918782.0,143325.2789,186.5545,15.6901,0.4
2024-06-30,1779.25,22134721.0,146042.1513,190.0908,15.9875,0.4
2024-07-31,1709.1,21018133.0,140284.1876,182.5962,15.3572,0.4
2024-08-31,1561.9,20680297.0,128201.9031,166.8697,14.0345,0.4
2024-09-30,1655.45,17855904.0,135880.5561,176.8643,14.8751,0.4
2024-10-31,1647.3,24229462.0,135211.5981,175.9936,14.8019,0.4
2024-11-30,1596.3,9307926.0,131025.4805,170.5449,14.3436,0.4
2024-12-31,1446.55,8999132.0,118733.8901,154.5459,12.998,0.4
2025-01-31,1466.2,23436440.0,120346.7766,156.6453,13.1746,0.4
2025-02-28,1071.65,11578403.0,87961.8218,114.4925,9.6293,0.4
2025-03-31,1167.5,19001278.0,95829.2604,69.0012,9.133,0.4
2025-04-30,1161.5,12343845.0,95336.776,68.6466,9.0861,0.4
2025-05-31,1229.6,19059960.0,100926.4742,72.6714,9.6188,0.4
2025-06-30,1171.6,6816449.0,96165.7915,69.2435,9.1651,0.4
2025-07-31,1409.0,35021800.0,115651.7584,83.2742,11.0222,0.4
2025-08-31,1542.2,25410519.0,126584.9126,91.1466,12.0642,0.4
2025-09-30,1552.9,18970572.0,127463.1765,91.779,12.1479,0.4
2025-10-31,1548.5,7763550.0,127102.0212,91.5189,12.1135,0.4
2025-11-30,1250.4,6559616.0,102633.7535,73.9007,9.7815,0.4
2025-12-31,1199.0,8623457.0,98414.8037,70.8629,9.3794,0.4
2026-01-31,1084.6,11286531.0,89024.7674,64.1017,8.4845,0.4
2026-02-28,997.1,8599954.0,81842.7029,58.9303,7.8,0.4
2026-03-31,930.9,1671571.0,76408.9601,55.0177,7.2822,0.4
