MRF IN Equity,price,volume,mc,pe,bm,div
2022-11-30,93557.55,350683.0,396790.9483,59.2898,2.8278,150.0
2022-12-31,88535.45,183725.0,375491.504,56.1072,2.676,150.0
2023-01-31,90869.4,212714.0,385390.1197,57.5863,2.7466,150.0
2023-02-28,85256.6,186498.0,361585.4323,54.0293,2.5769,150.0
2023-03-31,84047.2,119345.0,356456.1939,46.3555,2.4236,150.0
2023-04-30,89006.8,66625.0,377490.5668,49.0909,2.5666,150.0
2023-05-31,97211.7,321622.0,412288.721,53.6163,2.8032,150.0
2023-06-30,101260.5,166111.0,429460.2608,55.8494,2.92,150.0
2023-07-31,102956.3,101665.0,436652.3911,56.7847,2.9689,175.0
2023-08-31,108686.3,163439.0,460954.1404,59.945,3.1341,175.0
2023-09-30,107295.6,122305.0,455055.9829,59.178,3.094,175.0
2023-10-31,108297.8,109416.0,459306.4564,59.7307,3.1229,175.0
2023-11-30,111683.0,135178.0,473663.5737,61.5978,3.2205,175.0
2023-12-31,129579.3,142560.0,549564.3411,71.4684,3.7366,175.0
2024-01-31,142577.4,281535.0,604691.142,78.6374,4.1114,175.0
2024-02-29,146081.5,351853.0,619552.5312,80.57,4.2124,175.0
2024-03-31,133387.3,193661.0,565714.6137,27.1817,3.3869,175.0
2024-04-30,133019.5,144382.0,564154.7213,27.1068,3.3776,175.0
2024-05-31,125431.5,228880.0,531972.9282,25.5605,3.1849,175.0
2024-06-30,129459.1,178539.0,549054.5558,26.3813,3.2872,175.0
2024-07-31,142249.0,265954.0,603298.3506,28.9876,3.6119,200.0
2024-08-31,134833.5,214454.0,571848.1547,27.4765,3.4236,200.0
2024-09-30,138513.7,134695.0,587456.4092,28.2264,3.5171,200.0
2024-10-31,122524.5,133933.0,519643.9255,24.9681,3.1111,200.0
2024-11-30,125251.3,168064.0,531208.6742,25.5238,3.1803,200.0
2024-12-31,130634.9,124610.0,554041.2917,26.6209,3.317,200.0
2025-01-31,113632.5,157201.0,481931.6819,23.1561,2.8853,200.0
2025-02-28,105373.7,140224.0,446904.9301,21.4731,2.6756,200.0
2025-03-31,112677.8,130414.0,477882.6627,25.558,2.5848,200.0
2025-04-30,134505.0,165704.0,570454.9392,30.509,3.0855,200.0
2025-05-31,138865.0,220675.0,588946.3227,31.4979,3.1855,200.0
2025-06-30,142360.0,195551.0,603769.1175,32.2907,3.2657,200.0
2025-07-31,147845.0,177192.0,627031.7868,33.5348,3.3915,235.0
2025-08-31,140955.0,131880.0,597810.3116,31.972,3.2334,235.0
2025-09-30,145820.0,211210.0,618443.4723,33.0755,3.345,235.0
2025-10-31,157515.0,152248.0,668043.6396,35.7282,3.6133,235.0
2025-11-30,152420.0,99064.0,646435.0161,34.5725,3.4964,235.0
2025-12-31,152855.0,97608.0,648279.9133,34.6712,3.5064,235.0
2026-01-31,132165.0,130729.0,560530.6646,29.9782,3.0318,235.0
2026-02-28,140985.0,222631.0,597937.5459,31.9788,3.2341,235.0
2026-03-31,140055.0,31195.0,593993.2829,31.7678,3.2128,235.0
