JKCE IN Equity,price,volume,mc,pe,bm,div
2016-08-31,796.05,1389072.0,55665.5903,96.2576,3.5075,4.0
2016-09-30,875.75,622892.0,61238.7924,105.8948,3.8587,4.0
2016-10-31,953.8,397156.0,66696.6146,115.3325,4.2026,4.0
2016-11-30,727.15,730315.0,50847.6025,87.9262,3.204,4.0
2016-12-31,719.85,270405.0,50324.5294,87.0435,3.1718,4.0
2017-01-31,722.9,3445942.0,50537.7541,87.4123,3.1852,4.0
2017-02-28,886.0,1648730.0,61940.0334,107.1342,3.9039,4.0
2017-03-31,934.95,698304.0,65362.1154,36.7801,3.8218,4.0
2017-04-30,974.75,830007.0,68145.0884,38.3458,3.9845,4.0
2017-05-31,1109.8,1505849.0,77586.4777,43.6585,4.5365,4.0
2017-06-30,938.9,566592.0,65638.8033,36.9355,3.8379,4.0
2017-07-31,1018.0,659332.0,71168.7099,40.0472,4.1613,8.0
2017-08-31,1005.1,391049.0,70266.8667,39.5397,4.1085,8.0
2017-09-30,954.0,1011558.0,66694.4492,37.5295,3.8996,8.0
2017-10-31,1002.4,978480.0,70078.1089,39.4335,4.0975,8.0
2017-11-30,999.55,1327113.0,69878.8674,39.3214,4.0858,8.0
2017-12-31,1110.7,864790.0,77649.4002,43.6939,4.5402,8.0
2018-01-31,1114.9,958743.0,77943.0236,43.8592,4.5573,8.0
2018-02-28,1011.8,553142.0,70752.3916,39.8033,4.1359,8.0
2018-03-31,1015.05,1219309.0,70979.6551,24.5122,3.5941,8.0
2018-04-30,1000.2,1376033.0,69941.2355,24.1536,3.5416,8.0
2018-05-31,940.1,808874.0,65738.6077,22.7022,3.3288,8.0
2018-06-30,869.85,525307.0,60826.2184,21.0058,3.08,8.0
2018-07-31,768.2,1759429.0,53718.1135,18.5511,2.7201,10.0
2018-08-31,800.6,628212.0,55983.7564,19.3335,2.8348,10.0
2018-09-30,767.0,466493.0,53634.2008,18.5221,2.7158,10.0
2018-10-31,672.65,1251603.0,47036.5647,16.2437,2.3818,10.0
2018-11-30,711.45,1278541.0,49749.742,17.1806,2.5191,10.0
2018-12-31,713.55,545632.0,49896.5892,17.2313,2.5266,10.0
2019-01-31,708.8,658693.0,54767.7363,17.1166,2.5098,10.0
2019-02-28,725.4,409139.0,56050.3893,17.5175,2.5685,10.0
2019-03-31,866.7,772457.0,66968.3931,23.5901,2.4849,10.0
2019-04-30,903.35,2369730.0,69800.2745,24.5876,2.59,10.0
2019-05-31,1043.0,1931046.0,80590.7858,28.3887,2.9904,10.0
2019-06-30,1001.75,1577792.0,77403.4704,27.2659,2.8721,10.0
2019-07-31,966.0,1121187.0,74641.1305,26.2929,2.7696,10.0
2019-08-31,1029.2,1145546.0,79524.4839,28.0131,2.9508,10.0
2019-09-30,1050.35,1146142.0,81158.7074,28.5887,3.0115,10.0
2019-10-31,1117.05,826639.0,86312.4998,30.4042,3.2027,10.0
2019-11-30,1157.1,1548231.0,89407.0932,31.4943,3.3176,10.0
2019-12-31,1168.85,829645.0,90314.9952,31.8141,3.3512,10.0
2020-01-31,1385.95,2896872.0,107089.9325,37.7232,3.9737,10.0
2020-02-29,1387.55,1822579.0,107213.5617,37.7667,3.9783,10.0
2020-03-31,935.55,2408140.0,72288.3122,14.5618,2.3876,7.5
2020-04-30,1119.3,2221863.0,86486.3533,17.4219,2.8565,7.5
2020-05-31,1168.3,1237235.0,90272.4976,18.1846,2.9816,7.5
2020-06-30,1379.0,2327034.0,106552.9181,21.4642,3.5193,7.5
2020-07-31,1500.05,2446920.0,115906.2399,23.3483,3.8282,7.5
2020-08-31,1489.6,1707451.0,115098.7867,23.1856,3.8015,7.5
2020-09-30,1506.85,2123745.0,116431.664,23.4541,3.8456,7.5
2020-10-31,1851.4,2517032.0,143023.1142,28.8171,4.7249,7.5
2020-11-30,2029.95,2842707.0,156816.3394,31.5962,5.1806,7.5
2020-12-31,1916.8,4058043.0,148075.3513,29.835,4.8918,7.5
2021-01-31,2130.9,2570213.0,164614.8612,33.1675,5.4382,7.5
2021-02-28,2688.1,4376972.0,207659.3029,41.8403,6.8602,7.5
2021-03-31,2897.25,1798034.0,223816.4187,31.5427,5.9909,7.5
2021-04-30,2806.4,816655.0,216798.1353,30.5536,5.8031,0.0
2021-05-31,2849.45,1183716.0,220123.8051,31.0223,5.8921,0.0
2021-06-30,2851.5,1710948.0,220282.1703,31.0447,5.8963,0.0
2021-07-31,3259.15,2070127.0,251828.8202,35.4828,6.7393,0.0
2021-08-31,3271.4,1789677.0,252775.3563,35.6162,6.7646,15.0
2021-09-30,3107.75,1888927.0,240130.407,33.8345,6.4262,15.0
2021-10-31,3315.75,2527704.0,256202.2033,36.099,6.8563,15.0
2021-11-30,3234.95,2527652.0,249958.9286,35.2193,6.6892,15.0
2021-12-31,3398.85,2421703.0,262623.1949,37.0037,7.0281,15.0
2022-01-31,3307.95,1912800.0,255599.5109,36.0141,6.8402,15.0
2022-02-28,2846.8,1671374.0,219967.2569,30.9935,5.8866,15.0
2022-03-31,2431.3,7501507.0,187862.2987,27.3406,4.3437,15.0
2022-04-30,2647.1,4093259.0,204536.7872,29.7673,4.7293,15.0
2022-05-31,2382.25,1985308.0,184072.2909,26.789,4.2561,15.0
2022-06-30,2108.95,4742862.0,162954.8779,23.7157,3.7678,15.0
2022-07-31,2504.15,3184500.0,193448.9205,28.1598,4.4739,15.0
2022-08-31,2716.55,2582277.0,209857.1032,30.5483,4.8534,15.0
2022-09-30,2625.65,3963526.0,202834.9572,29.5261,4.691,15.0
2022-10-31,2712.65,2143625.0,209555.823,30.5044,4.8464,15.0
2022-11-30,3079.7,3424276.0,237910.9241,34.632,5.5022,15.0
2022-12-31,2920.6,2475189.0,225620.2373,32.8429,5.2179,15.0
2023-01-31,2710.15,2190946.0,209362.6947,30.4763,4.8419,15.0
2023-02-28,2764.6,3739417.0,213569.0297,31.0886,4.9392,15.0
2023-03-31,2923.7,2016082.0,225859.7164,53.3327,4.823,15.0
2023-04-30,2993.3,1971788.0,231236.4091,54.6023,4.9378,15.0
2023-05-31,3208.3,2634569.0,247845.4452,58.5243,5.2925,15.0
2023-06-30,3381.9,2919116.0,261256.2763,61.691,5.5789,15.0
2023-07-31,3274.65,1416427.0,252971.0711,59.7346,5.4019,15.0
2023-08-31,3295.7,3074349.0,254597.2116,60.1186,5.4367,15.0
2023-09-30,3179.45,2167124.0,245670.5406,57.998,5.2449,15.0
2023-10-31,3154.0,1632465.0,243704.0637,57.5337,5.2029,15.0
2023-11-30,3643.55,3731661.0,281530.7359,66.4639,6.0105,15.0
2023-12-31,3788.25,2336856.0,292711.4519,69.1034,6.2492,15.0
2024-01-31,4363.4,4496080.0,337152.2864,79.595,7.198,15.0
2024-02-29,4514.9,3033653.0,348858.4264,82.3586,7.4479,15.0
2024-03-31,4076.15,2384060.0,314956.9813,39.8256,5.8682,15.0
2024-04-30,3999.5,3398406.0,309034.3699,39.0767,5.7579,15.0
2024-05-31,3872.25,4183297.0,299201.9849,37.8334,5.5747,15.0
2024-06-30,4389.0,4571662.0,339130.3536,42.8823,6.3186,15.0
2024-07-31,4416.95,3062210.0,341290.0013,43.1553,6.3589,20.0
2024-08-31,4453.9,2383456.0,344145.0631,43.5164,6.4121,20.0
2024-09-30,4643.3,3816199.0,358779.6699,45.3669,6.6847,20.0
2024-10-31,4322.3,2139295.0,333976.5613,42.2306,6.2226,20.0
2024-11-30,4278.25,1973495.0,330572.8948,41.8002,6.1592,20.0
2024-12-31,4595.4,2326885.0,355078.5206,44.8989,6.6158,20.0
2025-01-31,4834.85,2952084.0,373580.4033,47.2384,6.9605,20.0
2025-02-28,4389.35,2316591.0,339083.5818,42.8857,6.3191,20.0
2025-03-31,4932.65,2583101.0,381137.697,44.2628,6.2595,20.0
2025-04-30,5112.7,2062949.0,395049.8624,45.8785,6.4879,20.0
2025-05-31,5497.5,2338023.0,424782.7211,49.3315,6.9762,20.0
2025-06-30,6150.0,3930197.0,475200.3156,55.1866,7.8043,20.0
2025-07-31,6659.0,2169414.0,514529.9027,59.7541,8.4502,15.0
2025-08-31,6946.5,2433246.0,536744.5516,62.334,8.815,15.0
2025-09-30,6300.0,2667537.0,486790.5672,56.5327,7.9946,15.0
2025-10-31,6214.0,1990148.0,480145.4896,55.7609,7.8855,15.0
2025-11-30,5758.0,2913001.0,444910.5893,51.6691,7.3068,15.0
2025-12-31,5531.0,1915114.0,427370.6963,49.6321,7.0188,15.0
2026-01-31,5523.5,3069404.0,426791.1844,49.5648,7.0092,15.0
2026-02-28,5656.0,1406071.0,437029.2277,50.7538,7.1774,15.0
2026-03-31,5523.5,163000.0,426791.1844,49.5648,7.0092,15.0
