EXID IN Equity,price,volume,mc,pe,bm,div
2015-01-31,186.05,78315277.0,158142.5,29.025,4.571,2.2
2015-02-28,179.7,46423945.0,152745.0,28.0343,4.415,2.2
2015-03-31,177.75,50106221.0,151087.5,24.5851,3.9335,2.2
2015-04-30,171.55,48334026.0,145817.5,23.7275,3.7963,2.2
2015-05-31,153.7,56299726.0,130645.0,21.2586,3.4013,2.2
2015-06-30,148.3,32818227.0,126055.0,20.5118,3.2818,2.2
2015-07-31,146.25,42522921.0,124312.5,20.2282,3.2364,2.2
2015-08-31,153.6,50165692.0,130560.0,21.2448,3.3991,2.2
2015-09-30,155.65,23604435.0,132302.5,21.5284,3.4444,2.2
2015-10-31,149.5,26868382.0,127075.0,20.6777,3.3083,0.7
2015-11-30,148.6,21400451.0,126310.0,20.5533,3.2884,2.3
2015-12-31,146.45,20472452.0,124482.5,20.2559,3.2409,2.3
2016-01-31,120.25,45892306.0,102212.5,16.6321,2.6611,2.3
2016-02-29,127.85,33457298.0,108672.5,17.6833,2.8292,2.3
2016-03-31,139.35,19551513.0,118447.5,16.5893,2.7353,2.3
2016-04-30,147.25,38369149.0,125162.5,17.5298,2.8903,2.3
2016-05-31,164.25,29446171.0,139612.5,19.5536,3.224,2.3
2016-06-30,169.3,28337378.0,143905.0,20.1548,3.3231,2.3
2016-07-31,179.1,58705224.0,152235.0,21.3214,3.5155,2.4
2016-08-31,185.3,128583645.0,157505.0,22.0595,3.6372,2.4
2016-09-30,183.0,69824296.0,155550.0,21.7857,3.5921,2.4
2016-10-31,198.45,53460823.0,168682.5,23.625,3.8953,2.4
2016-11-30,181.15,54152308.0,153977.5,21.5655,3.5557,2.4
2016-12-31,180.1,30133297.0,153085.0,21.4405,3.5351,2.4
2017-01-31,197.3,44582212.0,167705.0,23.4881,3.8727,2.4
2017-02-28,211.85,51156291.0,180072.5,25.2202,4.1583,2.4
2017-03-31,224.35,49230961.0,190697.5,23.8059,3.7896,2.4
2017-04-30,229.85,33486535.0,195372.5,24.3896,3.8825,2.4
2017-05-31,230.25,51098815.0,195712.5,24.432,3.8893,2.4
2017-06-30,220.5,30592096.0,187425.0,23.3974,3.7246,2.4
