INFO IN Equity,price,volume,mc,pe,bm,div
2011-06-30,363.81,176607344.0,1671144.506,23.6394,5.9988,7.5
2011-07-31,346.99,201600664.0,1593887.518,22.5465,5.7214,7.5
2011-08-31,292.87,307966440.0,1345292.996,19.03,4.8291,7.5
2011-09-30,316.63,277386368.0,1454485.262,20.0608,4.8837,7.5
2011-10-31,359.69,296774784.0,1652298.238,22.7891,5.5479,4.375
2011-11-30,325.86,190965632.0,1496861.488,20.6452,5.026,4.375
2011-12-31,345.96,207038872.0,1589237.465,20.2269,5.0784,4.375
2012-01-31,343.25,276436008.0,1576805.693,20.0687,5.0387,4.375
2012-02-29,360.43,177935512.0,1655732.075,21.0732,5.2909,4.375
2012-03-31,358.29,174602216.0,1645915.429,19.6929,5.2272,4.375
2012-04-30,307.76,416513968.0,1413811.707,16.9158,4.4901,4.375
2012-05-31,303.67,208752600.0,1395005.675,16.6908,4.4304,5.875
2012-06-30,313.65,159866232.0,1440859.209,16.1778,4.2631,5.875
2012-07-31,278.37,281720472.0,1278782.642,14.358,3.7836,5.875
2012-08-31,295.21,144994792.0,1356133.045,15.2265,4.0124,5.875
2012-09-30,316.87,161453184.0,1455650.442,15.5114,4.0224,5.875
2012-10-31,295.38,250327256.0,1356911.213,14.4592,3.7495,5.875
2012-11-30,304.61,136928056.0,1399318.349,14.9111,3.8667,5.875
2012-12-31,289.84,179228536.0,1331481.455,14.2332,3.536,5.875
2013-01-31,348.69,368252000.0,1601831.897,17.1232,4.254,5.875
2013-02-28,363.38,157375304.0,1669304.651,17.8445,4.4332,5.875
2013-03-31,361.17,170189280.0,1659169.454,17.5903,4.1485,5.875
2013-04-30,279.43,394739344.0,1283676.291,13.6094,3.2096,5.875
2013-05-31,301.46,159396632.0,1384885.422,14.6824,3.4627,5.25
2013-06-30,312.36,170123408.0,1434930.215,15.0311,3.519,5.25
2013-07-31,371.21,245300992.0,1705280.478,17.8631,4.182,5.25
2013-08-31,388.23,205336496.0,1783491.592,18.6824,4.3739,5.25
2013-09-30,376.63,201340432.0,1730173.689,18.0398,3.9854,5.25
2013-10-31,413.74,257356080.0,1900664.347,19.8174,4.3781,5.875
2013-11-30,419.32,132012952.0,1926304.101,20.0847,4.4371,5.875
2013-12-31,435.71,178326304.0,2001586.36,19.8195,4.4564,5.875
2014-01-31,462.64,274807976.0,2125305.694,21.0445,4.7319,5.875
2014-02-28,478.11,130835472.0,2196367.425,21.7482,4.8901,5.875
2014-03-31,410.35,222754144.0,1885102.653,17.6173,3.9466,5.875
2014-04-30,397.6,184672976.0,1826530.56,17.0699,3.8239,5.875
2014-05-31,367.42,244762424.0,1687909.832,15.7744,3.5337,7.875
2014-06-30,406.94,230882016.0,1869454.717,16.6686,3.9133,7.875
2014-07-31,420.96,180632176.0,1933826.488,17.2426,4.0481,7.875
2014-08-31,449.85,145724680.0,2066561.294,18.4261,4.3259,7.875
2014-09-30,468.47,182277472.0,2152093.741,18.0719,4.2337,7.875
2014-10-31,506.41,250458552.0,2326374.43,19.5354,4.5765,9.125
2014-11-30,544.98,162220384.0,2503583.795,21.0235,4.9251,9.125
2014-12-31,493.14,443219868.0,2265419.328,18.4402,4.3528,9.125
2015-01-31,535.47,252598088.0,2459912.916,20.0234,4.7265,9.125
2015-02-28,574.11,145179168.0,2637408.558,21.4682,5.0676,9.125
2015-03-31,554.59,151209760.0,2547713.919,20.5612,4.6293,9.125
2015-04-30,485.56,236088768.0,2230620.542,18.0021,4.0531,9.125
2015-05-31,505.79,181288792.0,2323531.961,18.752,4.2219,9.125
2015-06-30,492.18,150109472.0,2260997.638,18.0358,4.1773,11.125
2015-07-31,538.53,187467094.0,2473924.567,19.7343,4.5707,11.125
2015-08-31,547.2,183942736.0,2513776.416,20.0522,4.6443,11.125
2015-09-30,580.97,171121028.0,2668934.895,20.7862,4.6312,11.125
2015-10-31,567.72,188192568.0,2608065.857,20.3122,4.5256,12.375
2015-11-30,543.95,118235854.0,2498846.274,19.4615,4.3361,12.375
2015-12-31,552.7,122860644.0,2539042.809,19.4476,4.351,12.375
2016-01-31,582.45,165849914.0,2675711.026,20.4944,4.5852,12.375
2016-02-29,542.03,116796632.0,2490003.18,19.072,4.2669,12.375
2016-03-31,609.15,165289150.0,2807505.273,20.6387,4.5073,12.375
2016-04-30,604.05,149800232.0,2783999.792,20.4659,4.4696,12.375
2016-05-31,624.33,115211004.0,2868079.85,21.1528,4.6196,12.375
2016-06-30,585.4,141204728.0,2689262.858,19.2566,4.3664,12.125
2016-07-31,536.92,225870210.0,2466573.937,17.662,4.0048,12.125
2016-08-31,517.92,166869078.0,2379290.043,17.037,3.8631,12.125
2016-09-30,518.03,131207750.0,2379749.576,16.7917,3.653,12.125
2016-10-31,501.05,129233210.0,2301768.164,16.2415,3.5333,12.625
2016-11-30,487.78,174937878.0,2240784.285,15.8112,3.4397,12.625
2016-12-31,505.3,132223332.0,2321292.439,16.1026,3.5257,12.625
2017-01-31,464.3,245021540.0,2132942.964,14.796,3.2396,12.625
2017-02-28,506.2,178127080.0,2325426.94,16.1313,3.532,12.625
2017-03-31,511.13,142282818.0,2348051.847,16.2805,3.3871,12.625
2017-04-30,459.48,151478200.0,2110777.446,14.6353,3.0449,12.625
2017-05-31,488.53,135280604.0,2244229.941,15.5606,3.2374,12.625
2017-06-30,467.78,169057820.0,2148906.73,14.85,3.1211,12.875
2017-07-31,505.6,182397522.0,2322670.606,16.0508,3.3734,12.875
2017-08-31,457.48,628734328.0,2101609.994,14.523,3.0523,12.875
2017-09-30,449.95,225019902.0,2067041.739,14.165,2.8427,12.875
2017-10-31,460.93,195942288.0,2117483.148,14.5105,2.912,13.875
2017-11-30,488.05,180633300.0,2242095.218,15.3644,3.0834,13.875
2017-12-31,521.03,173910450.0,2275785.098,14.9163,3.7139,13.875
2018-01-31,575.13,283637834.0,2512088.263,16.4651,4.0995,13.875
2018-02-28,586.3,191946528.0,2561090.975,16.785,4.1792,13.875
2018-03-31,565.9,159754730.0,2471980.516,15.9251,3.7887,13.875
2018-04-30,599.75,248168722.0,2619860.446,16.8777,4.0154,13.875
2018-05-31,615.9,158614490.0,2690407.751,17.3322,4.1235,13.875
2018-06-30,653.6,153739906.0,2855090.933,18.0428,4.6815,21.75
2018-07-31,682.55,247872364.0,2981552.145,18.842,4.8889,21.75
2018-08-31,720.55,169823816.0,3147638.356,19.891,5.1611,21.75
2018-09-30,730.05,160392777.0,3189137.995,19.455,4.8718,21.75
