ABB IN Equity,price,volume,mc,pe,bm,div
2006-04-30,561.02,13205890.0,131137.4518,54.3652,13.149,1.4
2006-05-31,418.52,13016385.0,98497.1867,40.5564,9.8092,1.6
2006-06-30,450.55,14320205.0,106034.7717,43.66,10.5598,1.6
2006-07-31,436.87,9534630.0,102815.8817,42.3346,10.2393,1.6
2006-08-31,502.67,11401775.0,118302.1544,48.7111,11.7815,1.6
2006-09-30,526.29,6446695.0,123860.5142,50.9998,12.3351,1.6
2006-10-31,642.6,12979805.0,151234.8533,62.2712,15.0612,1.6
2006-11-30,629.91,13484020.0,148246.9436,61.0409,14.7637,1.6
2006-12-31,670.02,25784925.0,157687.4669,41.7221,11.873,1.6
2007-01-31,651.96,10480460.0,153436.5826,40.5973,11.553,1.6
2007-02-28,652.76,18192960.0,153625.1811,40.6472,11.5672,1.6
2007-03-31,639.23,13121095.0,150442.3156,39.8051,11.3275,1.6
2007-04-30,736.02,11583940.0,173220.3595,45.8319,13.0426,1.6
2007-05-31,829.04,9309970.0,195112.6259,51.6243,14.691,2.0
2007-06-30,985.27,13170902.0,231880.7683,61.3527,17.4594,2.0
2007-07-31,1033.08,13829153.0,243133.1044,64.3299,18.3067,2.0
2007-08-31,1018.09,12870682.0,239604.8296,63.3964,18.041,2.0
2007-09-30,1167.33,8304118.0,274728.1328,72.6897,20.6856,2.0
2007-10-31,1418.64,13423423.0,333871.6569,88.3384,25.1389,2.0
2007-11-30,1401.26,7592410.0,329781.8324,87.2562,24.8309,2.0
2007-12-31,1361.64,6436723.0,320457.8802,58.6864,17.7418,2.0
2008-01-31,1008.37,9084212.0,237315.7745,43.4604,13.1387,2.0
2008-02-29,1040.24,8590673.0,244817.3179,44.8341,13.5541,2.0
2008-03-31,1062.44,8118510.0,250040.8502,45.7907,13.8433,2.0
2008-04-30,1027.36,7321944.0,241787.0334,44.2792,13.3863,2.0
2008-05-31,921.66,7878584.0,216909.0337,39.7232,12.0089,2.2
2008-06-30,723.57,7144584.0,170289.2726,31.1856,9.4279,2.2
2008-07-31,694.48,13936906.0,163444.6441,29.9321,9.0489,2.2
2008-08-31,788.71,11391001.0,185620.8168,33.9933,10.2767,2.2
2008-09-30,710.87,8323465.0,167301.3698,30.6384,9.2625,2.2
2008-10-31,489.91,10636577.0,115299.1454,21.1151,6.3834,2.2
2008-11-30,394.51,10018652.0,92847.4923,17.0034,5.1404,2.2
2008-12-31,408.6,10657130.0,96163.8526,15.8174,4.0863,2.2
2009-01-31,436.83,8063233.0,102807.1685,16.9102,4.3686,2.2
2009-02-28,330.63,12854256.0,77812.6193,12.799,3.3065,2.2
2009-03-31,384.2,13837241.0,90421.1456,14.8729,3.8423,2.2
2009-04-30,438.5,11831650.0,103199.1983,16.9747,4.3853,2.2
2009-05-31,586.12,16652026.0,137941.5157,22.6892,5.8616,2.2
2009-06-30,700.88,13229751.0,164949.1909,27.1316,7.0092,2.2
2009-07-31,630.83,12791885.0,148462.7481,24.4198,6.3086,2.2
2009-08-31,683.14,10732097.0,160774.6032,26.4449,6.8318,2.2
2009-09-30,706.32,6059984.0,166231.2343,27.3424,7.0637,2.2
2009-10-31,692.91,7703486.0,163073.8051,26.8231,6.9295,2.2
2009-11-30,667.25,6631134.0,157034.4269,25.8297,6.6729,2.2
2009-12-31,690.7,7079352.0,162554.6305,41.2606,6.0388,2.2
2010-01-31,730.23,9548944.0,171857.3919,43.6219,6.3844,2.2
2010-02-28,715.46,4402421.0,168382.1006,42.7397,6.2553,2.2
2010-03-31,747.34,7176059.0,175883.644,44.6438,6.534,2.2
2010-04-30,713.48,7641372.0,167915.903,42.6214,6.238,2.2
2010-05-31,773.45,14580931.0,182028.9761,46.2037,6.7623,2.0
2010-06-30,776.96,3597698.0,182855.4173,46.4135,6.793,2.0
2010-07-31,730.64,9145606.0,171952.7505,43.6461,6.388,2.0
2010-08-31,701.69,4904088.0,165139.9081,41.9168,6.1349,2.0
2010-09-30,830.09,5171570.0,195357.9896,49.5869,7.2575,2.0
2010-10-31,740.31,3479578.0,174230.7615,44.2243,6.4726,2.0
2010-11-30,689.89,1809396.0,162363.9132,41.2122,6.0318,2.0
2010-12-31,716.59,2084612.0,168646.9856,240.4661,6.2653,2.0
2011-01-31,659.41,1769874.0,155190.8273,221.2796,5.7654,2.0
2011-02-28,600.26,4525355.0,141268.4714,201.4283,5.2481,2.0
2011-03-31,717.44,3489129.0,168848.2982,240.7531,6.2727,2.0
2011-04-30,769.76,1922059.0,181160.1533,258.308,6.7301,2.0
2011-05-31,778.31,2768331.0,183173.2793,261.1785,6.8049,2.0
2011-06-30,788.35,1081554.0,185536.0536,264.5474,6.8927,2.0
2011-07-31,782.36,2312442.0,184126.8653,262.5381,6.8403,2.0
2011-08-31,752.83,2242180.0,177176.2828,252.6276,6.5821,2.0
2011-09-30,624.16,2068577.0,146894.6289,209.4504,5.4572,2.0
2011-10-31,639.24,2581720.0,150444.088,214.5114,5.589,2.0
2011-11-30,537.23,3166540.0,126434.911,180.2778,4.6971,2.0
2011-12-31,525.21,1689072.0,123605.9392,60.2994,4.3912,2.0
2012-01-31,735.0,2585204.0,172980.5043,84.386,6.1453,2.0
2012-02-29,729.33,3749451.0,171645.4839,83.7347,6.0978,2.0
2012-03-31,756.75,1688208.0,178098.416,86.8826,6.3271,2.0
2012-04-30,731.85,1020479.0,172239.1487,84.0242,6.1189,2.0
2012-05-31,661.03,1412511.0,155572.553,75.8937,5.5268,3.0
2012-06-30,722.26,829260.0,169982.3243,82.9232,6.0387,3.0
2012-07-31,716.68,1051541.0,168668.4922,82.2823,5.9921,3.0
2012-08-31,642.85,1380273.0,151292.0032,73.8055,5.3748,3.0
2012-09-30,720.91,983208.0,169664.4617,82.7682,6.0275,3.0
2012-10-31,664.37,951052.0,156356.614,76.2762,5.5547,3.0
2012-11-30,642.35,1402785.0,151175.4536,73.7486,5.3706,3.0
2012-12-31,630.96,871583.0,148494.8123,97.3704,5.1464,3.0
2013-01-31,584.45,1523259.0,137549.7434,90.1935,4.7671,3.0
2013-02-28,516.97,1431467.0,121667.2087,79.7791,4.2166,3.0
2013-03-31,440.07,1753574.0,103570.2312,67.9126,3.5894,3.0
2013-04-30,469.29,1079200.0,110446.6589,72.4216,3.8278,3.0
