HPCL IN Equity,price,volume,mc,pe,bm,div
2019-07-31,177.37,164086280.0,405413.0094,6.059,1.333,10.6
2019-08-31,173.43,139712381.0,396422.4559,5.9246,1.3034,10.6
2019-09-30,201.13,268383452.0,459737.286,6.8709,1.5116,10.6
2019-10-31,216.83,201931199.0,495623.3088,7.4072,1.6296,10.6
2019-11-30,188.4,154564725.0,430632.2738,6.4359,1.4159,10.6
2019-12-31,176.33,102578526.0,403051.0843,6.0237,1.3252,10.6
2020-01-31,154.97,164287025.0,354212.5692,5.2938,1.1646,10.6
2020-02-29,131.7,124794138.0,301031.1596,4.499,0.9898,10.6
2020-03-31,126.73,278829438.0,289678.681,10.9758,0.935,10.6
2020-04-30,146.87,198209849.0,335698.1243,12.7194,1.0836,6.2667
2020-05-31,129.7,217931682.0,296459.6917,11.2327,0.9569,6.2667
2020-06-30,144.5,288184317.0,330288.554,12.5144,1.0661,6.2667
2020-07-31,143.33,297245235.0,327621.8644,12.4134,1.0575,12.7667
2020-08-31,134.37,273282927.0,307126.4501,11.6368,0.9914,6.5
2020-09-30,120.43,244746773.0,275278.5572,10.4301,0.8886,6.5
2020-10-31,125.1,247224134.0,285945.3214,10.8343,0.923,6.5
2020-11-30,139.57,290481372.0,319012.273,12.0872,1.0297,6.5
2020-12-31,145.27,272123592.0,331223.8317,12.5808,1.0718,6.5
2021-01-31,145.73,228271715.0,326762.4261,12.6212,1.0752,6.5
2021-02-28,161.63,303645089.0,360436.3274,13.9983,1.1925,6.5
2021-03-31,156.33,224607159.0,342504.1504,3.3229,0.8941,6.5
2021-04-30,156.43,168159875.0,337746.7312,3.3251,0.8947,6.5
2021-05-31,186.47,242212959.0,396767.9707,3.9634,1.0665,6.5
2021-06-30,195.47,192409077.0,415918.3733,4.1547,1.118,6.5
2021-07-31,174.1,151619124.0,370453.9003,3.7006,0.9958,15.1667
2021-08-31,177.73,100813664.0,378184.9888,3.7778,1.0165,15.1667
2021-09-30,200.0,161638482.0,425564.5035,4.2511,1.1439,15.1667
2021-10-31,206.93,156002208.0,440317.4063,4.3985,1.1836,15.1667
2021-11-30,196.73,137143610.0,418613.6166,4.1817,1.1252,15.1667
2021-12-31,194.9,92155049.0,414712.6087,4.1427,1.1147,15.1667
2022-01-31,209.4,108191225.0,445566.0352,4.4509,1.1977,15.1667
2022-02-28,182.17,121932618.0,387618.3353,3.872,1.0419,15.1667
2022-03-31,179.57,240246876.0,382085.9967,5.2444,0.9228,15.1667
2022-04-30,180.2,119211668.0,383433.6177,5.2629,0.9261,15.1667
2022-05-31,151.87,138226698.0,323145.313,4.4354,0.7805,15.1667
2022-06-30,144.8,184025949.0,308108.7005,4.229,0.7441,15.1667
2022-07-31,160.77,149798132.0,342082.9334,4.6953,0.8262,15.1667
2022-08-31,162.37,172196774.0,345487.4494,4.742,0.8344,9.3333
2022-09-30,144.2,125450760.0,306832.007,4.2114,0.7411,9.3333
2022-10-31,142.57,87319779.0,303356.5636,4.1637,0.7327,9.3333
2022-11-30,159.4,117304409.0,339174.9093,4.6554,0.8192,9.3333
2022-12-31,156.77,134889062.0,333571.6433,4.5785,0.8056,9.3333
2023-01-31,158.6,141501524.0,337472.6513,4.632,0.8151,9.3333
2023-02-28,143.5,124315011.0,305342.5313,4.191,0.7375,9.3333
2023-03-31,157.87,128786604.0,335912.2481,4.557,1.0412,9.3333
2023-04-30,167.5,71618901.0,356410.2717,4.557,1.1047,9.3333
2023-05-31,173.93,105683060.0,370099.2632,4.557,1.1471,9.3333
2023-06-30,182.57,119225184.0,388469.4643,4.557,1.2041,9.3333
2023-07-31,188.27,174567038.0,400598.0526,4.557,1.2417,9.3333
2023-08-31,165.4,131346249.0,351941.8444,4.557,1.0908,9.3333
2023-09-30,169.97,152734092.0,361658.9006,4.557,1.121,9.3333
2023-10-31,165.13,106934988.0,351374.4251,4.557,1.0891,0.0
2023-11-30,231.6,331929116.0,492803.6951,4.557,1.5274,0.0
2023-12-31,265.93,403810533.0,565858.9348,4.557,1.7539,0.0
2024-01-31,308.83,315234870.0,657142.5208,4.557,2.0368,0.0
2024-02-29,339.6,372960114.0,722608.5269,4.557,2.2397,10.0
2024-03-31,317.1,223267698.0,674732.5203,4.2134,1.4373,10.0
2024-04-30,330.27,226524281.0,702748.8501,4.3883,1.497,10.0
2024-05-31,358.23,258982982.0,762256.9532,4.7599,1.6237,10.0
2024-06-30,332.1,223539778.0,706649.8579,4.4127,1.5053,10.0
2024-07-31,392.25,255038357.0,834638.3823,5.2119,1.7779,10.0
2024-08-31,419.05,245229546.0,891664.0257,5.568,1.8994,21.0
2024-09-30,440.55,197771888.0,937412.2099,5.8537,1.9968,21.0
2024-10-31,380.9,196329734.0,810487.5967,5.0611,1.7265,21.0
2024-11-30,383.1,109112274.0,815168.8063,5.0904,1.7364,21.0
2024-12-31,408.75,121958761.0,869747.4538,5.4312,1.8527,21.0
2025-01-31,358.25,128779111.0,762292.4167,4.7602,1.6238,21.0
2025-02-28,293.75,115565579.0,625047.8644,3.9031,1.3315,11.0
2025-03-31,360.35,139771823.0,766760.844,11.3819,1.4992,11.0
2025-04-30,378.7,125396587.0,805806.3872,11.9615,1.5756,11.0
2025-05-31,411.05,124376796.0,874641.4456,12.9833,1.7101,11.0
2025-06-30,438.05,134567247.0,932092.6536,13.8361,1.8225,11.0
2025-07-31,418.45,107797062.0,890387.3322,13.217,1.7409,11.0
2025-08-31,375.9,96848280.0,799848.4841,11.873,1.5639,10.5
2025-09-30,443.4,76703827.0,943476.504,14.0051,1.8447,10.5
2025-10-31,476.0,112493830.0,1012843.518,15.0347,1.9804,10.5
2025-11-30,457.5,79063280.0,973478.8015,14.4504,1.9034,15.5
2025-12-31,499.05,74437455.0,1061889.827,15.7628,2.0763,15.5
2026-01-31,427.0,108433025.0,908580.2148,13.487,1.7765,15.5
2026-02-28,438.75,98412523.0,933582.1293,13.8582,1.8254,15.5
2026-03-31,415.0,30073783.0,883046.3448,13.108,1.7266,15.5
