HBLENGIN IN Equity,price,volume,mc,pe,bm,div
2016-09-30,31.8,9946743.0,8045.4,53.9826,1.3208,0.25
2016-10-31,45.15,30501103.0,11422.95,76.6451,1.8753,0.25
2016-11-30,38.2,10956023.0,9664.6,64.847,1.5867,0.25
2016-12-31,36.25,8339170.0,9171.25,61.5367,1.5057,0.25
2017-01-31,39.9,11293987.0,10094.7,67.7329,1.6573,0.25
2017-02-28,41.95,10284577.0,10613.35,71.2129,1.7424,0.25
2017-03-31,42.8,8967629.0,10828.4,30.6881,1.6272,0.25
2017-04-30,49.95,15461478.0,12637.35,35.8148,1.899,0.25
2017-05-31,42.6,9653327.0,10777.8,30.5447,1.6195,0.25
2017-06-30,41.85,4223490.0,10588.05,30.007,1.591,0.25
2017-07-31,47.75,17168582.0,12080.75,34.2373,1.8153,0.25
2017-08-31,50.45,6714215.0,12763.85,36.1733,1.918,0.25
2017-09-30,54.5,61487222.0,13788.5,39.0772,2.072,0.25
2017-10-31,64.2,38348457.0,16242.6,46.0322,2.4407,0.25
2017-11-30,64.25,32499653.0,16255.25,46.068,2.4426,0.25
2017-12-31,71.95,57206288.0,18203.35,51.589,2.7354,0.25
2018-01-31,61.25,27153645.0,15496.25,43.917,2.3286,0.25
2018-02-28,55.45,11616984.0,14028.85,39.7583,2.1081,0.25
2018-03-31,44.15,11075905.0,11169.95,38.6873,1.6281,0.25
2018-04-30,48.55,7961764.0,12283.15,42.5429,1.7903,0.25
2018-05-31,39.3,8917571.0,9942.9,34.4374,1.4492,0.25
2018-06-30,33.25,8265670.0,8412.25,29.136,1.2261,0.25
2018-07-31,35.85,6876036.0,9070.05,31.4143,1.322,0.25
2018-08-31,32.85,5546310.0,8311.05,28.7855,1.2114,0.25
2018-09-30,26.5,4235181.0,6704.5,23.2212,0.9772,0.25
2018-10-31,29.95,6323091.0,12791.477,26.2443,1.1044,0.25
2018-11-30,26.9,4652660.0,11488.8391,23.5717,0.992,0.25
2018-12-31,28.85,3993305.0,12321.6731,25.2804,1.0639,0.25
2019-01-31,26.15,4597495.0,11168.5183,22.9145,0.9643,0.25
2019-02-28,24.2,2941183.0,10335.6842,21.2057,0.8924,0.25
2019-03-31,25.6,5117914.0,10933.6164,26.1224,0.9261,0.25
2019-04-30,23.85,3022532.0,10186.2012,24.3367,0.8628,0.25
2019-05-31,25.3,4044312.0,10805.488,25.8163,0.9153,0.25
2019-06-30,22.6,2408105.0,9652.3332,23.0612,0.8176,0.25
2019-07-31,19.55,4008303.0,8349.6953,19.949,0.7073,0.25
2019-08-31,15.05,3201474.0,6427.7706,15.3571,0.5445,0.25
2019-09-30,18.55,4934589.0,7922.6009,18.9286,0.6711,0.3
2019-10-31,17.0,2824725.0,7260.6046,17.3469,0.615,0.3
2019-11-30,15.45,3206354.0,6598.6083,15.7653,0.5589,0.3
2019-12-31,15.85,5057368.0,6769.4461,16.1735,0.5734,0.3
2020-01-31,19.0,7248831.0,8114.7934,19.3878,0.6874,0.3
2020-02-29,16.1,2972824.0,6876.2197,16.4286,0.5824,0.4
2020-03-31,11.0,6390396.0,4698.0383,11.6307,0.3945,0.4
2020-04-30,13.05,3059227.0,5573.5818,13.7982,0.468,0.4
2020-05-31,11.9,2223478.0,5082.4232,12.5823,0.4268,0.4
2020-06-30,15.95,19289367.0,6812.1555,16.8645,0.5721,0.4
2020-07-31,14.65,14471458.0,6256.9328,15.4899,0.5254,0.4
2020-08-31,16.0,20875928.0,6833.5102,16.9173,0.5739,0.4
2020-09-30,16.2,7328437.0,6918.9291,17.1288,0.581,0.3
2020-10-31,20.75,15584348.0,5751.7951,21.9397,0.7442,0.3
2020-11-30,22.65,17621523.0,6278.4655,23.9486,0.8124,0.3
2020-12-31,41.1,58064884.0,11392.7123,43.4564,1.4741,0.3
2021-01-31,36.5,23323792.0,10117.6155,38.5927,1.3091,0.3
2021-02-28,37.5,28256986.0,10394.8105,39.65,1.345,0.3
2021-03-31,33.35,19172011.0,9244.4514,67.3475,1.1821,0.3
2021-04-30,34.85,10144994.0,9660.2439,70.3766,1.2352,0.1
2021-05-31,46.1,43092225.0,12778.687,93.095,1.634,0.1
2021-06-30,48.95,46063147.0,13568.6926,98.8503,1.735,0.1
2021-07-31,51.65,53711437.0,14317.119,104.3028,1.8307,0.1
2021-08-31,50.45,33420367.0,13984.485,101.8795,1.7882,0.1
2021-09-30,48.65,16380417.0,13485.5341,98.2445,1.7244,0.35
2021-10-31,49.95,39954181.0,13845.8876,100.8698,1.7705,0.35
2021-11-30,53.95,34094480.0,14954.6673,108.9474,1.9122,0.35
2021-12-31,62.95,57862425.0,17449.4219,127.1222,2.2312,0.35
2022-01-31,69.65,39384073.0,19306.628,140.6522,2.4687,0.35
2022-02-28,60.05,65977237.0,16645.5565,121.2658,2.1285,0.35
2022-03-31,63.4,25515601.0,17574.1596,18.7153,2.0299,0.35
2022-04-30,87.05,181441797.0,24129.82,25.6967,2.7871,0.35
2022-05-31,83.15,138003067.0,23048.7598,24.5454,2.6622,0.35
2022-06-30,94.9,199043297.0,26305.8004,28.014,3.0385,0.35
2022-07-31,87.75,75606985.0,24323.8565,25.9033,2.8095,0.35
2022-08-31,81.5,77368770.0,22591.3881,24.0584,2.6094,0.35
2022-09-30,93.35,248188462.0,25876.1482,27.5564,2.9888,0.4
2022-10-31,104.35,142567844.0,28925.2926,30.8035,3.341,0.4
2022-11-30,114.6,106087953.0,31766.5408,33.8293,3.6692,0.4
2022-12-31,105.7,56745441.0,29299.5058,31.2021,3.3842,0.4
2023-01-31,98.9,30170950.0,27414.5802,29.1947,3.1665,0.4
2023-02-28,99.75,52413907.0,27650.1959,29.4457,3.1937,0.4
2023-03-31,95.25,35554629.0,26402.8186,26.7634,2.775,0.4
2023-04-30,112.35,50698509.0,31142.8522,31.5681,3.2732,0.4
