TRCL IN Equity,price,volume,mc,pe,bm,div
2023-12-31,1020.35,10671928.0,241100.9299,74.1613,3.514,2.0
2024-01-31,1018.2,9557625.0,240592.9013,74.005,3.5066,2.0
2024-02-29,835.25,12376467.0,197363.2104,60.7078,2.8766,2.0
2024-03-31,810.55,14461756.0,191526.7886,51.3982,2.6462,2.0
2024-04-30,794.6,14787250.0,187757.9251,50.3868,2.5941,2.0
2024-05-31,741.85,14901641.0,175293.5021,47.0419,2.4219,2.0
2024-06-30,836.45,37928051.0,197646.7613,53.0406,2.7307,2.0
2024-07-31,826.05,30282924.0,195189.3205,52.3811,2.6968,2.0
2024-08-31,831.25,18104988.0,196418.0409,52.7108,2.7137,2.5
2024-09-30,867.0,12596658.0,204865.4935,54.9778,2.8305,2.5
2024-10-31,886.55,12245459.0,209485.0095,56.2175,2.8943,2.5
2024-11-30,1014.8,20606120.0,239789.5072,64.35,3.313,2.5
2024-12-31,965.65,12361976.0,228175.7367,61.2334,3.1525,2.5
2025-01-31,917.5,9242986.0,216798.2587,58.1801,2.9953,2.5
2025-02-28,829.0,9228405.0,195886.383,52.5682,2.7064,2.5
2025-03-31,896.75,13681804.0,211895.1918,77.7754,2.8474,2.5
2025-04-30,943.6,13067665.0,222965.4898,81.8387,2.9962,2.5
2025-05-31,975.95,22870043.0,230609.5483,84.6444,3.0989,2.5
2025-06-30,1075.2,11036239.0,254061.567,93.2524,3.414,2.5
2025-07-31,1177.2,11640411.0,278163.3897,102.0989,3.7379,2.5
2025-08-31,1046.8,4537399.0,247350.8634,90.7892,3.3239,2.0
2025-09-30,985.4,5764266.0,232842.5113,85.464,3.1289,2.0
2025-10-31,1044.45,7723551.0,246795.5763,90.5854,3.3164,2.0
2025-11-30,1037.5,5959720.0,245153.3443,89.9827,3.2943,2.0
2025-12-31,1056.6,5851245.0,249666.5287,91.6392,3.355,2.0
2026-01-31,1121.0,8030390.0,264883.758,97.2246,3.5595,2.0
2026-02-28,1129.8,5379939.0,266963.1309,97.9879,3.5874,2.0
2026-03-31,1106.2,432315.0,261386.6192,95.941,3.5125,2.0
