CRIN IN Equity,price,volume,mc,pe,bm,div
2020-07-31,780.1,11276199.0,228681.1812,21.4313,5.2929,12.0
2020-08-31,760.05,12579658.0,222833.67,20.8805,5.1569,12.0
2020-09-30,772.85,13255880.0,226586.4112,21.2321,5.2437,12.0
2020-10-31,726.55,9527527.0,213030.5267,19.9602,4.9296,12.0
2020-11-30,828.35,8613996.0,242879.1367,22.7569,5.6203,12.0
2020-12-31,814.6,27690575.0,238876.0394,22.3791,5.527,12.0
2021-01-31,844.9,10666217.0,247761.3132,23.2115,5.7326,12.0
2021-02-28,771.35,10638308.0,226193.2642,21.1909,5.2336,18.0
2021-03-31,774.55,7747144.0,227236.462,17.0831,4.4119,18.0
2021-04-30,741.9,8280760.0,217657.6479,16.363,4.2259,18.0
2021-05-31,801.25,12806208.0,235069.673,17.672,4.5639,18.0
2021-06-30,900.9,13071270.0,264304.8591,19.8699,5.1315,18.0
2021-07-31,918.0,12865403.0,269321.6273,20.247,5.2289,12.0
2021-08-31,792.9,11763323.0,232663.9526,17.4879,4.5164,12.0
2021-09-30,794.45,16388413.0,233118.7756,17.5221,4.5252,12.0
2021-10-31,785.6,14220074.0,230521.8832,17.3269,4.4748,12.0
2021-11-30,740.2,9465753.0,217199.9719,16.3255,4.2162,12.0
2021-12-31,756.05,7716757.0,221897.96,16.6751,4.3065,12.0
2022-01-31,789.45,10082262.0,231700.7401,17.4118,4.4967,12.0
2022-02-28,773.9,8028922.0,227136.8709,17.0688,4.4082,12.0
2022-03-31,799.6,9675473.0,234679.7286,15.3504,3.6909,12.0
2022-04-30,894.55,13063577.0,262547.2127,17.1732,4.1292,12.0
2022-05-31,944.9,16815567.0,277324.7569,18.1398,4.3616,12.0
2022-06-30,953.15,11843048.0,279966.8899,18.2981,4.3997,12.0
2022-07-31,1028.75,13210970.0,302172.7304,19.7495,4.7487,12.0
2022-08-31,1053.1,12219676.0,309325.0084,20.2169,4.8611,12.0
2022-09-30,994.2,11425764.0,292130.9449,19.0862,4.5892,12.0
2022-10-31,962.35,7086506.0,282772.2941,18.4748,4.4422,12.0
2022-11-30,929.75,14266555.0,273193.267,17.8489,4.2917,12.0
2022-12-31,887.15,13523426.0,260830.7488,17.0311,4.0951,12.0
2023-01-31,895.05,6758002.0,263153.4258,17.1828,4.1315,12.0
2023-02-28,898.55,7578770.0,264182.46,17.25,4.1477,12.0
2023-03-31,879.25,5909559.0,258511.5888,12.8339,3.2691,12.0
2023-04-30,942.45,6061655.0,277093.2577,13.7564,3.5041,12.0
2023-05-31,959.85,10100413.0,282209.097,14.0104,3.5687,12.0
2023-06-30,948.4,13318385.0,278870.807,13.8432,3.5262,12.0
2023-07-31,1029.45,11990568.0,302703.0286,15.0263,3.8275,12.0
2023-08-31,1090.95,7899814.0,321132.6082,15.924,4.0562,12.0
2023-09-30,1146.3,6525106.0,337463.3023,16.7319,4.262,12.0
2023-10-31,1043.0,8135967.0,307052.4507,15.2241,3.8779,12.0
2023-11-30,1163.15,5691694.0,342423.8333,16.9778,4.3246,12.0
2023-12-31,1251.65,7092663.0,368489.5763,18.2696,4.6537,12.0
