GRASIM IN Equity,price,volume,mc,pe,bm,div
2021-12-31,1615.83,22828009.0,1067905.34,25.7991,1.6299,8.9644
2022-01-31,1720.66,22713803.0,1137189.998,27.473,1.7357,8.9644
2022-02-28,1592.17,18199408.0,1052271.034,25.4214,1.6061,8.9644
2022-03-31,1657.41,26620276.0,1095403.589,15.3846,1.4471,8.9644
2022-04-30,1685.6,19909281.0,1114033.349,15.6463,1.4717,8.9644
2022-05-31,1422.94,22894914.0,940440.8456,13.2082,1.2424,8.9644
2022-06-30,1315.52,30385970.0,869443.6839,12.2111,1.1486,8.9644
2022-07-31,1566.77,17444598.0,1035498.705,14.5433,1.3679,8.9644
2022-08-31,1672.0,20084492.0,1105081.19,15.5201,1.4598,9.9604
2022-09-30,1668.22,17732466.0,1102687.636,15.4849,1.4565,9.9604
2022-10-31,1714.88,11995784.0,1133532.736,15.9181,1.4972,9.9604
2022-11-30,1752.78,15983300.0,1158622.367,16.2699,1.5303,9.9604
2022-12-31,1716.67,11986270.0,1134755.306,15.9347,1.4988,9.9604
2023-01-31,1583.9,14563367.0,1046990.361,14.7023,1.3829,9.9604
2023-02-28,1572.3,12710704.0,1039368.033,14.5946,1.3728,9.9604
2023-03-31,1626.23,10844406.0,1075022.132,15.7021,1.3652,9.9604
2023-04-30,1713.49,9730625.0,1132700.786,16.5445,1.4385,9.9604
2023-05-31,1711.55,12469550.0,1131416.844,16.5258,1.4369,9.9604
2023-06-30,1727.78,12688901.0,1142149.287,16.6825,1.4505,9.9604
2023-07-31,1842.13,13047753.0,1217737.295,17.7866,1.5465,9.9604
2023-08-31,1783.86,13693026.0,1179248.862,17.224,1.4976,9.9604
2023-09-30,1934.71,18497293.0,1278970.932,18.6805,1.6242,9.9604
2023-10-31,1879.23,14195710.0,1242295.334,18.1448,1.5776,9.9604
2023-11-30,1997.51,10355764.0,1320486.128,19.2869,1.6769,9.9604
2023-12-31,2126.35,13679004.0,1405656.479,20.5309,1.7851,9.9604
2024-01-31,2175.0,16453599.0,1432126.12,21.0006,1.8259,9.9604
2024-02-29,2191.4,24543276.0,1443028.854,21.159,1.8397,9.9604
2024-03-31,2287.3,16985214.0,1506178.215,26.8179,1.7559,9.9604
2024-04-30,2411.65,14742164.0,1588062.273,28.2759,1.8513,9.9604
2024-05-31,2316.25,17904178.0,1525241.124,27.1573,1.7781,9.9604
2024-06-30,2670.45,27225256.0,1758496.389,31.3102,2.05,9.9604
2024-07-31,2776.75,20881970.0,1828492.731,32.5566,2.1316,9.9604
2024-08-31,2698.85,21491860.0,1777201.962,31.6432,2.0718,10.0
2024-09-30,2795.55,16944194.0,1840879.263,32.777,2.146,10.0
2024-10-31,2695.85,12619747.0,1775226.194,31.608,2.0695,10.0
2024-11-30,2606.25,12711450.0,1716303.276,30.5575,2.0007,10.0
2024-12-31,2442.7,11496197.0,1608541.561,28.6399,1.8752,10.0
2025-01-31,2508.85,14300129.0,1652101.976,29.4155,1.926,10.0
2025-02-28,2306.65,13218446.0,1569526.292,27.0448,1.7707,10.0
2025-03-31,2611.15,12590703.0,1776805.321,46.9885,1.8225,10.0
2025-04-30,2737.5,11568509.0,1862811.624,49.2622,1.9107,10.0
2025-05-31,2545.8,14108679.0,1732435.181,45.8125,1.7769,10.0
2025-06-30,2844.5,19019592.0,1935711.986,51.1877,1.9854,10.0
2025-07-31,2746.4,16737543.0,1868966.539,49.4224,1.9169,10.0
2025-08-31,2775.6,13386247.0,1888843.071,49.9478,1.9373,10.0
2025-09-30,2756.9,11916132.0,1876117.403,49.6113,1.9242,10.0
2025-10-31,2891.7,10215870.0,1967859.615,52.0371,2.0183,10.0
2025-11-30,2739.4,12361052.0,1864216.422,49.2964,1.912,10.0
2025-12-31,2829.0,10881279.0,1925195.986,50.9088,1.9746,10.0
2026-01-31,2819.0,14016228.0,1918392.561,50.7288,1.9676,10.0
2026-02-28,2799.8,13308224.0,1905326.532,50.3833,1.9542,10.0
2026-03-31,2714.0,2948362.0,1846937.712,48.8393,1.8943,10.0
