EIH IN Equity,price,volume,mc,pe,bm,div
2021-08-31,102.4,6202773.0,66049.2166,36.4491,2.0628,0.0
2021-09-30,129.35,51814520.0,84352.5503,36.4491,2.6056,0.0
2021-10-31,138.75,24725384.0,90736.6444,36.4491,2.795,0.0
2021-11-30,120.4,14094459.0,78274.0777,36.4491,2.4254,0.0
2021-12-31,124.5,13827877.0,81058.6294,36.4491,2.5079,0.0
2022-01-31,140.55,8125225.0,91959.1305,36.4491,2.8313,0.0
2022-02-28,129.8,10438140.0,84658.1718,36.4491,2.6147,0.0
2022-03-31,154.65,25945714.0,101535.2717,36.4491,3.1954,0.0
2022-04-30,160.4,16356374.0,105440.4357,36.4491,3.3142,0.0
2022-05-31,135.15,12436729.0,88291.6722,36.4491,2.7925,0.0
2022-06-30,124.9,5599171.0,81330.2929,36.4491,2.5807,0.0
2022-07-31,151.15,17307683.0,99158.2154,36.4491,3.1231,0.0
2022-08-31,160.3,10435698.0,105372.5198,36.4491,3.3121,0.0
2022-09-30,187.3,44754985.0,123709.8114,36.4491,3.87,0.0
2022-10-31,193.85,11937960.0,128158.3025,36.4491,4.0053,0.0
2022-11-30,178.9,11102410.0,118004.8762,36.4491,3.6964,0.0
2022-12-31,177.3,12916582.0,116918.2219,36.4491,3.6634,0.0
2023-01-31,163.0,5056879.0,107206.2489,36.4491,3.3679,0.0
2023-02-28,157.25,11913463.0,103301.085,36.4491,3.2491,0.0
2023-03-31,165.65,8560488.0,109006.0201,31.9171,3.0698,0.0
2023-04-30,188.75,20322290.0,124694.5919,36.368,3.4979,0.0
2023-05-31,208.8,36602060.0,138311.7288,40.2312,3.8694,0.0
2023-06-30,212.0,13378743.0,140485.0375,40.8478,3.9287,0.0
2023-07-31,212.0,19346130.0,140485.0375,40.8478,3.9287,0.0
2023-08-31,248.85,37815771.0,165512.0448,47.948,4.6116,1.1
2023-09-30,223.05,34579186.0,147989.7439,42.9769,4.1335,1.1
2023-10-31,224.95,20267340.0,149280.1459,43.343,4.1687,1.1
2023-11-30,237.9,21272704.0,158075.2543,45.8382,4.4087,1.1
2023-12-31,249.5,24010664.0,165953.4981,48.0732,4.6237,1.1
2024-01-31,327.85,39739651.0,205025.6471,63.1696,6.0756,1.1
2024-02-29,403.95,45370098.0,252615.8613,77.8324,7.4859,1.1
2024-03-31,449.5,16140631.0,281101.1998,43.9824,7.1354,1.1
2024-04-30,478.35,17878733.0,299142.9565,46.8053,7.5933,1.1
2024-05-31,431.6,15552790.0,269907.181,42.2309,6.8512,1.1
2024-06-30,429.3,16024481.0,268468.8433,42.0059,6.8147,1.1
2024-07-31,440.7,13695963.0,275597.995,43.1213,6.9957,1.2
2024-08-31,382.6,28137392.0,239264.336,37.4364,6.0734,1.2
2024-09-30,378.4,13937782.0,236637.8065,37.0254,6.0067,1.2
2024-10-31,364.45,19295382.0,227913.9761,35.6605,5.7853,1.2
2024-11-30,379.4,15681347.0,237263.1707,37.1233,6.0226,1.2
2024-12-31,419.85,17923460.0,262559.1518,41.0812,6.6647,1.2
2025-01-31,370.5,13474575.0,231697.4294,36.2524,5.8813,1.2
2025-02-28,319.25,15955370.0,199647.5151,31.2378,5.0678,1.2
2025-03-31,353.5,12514450.0,221066.2383,29.9069,4.7924,1.2
2025-04-30,370.45,8665947.0,231666.1612,31.3409,5.0222,1.2
2025-05-31,369.6,9513041.0,231134.6017,31.269,5.0107,1.2
2025-06-30,369.35,8368514.0,230978.2606,31.2479,5.0073,1.2
2025-07-31,375.5,8022358.0,234824.2503,31.7682,5.0907,1.5
2025-08-31,399.0,23338434.0,249520.3086,33.7563,5.4093,1.5
2025-09-30,359.9,9904610.0,225068.5691,30.4484,4.8792,1.5
2025-10-31,389.8,12332083.0,243766.9581,32.978,5.2845,1.5
2025-11-30,373.95,5298585.0,233854.9359,31.6371,5.0697,1.5
2025-12-31,368.25,5713640.0,230290.36,31.1548,4.9924,1.5
2026-01-31,314.55,5799511.0,196708.3034,26.6117,4.2644,1.5
2026-02-28,313.55,49889453.0,196082.9393,26.5271,4.2508,1.5
2026-03-31,325.2,8973217.0,203368.4396,27.5127,4.4087,1.5
