GUJS IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2017-09-30,0.4215373825801173,0.9454673405835586,0.7712822837846479,-0.5662323833313637,-0.4649214835887484,1.3564997999619615,1.7377017530028418,-1.2561111197253976,1.59585803124053,1.2610978731220421,0.6771182006408807,0.8028906597634544,0.3351411787354231,1.5049557769733128,0.020751732811083848
2017-10-31,-0.020516422573243202,-0.10760038465619116,0.8276868874493335,-1.5029825974212467,-1.8262053304424193,0.14572914786036067,-0.45328613576886784,-1.2069149278534568,1.3318694116908083,0.9677682398014704,0.6107808479523752,1.5080319298084615,0.4015774489071123,0.10911067243659793,0.027253585968269285
2017-11-30,0.12328275580482442,0.4619199583577044,1.3512725834956008,-2.097051773697229,-3.3303949491395244,1.2139218590719218,1.0192057563224155,-1.1666867863043162,1.1873333067204868,0.7795156169821493,0.43425002269785506,3.757241829166397,0.8982067424083809,1.6677638498824527,0.07932867693987931
2017-12-31,0.9223003224840962,0.870058909556353,3.964801893119949,-1.2299114389067636,-2.3325557785095232,0.14763994271930247,-0.5355076975107905,-1.6989455399686566,1.6088704475119968,1.1137958367599794,1.2342465236310072,5.837680875168396,3.032383648079248,0.6629118387750912,-0.11468344873854885
2018-01-31,-2.0159610285202914,-0.8640569461114633,0.7906759294427506,1.0899363606527872,-0.16140055428966896,-0.9665587551508795,-0.6545689494687057,0.29517085601233417,-0.2041365699130776,-0.5391411756484646,-1.2579392950246173,0.41520287910964404,0.6797694448984456,-1.3122429919097833,0.02049352033912001
2018-02-28,0.06468263358945472,-0.8962151932454434,0.7941038301756279,0.9817211981885051,-0.2907760284616172,-0.9148652117450109,-1.573661641309825,0.0837753170617699,-0.10343448384733857,-0.49981213558870724,-1.019843316201507,0.4555967968088368,0.6485457361674258,-1.2561601041285717,-0.0885712854690953
2018-03-31,-1.5737185607480584,-3.1935353009607104,-0.5042099373328034,-0.03732861252054371,0.36919812479225006,-0.19199928776070901,-0.30543501776457704,8.131563437551323,3.39115504684357,-1.7943013846357896,-2.50535758955224,-0.5027654983526638,-0.04663191130214401,-0.2829056818953016,-0.06008057458631172
2018-04-30,-1.0327791556224344,-1.9665625412167616,-1.9059648070206436,-0.5230675480711666,0.419655569662036,-1.2608161227637114,-0.5885575014035035,4.186645507508015,1.2955787928036993,-2.476675912820262,-2.7254395706099555,-1.317573802105651,-2.3063848107918608,-0.2947066445277157,0.005030754042122224
2018-05-31,-0.08129339665808638,-1.9449820968762261,-1.2802731129225577,-0.7722030873023725,0.20979400341429272,-1.1196904551406548,-0.4339110070596191,2.7595238490329725,0.7395959992820541,-2.2435153583839647,-1.903338874599617,-0.9649674624806891,-1.2738411259099465,-0.5399317796888918,0.0033398305467480277
2018-06-30,-0.13208183503264276,-0.843562124642955,-1.475043071242033,-1.0999466830876805,-1.1243560052488597,-0.8145427679136552,-0.7017926382009092,2.092426092288072,0.33894457790890503,-2.106394613973157,-1.184179440214844,-1.0629823706471382,-1.610333702912192,-0.41455802347976023,0.09558799616949552
2018-07-31,1.2510025711785968,0.6776863903360523,-1.3780768960777126,-0.4920699999636236,-0.41942220673042363,-1.3233887099124335,-0.22105940137407065,1.309211447519216,0.49291315781831957,-0.930923017567076,0.2583472499557978,-1.0354676602486197,-1.5090665739981723,-0.4819878346289158,-0.028170876966696335
2018-08-31,-0.6563422159372886,0.3051772148740584,-1.4313709185960939,-0.05253302009955676,-0.4174195183701225,-1.5406985287461863,-1.3275639864958029,1.2753458038209182,-0.061290722375351187,-1.3737869187722311,0.0016273604423712033,-1.0766125514589029,-1.5859803466721956,-0.4535904387044698,-0.09845798609505586
2018-09-30,-1.6915325311405514,-0.6525066631590459,-2.1761339282233494,1.2559987521995573,-0.16191220053655445,0.05035683901888106,0.28144827729129945,1.4954102812566574,-0.7815736492300015,-2.4817477214957977,-1.137811385444831,-1.6402454664074924,-2.8553340181174005,-0.5410338429537157,0.025747638207971994
2018-10-31,0.3130045182916257,-1.2800783471162225,-1.8759079515048314,-0.04847361987380441,-0.3441419109059167,-0.886380547731154,-0.06191407971345504,1.1494475041357628,-0.7246136141470961,-1.901196123350206,-0.7104140229943926,-1.4899988359713565,-2.303158571479047,-0.11463862013006768,0.04452462850968302
2018-11-30,0.583200391390294,-0.469892422867877,-1.5914821704863291,0.5319202592171756,-0.09408690495921318,-1.2965951804166993,0.06413791257616681,0.8135944085355844,-0.5750058852786342,-1.2891050983745478,-0.1318404661984548,-1.2870850193766912,-1.8308861904441167,0.07867139529486135,-0.06227907543044657
2018-12-31,-1.0227127936831726,-0.08812589455512063,-2.064304429611963,-0.34830966642865785,0.4138429484920128,-1.5445716008175063,-2.8685531507775814,0.932986104591225,-0.976727108299926,-2.0559215552854377,-0.9145253646280419,-1.5980619168277035,-2.601493706885476,0.8944107594093841,0.0011366866810700663
2019-01-31,-0.13047915108576022,-0.39263573751105907,-1.4143310690994688,-0.4579561322292105,-1.0763533712896138,-0.1956035296539418,0.1398712020936125,0.7932851114444105,-1.1931503401789283,-1.98749252684711,-0.646836749965489,-1.3174714754139516,-1.5939268626995613,-0.5032931338844385,-0.11293115002051164
2019-02-28,-1.9004235808406327,-2.0167055165864114,-1.8180787339051883,-0.25576039106432097,0.12823062247573228,-0.5472021166903782,0.3429274334541753,1.0587018935732926,-1.8198469083165814,-3.1636510987131876,-1.676792031279774,-1.5277060901857897,-2.3525460574739614,0.005201791981303521,0.19286461702582347
2019-03-31,2.8629338441764247,0.6133982673722318,-0.5528002531154531,4.068443320028309,3.6723013731151966,1.0806662483721083,2.4341171427498725,1.2139980783581286,-2.2525203234408937,-0.6149643360257429,0.7911151831674238,-0.5340266039954262,-0.39554041389453126,-0.472717999914987,0.04711572889998099
2019-04-30,0.5195463961645973,1.1015640082056901,-0.033344421504490324,2.9759903374280765,2.8833129454877158,-0.679589748529987,-0.6998863795469298,0.8169931421339477,-1.969619796067657,-0.0923442522019177,1.16777945545006,-0.26166675621728674,0.42428142073024633,-0.8307452946580938,-0.032539729036517945
2019-05-31,-0.4924262300511205,1.952844714696002,-0.17950313544546415,1.2911206589116064,2.5147684140465683,0.2253767605034055,0.5236925578783156,0.7491854922460077,-1.9584565517648445,-0.45867866099728893,0.6716390676001539,-0.3279881570753054,0.17583083629558569,-0.3726016579339442,0.014111844192681414
2019-06-30,0.11968634268207617,0.11569954380974562,-0.09147304380682014,-0.913185173516673,1.9372075209919224,-0.2605211230027616,-1.0922708709993947,0.5516060574535053,-1.8012902537118933,-0.28743793448095806,0.6112887185603858,-0.26756502715693203,0.2863237168400176,-0.5712103105890248,0.07696104113612819
2019-07-31,0.9884963664809464,0.4237491685578167,-0.1556315550129646,-0.422353546633284,1.835855654727545,0.2839457677689829,0.7030962780591918,0.197630650520006,-1.3529245426499308,0.6348675667826712,1.2881825377354983,-0.28934162224470605,0.11596783173364288,-0.37990762320772037,0.03659509782817303
2019-08-31,0.45710976083354693,1.0883601368076048,0.2539836903100833,-1.0474029930108344,0.23359982864321016,1.0774008255295306,0.4712995695340507,-0.021577977630683656,-1.1243410843514252,0.9964163839379427,1.068478874362074,0.05365403782667079,0.6653318649152348,0.19034130288023696,-0.013278583382459404
2019-09-30,-0.2640949481824209,0.8178304697051023,0.7703532394977648,-0.6234612811858119,-1.6591518218421437,0.4467406292440922,0.5030811159591073,-0.07723750721410201,-1.1656276685674505,0.7713066913663827,0.5308456478982156,1.0938943666014138,1.4072011553013666,-0.1411350969384677,-0.036137202874774975
2019-10-31,-0.5480036220749407,-0.24395278717471033,0.4211241004338222,-0.824132763577124,-1.3420695963024585,2.2853217116314752,1.0400842135969328,-0.06117476612535009,-1.325211100088835,0.37263123294755685,-0.07336466669038093,0.5319636746954781,0.8750969280127759,1.282379505780566,0.028270433938255526
2019-11-30,0.3775128790289347,-0.2994158628297442,0.36068108540169475,-0.9567891838132936,-1.494712298631434,0.09152612496944242,-0.44953643032318263,-0.3218866419134058,-1.1323104840704306,0.7629477786397227,0.12656292615720532,0.5381641278007675,0.7056635244552107,-0.45272648031692986,0.01955208920738592
2019-12-31,0.2563697691858503,0.06212040700474784,0.9172379408686663,-0.9412769617731617,-1.5049601286106882,0.7720830986299384,0.48955568412395994,-0.6041332673045763,-0.9871461438471062,1.1437117536915127,0.18202537767911214,1.273702146548092,1.377776967465308,0.2940612351697108,0.14440599004784474
2020-01-31,2.0676777070999326,1.9222596631607591,2.4190262913841005,0.045027212803584175,-0.39492707763812096,2.166399158859364,0.17541549147792712,-2.0085881489877138,0.053166609352726255,2.544456302327858,2.112353125790742,2.1473374061157515,2.4119561801398466,4.445032824279792,-0.1176598176959777
2020-02-29,-1.7563371721483927,0.3499483673956472,2.217502082031215,1.8709172608906117,0.7545310587781052,-0.20481697790236408,0.23464429258160005,-1.3087968632787286,-0.9783769296408376,0.8963425682956033,0.008970126515529864,1.320063526480465,2.4191170444246666,-1.4391012972449568,-0.26799106548424334
2020-03-31,-3.539175566075901,-2.355044443769286,-0.8903531340972809,3.8829882497405115,3.3119546719486865,3.0024087778946167,1.3723245701341378,4.053904170102776,-3.7505914206906903,-1.7694812908142585,-2.976173283539097,-0.5948245170495435,-1.615773462812669,-1.7300580271909864,0.18381845463255453
2020-04-30,2.0169139848944373,-1.8749802663873665,-0.07831942721500887,3.381254969045068,3.6749375347462094,-0.6415989489836285,-1.0971603856101577,1.1312137910618676,-2.2344363018064617,0.07591836624552398,-0.5357059157389926,-0.25124792876007873,0.11449325257432741,-0.4480460129908733,-0.04818720967422778
2020-05-31,-0.5455030654822776,-1.179154413137112,-0.18104896226203926,2.589720992778015,2.824866264517719,-0.2036102572226472,0.15817254144373014,0.97570577474167,-1.8899949156889961,-0.42835100677764704,-1.0264437956503525,-0.2895842751161156,-0.060978549516903104,-0.3083209265002022,0.1112922551428928
