PSYS IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2019-05-31,-0.8974421490076849,-0.8510974534696609,-1.5872142909728815,-0.6441782133422429,-1.005388606172093,-1.2449664306867807,-0.9010503064397963,1.2792287533318485,-0.8626755964016456,-1.4955618377928903,-0.7152248784433194,-1.9895199803830546,-1.909606872243469,0.9562584636381727,0.05911539522087079
2019-06-30,0.5810326176597456,-0.15744575819877704,-1.423250310711577,-0.2337364825007574,-0.9094208303558029,-1.1851366167607036,-0.5127195623880755,0.7208590050079078,-0.4621022777456055,-1.028890732587479,-0.0888548584368661,-1.6826443347587454,-1.5534720856332547,0.809165242808732,-0.17065037778230513
2019-07-31,-1.6250226550772473,-1.35192588231743,-1.9685044033285974,0.4133346459757559,-0.09463924482586798,-0.5834716810345915,-0.10869388002630778,1.5008057822214653,-0.9769565655638448,-1.8141216535833748,-1.4684269924896816,-1.6466664141441898,-2.597901755374006,0.53413260985246,0.04047306516875926
2019-08-31,0.4602404630306157,-0.37335719083077173,-1.6365710689650894,0.56846087275948,-0.3566829960066074,-1.1999822229817922,-0.7720210143919344,0.9880914535373749,-0.6770427157244515,-1.5175114363518192,-0.6991082663172609,-1.5305564086808445,-1.946136410225865,1.3403846336287726,0.050226383473075016
2019-09-30,0.5191453036344347,-0.4051609515942325,-1.2140665126989845,0.49853384340868717,-0.22206972686018212,-0.7691397598309714,-0.07995540334283749,0.6251630522047311,-0.4898292890665325,-1.1017761565965363,-0.026984625891250186,-1.0786416827018888,-1.3118924260186395,0.45559060663338513,0.08350792561512559
2019-10-31,0.8416826332749495,1.2956354141533708,0.3545070602740435,-1.152572685597761,-0.016156413835366715,-0.8407721650944076,-1.3114829990375554,0.15986299463982676,-0.12510700835491048,-0.6245479536364587,0.9090078606223443,0.26937868756706357,0.5626424591627484,-0.8502435831380228,0.09940998641373418
2019-11-30,0.9343142715747483,1.5860249651375273,0.48132504607729776,-1.063566185461686,-0.12114216867637687,0.1257513044731634,1.7360942155208015,-0.2840447337762155,0.28110667817875495,-0.15895124105414138,1.6344999424539306,0.381366529646808,0.6472655994540095,-0.4379327948072706,-0.015016623492349931
2019-12-31,-0.15269254372594668,1.0676341069093225,0.28215743963522827,-0.4697883590494932,-0.16645780547631564,-0.6915410542231069,-0.33033849501404783,-0.22688060598344162,0.10873969821027606,-0.19831447488504614,1.1631767255372065,0.22273453892128287,0.44861128054596905,-0.7439321149368769,0.03898335260149043
2020-01-31,0.38195109545768696,0.755992261504031,0.6227056091955538,-0.5416145246408735,-1.9940563136584768,-0.20937549080934076,0.727234866597241,-0.4344531945436687,0.3164216662125148,0.04961681506974262,1.035017001945168,1.330427585727874,0.7692650518024375,-0.6525743626669762,-0.006526616171554463
2020-02-29,-0.015424695583658762,0.14045077214404394,0.25207110718041065,-0.9766066582656601,-1.7054188713909662,-0.9325377470903982,-1.4915448724633216,-0.5022912716125216,0.38125705937114723,0.14321323933118899,0.6016719762573237,0.4548680916540567,0.39514631235732184,-0.7125988895053205,-0.23426199665759115
