SF IN Equity,price,volume,mc,pe,bm,div
2010-08-31,55.05,7126101.0,11567.5467,24.5759,2.4225,0.9
2010-09-30,62.95,7565482.0,13227.558,28.1027,2.7701,0.9
2010-10-31,63.1,5686905.0,13259.0772,28.1696,2.7767,0.9
2010-11-30,63.95,12729738.0,13437.686,28.5491,2.8141,1.45
2010-12-31,63.4,5051028.0,13322.1156,28.3036,2.7899,1.45
2011-01-31,51.85,2658890.0,10895.1371,23.1473,2.2816,1.45
2011-02-28,47.65,2428871.0,10012.5995,21.2723,2.0968,1.05
2011-03-31,51.0,2672939.0,10716.5283,9.5216,1.9406,1.05
2011-04-30,60.0,2536774.0,12607.6804,11.2019,2.2831,1.05
2011-05-31,61.25,2797670.0,12870.3404,11.4353,2.3306,1.05
2011-06-30,58.95,1079373.0,12387.046,11.0059,2.2431,1.4
2011-07-31,58.7,1794709.0,12334.514,10.9592,2.2336,1.4
2011-08-31,60.9,2058000.0,12796.7956,11.37,2.3173,1.4
2011-09-30,60.05,972139.0,12618.1868,11.2113,2.285,1.4
2011-10-31,58.45,586351.0,12281.9819,10.9125,2.2241,1.4
2011-11-30,58.95,1503331.0,12387.046,11.0059,2.2431,1.4
2011-12-31,48.2,658975.0,10128.1699,8.9989,1.8341,1.4
2012-01-31,50.25,1205061.0,10558.9323,9.3816,1.9121,0.7
2012-02-29,54.2,1278373.0,11388.9379,10.1191,2.0624,1.3
2012-03-31,55.45,810956.0,11651.6199,11.7458,1.8137,1.3
2012-04-30,55.7,2568718.0,11704.152,11.7988,1.8219,1.3
2012-05-31,49.9,810982.0,10485.4073,10.5702,1.6322,1.3
2012-06-30,49.7,738187.0,10443.3816,10.5278,1.6256,1.4
2012-07-31,47.9,1130939.0,10065.1505,10.1465,1.5668,1.4
2012-08-31,43.05,1754428.0,9046.0277,9.1192,1.4081,1.4
2012-09-30,44.6,1745333.0,9371.7268,9.4475,1.4588,1.4
2012-10-31,48.35,1779059.0,10159.7083,10.2418,1.5815,1.4
2012-11-30,50.35,2803273.0,10579.9651,10.6655,1.6469,2.0
2012-12-31,50.75,1672554.0,10664.0164,10.7502,1.66,2.0
2013-01-31,49.0,2780850.0,10296.2917,10.3795,1.6027,2.0
2013-02-28,44.95,1973558.0,9445.2717,9.5216,1.4703,1.4
2013-03-31,41.4,567537.0,8699.3159,9.3255,1.2322,1.4
