CANF IN Equity,price,volume,mc,pe,bm,div
2017-10-31,480.15,16593906.0,63908.5467,27.165,5.9352,2.0
2017-11-30,483.55,17411691.0,64361.0891,27.3573,5.9772,2.0
2017-12-31,472.85,16966642.0,62936.9062,26.752,5.8449,2.0
2018-01-31,449.15,28885101.0,59806.1757,25.4111,5.552,2.0
2018-02-28,541.45,34219083.0,72096.301,30.6331,6.6929,2.0
2018-03-31,484.5,32006740.0,64513.1736,22.5329,4.3385,2.0
2018-04-30,421.5,32278131.0,56124.4637,19.6029,3.7744,2.0
2018-05-31,378.85,21135593.0,50445.4403,17.6194,3.3925,2.0
2018-06-30,339.95,20918352.0,45265.7448,15.8102,3.0441,2.0
2018-07-31,334.65,19690497.0,44560.0279,15.5637,2.9967,2.0
2018-08-31,319.9,17641388.0,42596.0046,14.8778,2.8646,2.0
2018-09-30,237.6,30638687.0,31637.4201,11.0502,2.1276,2.0
2018-10-31,275.8,55461180.0,36723.9077,12.8268,2.4697,2.0
2018-11-30,269.85,19519318.0,35931.6406,12.5501,2.4164,2.0
2018-12-31,288.9,35612511.0,38468.2267,13.436,2.587,2.0
2019-01-31,250.7,21102428.0,33381.7391,11.6594,2.2449,2.0
2019-02-28,266.2,32847049.0,35445.6281,12.3803,2.3837,2.0
2019-03-31,348.85,45629960.0,46450.8165,15.6505,2.6064,2.0
2019-04-30,318.65,27725996.0,42429.5619,14.2956,2.3808,2.0
2019-05-31,352.35,28357904.0,46916.8559,15.8075,2.6325,2.0
2019-06-30,356.45,19633141.0,47462.7879,15.9915,2.6632,2.0
2019-07-31,387.85,13875177.0,51643.8274,17.4002,2.8978,2.0
2019-08-31,412.95,6367828.0,54985.9959,18.5262,3.0853,2.0
2019-09-30,393.25,5541293.0,52362.8597,17.6424,2.9381,2.0
2019-10-31,394.8,5809579.0,52569.2485,17.712,2.9497,2.0
2019-11-30,398.3,7967492.0,53035.288,17.869,2.9759,2.0
2019-12-31,393.05,7516074.0,52336.2288,17.6335,2.9366,2.0
2020-01-31,484.05,29842076.0,64453.2542,21.716,3.6165,2.0
2020-02-29,500.05,13400294.0,66583.7202,22.4338,3.7361,2.0
2020-03-31,279.05,9212586.0,37156.6586,9.8779,1.7282,2.0
2020-04-30,320.1,12729385.0,42622.6354,11.331,1.9824,2.0
2020-05-31,277.25,8526657.0,36916.9812,9.8142,1.717,2.0
2020-06-30,337.85,18812165.0,44986.1211,11.9593,2.0923,2.0
2020-07-31,365.4,12416281.0,48654.5173,12.9345,2.2629,2.0
2020-08-31,371.2,18009992.0,49426.8112,13.1398,2.2988,2.0
2020-09-30,415.75,14425137.0,55358.8275,14.7168,2.5747,2.0
2020-10-31,457.25,13756234.0,60884.7241,16.1858,2.8318,2.0
2020-11-30,481.95,6537784.0,64173.631,17.0602,2.9847,2.0
2020-12-31,499.4,8287697.0,66497.1705,17.6779,3.0928,2.0
2021-01-31,480.3,12399998.0,63953.9267,17.0018,2.9745,2.0
2021-02-28,478.3,12297101.0,63687.6185,16.931,2.9621,2.0
2021-03-31,613.75,25263173.0,81723.3448,17.9197,3.1314,2.0
2021-04-30,581.45,10368755.0,77422.4666,16.9766,2.9666,2.0
2021-05-31,548.4,13793634.0,73021.7227,16.0117,2.798,2.0
2021-06-30,523.55,17113137.0,69712.8427,15.2861,2.6712,2.0
2021-07-31,539.8,15902218.0,71876.5967,15.7606,2.7541,2.0
2021-08-31,570.95,21473332.0,76024.3477,16.6701,2.913,2.0
2021-09-30,686.8,60037116.0,91450.253,20.0526,3.5041,2.0
2021-10-31,626.85,36845050.0,83467.6633,18.3022,3.1982,2.0
2021-11-30,590.1,15829526.0,78574.2492,17.2292,3.0107,2.0
2021-12-31,552.95,18715871.0,73627.5734,16.1445,2.8212,3.5
2022-01-31,616.15,19772537.0,82042.9141,17.9898,3.1436,3.5
2022-02-28,580.5,17136584.0,77295.9696,16.9489,2.9617,3.5
2022-03-31,631.45,13121356.0,84080.1722,17.8477,2.7418,3.5
2022-04-30,592.15,12939140.0,78847.2151,16.7369,2.5711,3.5
2022-05-31,483.7,36493467.0,64406.6503,13.6716,2.1002,3.5
2022-06-30,426.35,10731140.0,56770.2612,12.0506,1.8512,3.5
2022-07-31,596.1,23273179.0,79373.1739,16.8485,2.5883,3.5
2022-08-31,633.85,14922909.0,84399.7421,17.9155,2.7522,3.0
2022-09-30,479.8,65064092.0,63887.3492,13.5613,2.0833,3.0
2022-10-31,524.35,28070997.0,69819.3654,14.8205,2.2768,3.0
2022-11-30,553.05,15889419.0,73640.8888,15.6317,2.4014,3.0
2022-12-31,535.05,19340686.0,71244.1146,15.123,2.3232,3.0
2023-01-31,567.55,19323702.0,75571.6236,16.0415,2.4643,3.0
2023-02-28,575.2,14321460.0,76590.2527,16.2578,2.4975,3.0
2023-03-31,529.2,12104875.0,70465.163,11.3441,1.932,3.0
2023-04-30,616.7,11630649.0,82116.1489,13.2197,2.2514,3.0
2023-05-31,707.2,15324391.0,94166.5972,15.1597,2.5818,3.0
2023-06-30,777.35,18472659.0,103507.3591,16.6635,2.8379,3.5
2023-07-31,751.4,39600236.0,100052.0095,16.1072,2.7432,3.5
2023-08-31,751.35,21920563.0,100045.3518,16.1061,2.743,3.5
2023-09-30,764.8,14123308.0,101836.2748,16.3944,2.7921,3.5
2023-10-31,763.45,15442831.0,101656.5167,16.3655,2.7872,3.5
2023-11-30,781.1,8782804.0,104006.687,16.7438,2.8516,3.5
2023-12-31,777.65,25074800.0,103547.3053,16.6699,2.839,4.0
2024-01-31,776.4,19213610.0,103380.8627,16.6431,2.8345,4.0
2024-02-29,774.45,17293440.0,103121.2121,16.6013,2.8273,4.0
2024-03-31,752.95,8297863.0,100258.3984,13.3549,2.3081,4.0
2024-04-30,762.65,18259463.0,101549.9934,13.527,2.3378,4.0
2024-05-31,727.2,10305107.0,96829.6797,12.8982,2.2291,4.0
2024-06-30,915.2,24200663.0,121862.6552,16.2327,2.8054,4.0
2024-07-31,848.65,23559486.0,113001.2482,15.0523,2.6014,6.0
2024-08-31,863.55,13807880.0,114985.2446,15.3166,2.6471,6.0
2024-09-30,892.25,17977343.0,118806.768,15.8256,2.7351,6.0
2024-10-31,867.95,14888723.0,115571.1228,15.3946,2.6606,6.0
2024-11-30,823.95,6835623.0,109712.3413,14.6142,2.5257,6.0
2024-12-31,759.3,17850747.0,101103.9271,13.4675,2.3275,10.0
2025-01-31,667.7,19165501.0,88907.0093,11.8429,2.0467,10.0
2025-02-28,577.65,14162966.0,76916.4803,10.2457,1.7707,10.0
2025-03-31,669.45,7929096.0,89140.029,10.4,1.7591,10.0
2025-04-30,715.15,10342869.0,95225.1725,11.11,1.8791,10.0
2025-05-31,788.15,6198036.0,104945.4236,12.2441,2.071,10.0
2025-06-30,792.9,6357384.0,105577.9057,12.3178,2.0834,10.0
2025-07-31,751.95,6292261.0,100125.2443,11.6817,1.9758,12.0
2025-08-31,717.65,4085257.0,95558.0578,11.1488,1.8857,12.0
2025-09-30,763.2,3158248.0,101623.2282,11.8565,2.0054,12.0
2025-10-31,867.9,7669961.0,115564.4651,13.483,2.2805,12.0
2025-11-30,884.55,6290612.0,117781.4813,13.7416,2.3243,12.0
2025-12-31,930.05,5941207.0,123839.994,14.4485,2.4438,13.0
2026-01-31,932.45,4505044.0,124159.5639,14.4858,2.4501,13.0
2026-02-28,843.4,4121824.0,112302.189,13.1024,2.2161,13.0
2026-03-31,828.45,493696.0,110311.5365,12.8701,2.1768,13.0
