LT IN Equity,price,volume,mc,pe,bm,div
2006-05-31,257.59,133569666.0,319724.8244,24.7314,6.4613,1.9444
2006-06-30,249.11,182183148.0,311950.5444,23.9169,6.2485,1.9444
2006-07-31,245.51,85178493.0,308986.1274,23.5708,6.1581,1.9444
2006-08-31,267.08,83648070.0,336377.8833,25.6424,6.6993,2.4444
2006-09-30,282.77,156771756.0,356335.2391,27.1482,7.0927,2.4444
2006-10-31,291.6,74070635.0,367188.7437,27.9962,7.3143,2.4444
2006-11-30,303.23,86839884.0,381998.9597,29.1132,7.6061,2.4444
2006-12-31,321.31,79729911.0,405363.413,30.8488,8.0595,2.4444
2007-01-31,353.11,55988838.0,445482.0273,33.9019,8.8571,2.4444
2007-02-28,331.08,89401698.0,417786.2577,31.7865,8.3045,2.4444
2007-03-31,360.02,92331482.0,454417.6306,20.2041,6.6304,4.8889
2007-04-30,377.42,67325697.0,478424.9954,21.1806,6.9509,4.8889
2007-05-31,446.64,81619628.0,568983.6264,25.0653,8.2257,4.8889
2007-06-30,488.44,104364779.0,622297.7493,27.4111,8.9955,4.8889
2007-07-31,579.51,146047113.0,740592.2799,32.5217,10.6727,5.3333
2007-08-31,573.96,124797290.0,739658.0991,32.2099,10.5703,0.8889
2007-09-30,623.99,84836358.0,804149.1325,35.0177,11.4918,0.8889
2007-10-31,942.94,181007312.0,1216102.656,52.9172,17.3659,0.8889
2007-11-30,917.5,143599694.0,1201623.119,51.4893,16.8973,0.8889
2007-12-31,926.09,57547557.0,1213311.014,51.9713,17.0555,0.8889
2008-01-31,810.41,107699342.0,1063592.874,45.4796,14.9251,0.8889
2008-02-29,782.5,76451661.0,1028172.655,43.9132,14.411,0.8889
2008-03-31,674.66,118892381.0,886469.5124,35.791,8.1939,0.4444
2008-04-30,667.39,136388732.0,877390.4873,35.4055,8.1057,0.4444
2008-05-31,662.81,128733215.0,871372.2225,35.1627,8.0501,0.4444
2008-06-30,485.49,173950794.0,638425.0193,25.7556,5.8964,0.4444
2008-07-31,579.01,239274027.0,761408.1552,30.717,7.0323,0.4444
2008-08-31,576.39,156877655.0,758242.6176,30.5779,7.0004,3.3333
2008-09-30,543.64,180848016.0,715167.092,28.8408,6.6027,3.3333
2008-10-31,358.69,222396548.0,472364.2863,19.0287,4.3564,3.3333
2008-11-30,323.22,168968176.0,425657.5518,17.1472,3.9256,3.3333
2008-12-31,343.89,191969249.0,452873.8821,18.2436,4.1766,3.3333
2009-01-31,306.78,190871528.0,404029.479,16.2748,3.7259,3.3333
2009-02-28,272.78,160741960.0,359398.0498,14.4711,3.313,3.3333
2009-03-31,298.4,180865487.0,393156.5794,13.0212,2.8113,3.3333
2009-04-30,390.82,216690347.0,515032.9979,17.0541,3.682,3.3333
2009-05-31,623.2,192198069.0,821264.8404,27.1943,5.8712,3.3333
2009-06-30,696.8,200091573.0,919122.0211,30.406,6.5646,3.3333
2009-07-31,669.49,167003588.0,883096.952,29.2142,6.3073,3.3333
2009-08-31,696.64,111911326.0,918916.7605,30.3992,6.5632,4.6667
2009-09-30,750.76,76038399.0,992623.3303,32.7604,7.073,4.6667
2009-10-31,696.89,105076055.0,939100.3125,30.4099,6.5655,4.6667
2009-11-30,717.6,88702022.0,969200.5067,31.3136,6.7606,4.6667
2009-12-31,745.6,60669011.0,1007017.695,32.5354,7.0244,4.6667
2010-01-31,632.82,102091462.0,854698.4649,27.6142,5.9619,4.6667
2010-02-28,695.24,78498119.0,941357.7586,30.3381,6.55,4.6667
2010-03-31,724.82,59982604.0,982090.3249,18.1986,4.6786,4.6667
2010-04-30,717.8,58200822.0,973332.829,18.0223,4.6332,4.6667
2010-05-31,725.04,88403756.0,983156.2175,18.2042,4.68,4.6667
2010-06-30,803.98,77465223.0,1091099.114,20.186,5.1895,4.6667
2010-07-31,797.47,69031870.0,1082262.791,20.0225,5.1475,4.6667
2010-08-31,806.07,47801498.0,1097164.158,20.2385,5.203,5.5556
2010-09-30,912.51,60694148.0,1242049.157,22.911,5.8901,5.5556
2010-10-31,901.24,60309542.0,1226713.836,22.6282,5.8173,5.5556
2010-11-30,866.69,58839350.0,1185250.164,21.7605,5.5943,5.5556
2010-12-31,879.67,48593459.0,1202998.032,22.0864,5.6781,5.5556
2011-01-31,729.38,102106913.0,997468.7735,18.313,4.708,5.5556
2011-02-28,679.09,105400472.0,930295.5462,17.0503,4.3834,5.5556
2011-03-31,734.18,100838880.0,1005762.804,22.4565,4.0149,5.5556
2011-04-30,709.13,75207719.0,971454.0251,21.6905,3.878,5.5556
2011-05-31,729.93,111304843.0,1001194.664,22.3267,3.9917,5.5556
2011-06-30,810.56,76290935.0,1112529.799,24.7927,4.4326,5.5556
2011-07-31,766.91,61792558.0,1053534.043,23.4577,4.1939,5.5556
2011-08-31,715.09,93769448.0,983327.5682,21.8726,3.9105,6.4444
2011-09-30,603.38,116569143.0,829712.271,18.4557,3.2996,6.4444
2011-10-31,628.07,110798098.0,863662.2686,19.2108,3.4347,6.4444
2011-11-30,565.4,116224331.0,778358.1136,17.294,3.092,6.4444
2011-12-31,442.07,157510404.0,608571.2359,13.5216,2.4175,6.4444
2012-01-31,582.58,152893445.0,802005.9458,17.8195,3.1859,6.4444
2012-02-29,581.36,143473311.0,800669.2272,17.7821,3.1792,6.4444
2012-03-31,581.78,124715088.0,801630.1938,17.0421,2.7279,6.4444
2012-04-30,545.27,75400391.0,751321.6221,15.9725,2.5567,6.4444
2012-05-31,521.16,133480962.0,718098.9804,15.2662,2.4436,6.4444
2012-06-30,621.24,142211952.0,856543.1101,18.1982,2.9129,6.4444
2012-07-31,608.62,84366259.0,839140.1363,17.8284,2.8537,6.4444
2012-08-31,596.84,69202692.0,824286.2654,17.4834,2.7985,7.3333
2012-09-30,709.69,80871188.0,980132.8171,20.789,3.3276,7.3333
2012-10-31,723.04,87028535.0,998577.7875,21.1802,3.3902,7.3333
2012-11-30,741.29,57712046.0,1025631.555,21.7146,3.4758,7.3333
2012-12-31,714.29,53880145.0,988274.9285,20.9237,3.3492,7.3333
2013-01-31,685.27,93590177.0,948120.3985,20.0736,3.2131,7.3333
2013-02-28,607.91,61884452.0,841724.9906,17.8076,2.8504,7.3333
2013-03-31,607.2,89879434.0,840740.2961,16.1127,2.483,7.3333
2013-04-30,672.09,71470289.0,931250.2681,17.8346,2.7484,7.3333
2013-05-31,622.56,100369064.0,862616.6294,16.5202,2.5458,7.3333
2013-06-30,625.73,75887064.0,867586.7522,16.6046,2.5588,7.3333
2013-07-31,564.77,101463338.0,783515.1985,14.9867,2.3095,7.3333
2013-08-31,483.03,106872684.0,670394.4867,12.8178,1.9753,8.22
2013-09-30,525.83,87358104.0,729795.9442,13.9536,2.1503,8.22
2013-10-31,649.13,91252704.0,900922.1057,17.2255,2.6545,8.22
2013-11-30,697.3,70439652.0,968621.781,18.5037,2.8515,8.22
2013-12-31,713.5,78087909.0,991125.3148,18.9335,2.9177,8.22
2014-01-31,657.27,78381527.0,913011.3973,17.4413,2.6877,8.22
2014-02-28,739.77,51934823.0,1028322.421,19.6306,3.0251,8.22
2014-03-31,847.93,86572607.0,1178940.288,24.0117,3.1262,8.22
2014-04-30,862.73,71095593.0,1200159.983,24.4308,3.1808,8.22
2014-05-31,1030.33,92225693.0,1433310.604,29.1769,3.7987,8.22
2014-06-30,1134.47,68020952.0,1578684.814,32.1257,4.1826,8.22
2014-07-31,1001.93,77679216.0,1394256.034,28.3727,3.694,8.22
2014-08-31,1017.67,61112618.0,1416947.072,28.8182,3.752,9.5
2014-09-30,972.17,57542637.0,1353595.196,27.5297,3.5842,9.5
2014-10-31,1103.63,48347139.0,1536642.608,31.2526,4.0689,9.5
2014-11-30,1092.9,45336785.0,1522709.007,30.9487,4.0294,9.5
2014-12-31,996.43,58792587.0,1388304.521,28.2169,3.6737,9.5
2015-01-31,1133.7,58319355.0,1579554.639,32.104,4.1798,9.5
2015-02-28,1178.73,83121339.0,1643558.593,33.3793,4.3458,9.5
2015-03-31,1146.43,74590247.0,1598521.523,33.5019,3.9075,9.5
2015-04-30,1087.53,48930255.0,1517174.971,31.7806,3.7067,9.5
2015-05-31,1102.97,58839681.0,1538705.29,32.2316,3.7593,9.5
2015-06-30,1188.53,65363054.0,1658537.135,34.7321,4.051,9.5
2015-07-31,1194.17,53607230.0,1666398.104,34.8967,4.0702,9.5
2015-08-31,1068.6,68030759.0,1491566.053,31.2274,3.6422,9.5
2015-09-30,977.5,76604826.0,1364583.139,28.5652,3.3317,10.8333
