CPBI IN Equity,price,volume,mc,pe,bm,div
2023-12-31,771.95,11431465.0,171506.4396,45.5966,8.9924,1.0
2024-01-31,785.15,5209722.0,174439.1231,46.3763,9.1461,1.0
2024-02-29,707.4,3521725.0,157165.1731,41.7838,8.2404,1.0
2024-03-31,640.05,5087263.0,142201.8222,43.5705,6.4296,1.0
2024-04-30,637.35,6456674.0,141601.9552,43.3867,6.4024,1.0
2024-05-31,649.35,4858565.0,144268.0311,44.2035,6.523,1.0
2024-06-30,763.55,4679590.0,169640.1865,51.9775,7.6702,1.0
2024-07-31,707.75,3885059.0,157242.9337,48.179,7.1096,1.0
2024-08-31,786.75,5536578.0,174794.5999,53.5568,7.9032,1.0
2024-09-30,889.05,10418809.0,197522.8968,60.5208,8.9309,1.0
2024-10-31,849.05,3272484.0,188635.9772,57.7978,8.5291,1.0
2024-11-30,725.1,3272099.0,161097.635,49.3601,7.2839,1.0
2024-12-31,738.35,4057055.0,164041.4272,50.2621,7.417,1.0
2025-01-31,804.65,11794971.0,178771.4964,54.7754,8.083,1.0
2025-02-28,721.45,14057917.0,160286.7036,49.1116,7.2473,1.0
2025-03-31,708.95,4260678.0,157509.5413,85.006,6.6597,1.0
2025-04-30,698.05,2211471.0,155087.8557,83.699,6.5573,1.0
2025-05-31,777.9,1519274.0,172828.3689,93.2734,7.3074,1.0
2025-06-30,760.0,1461620.0,168851.4724,91.1271,7.1392,1.0
2025-07-31,731.5,1672052.0,162519.5422,87.7098,6.8715,1.0
2025-08-31,746.4,1737181.0,165829.9197,89.4964,7.0115,1.0
2025-09-30,813.1,2536441.0,180648.8582,97.494,7.6381,1.0
2025-10-31,754.45,2607779.0,167618.4123,90.4616,7.0871,1.0
2025-11-30,800.8,3377584.0,177916.1304,96.0192,7.5225,1.0
2025-12-31,828.8,2058206.0,184136.9741,99.3765,7.7855,1.0
2026-01-31,805.0,874943.0,178849.257,96.5228,7.562,1.0
2026-02-28,735.05,3602839.0,163308.2563,88.1355,6.9049,1.0
2026-03-31,704.5,184383.0,156520.8715,84.4724,6.6179,1.0
