KMB IN Equity,price,volume,mc,pe,bm,div
2009-07-31,32.75,862056800.0,227002.7318,29.87,,0.0375
2009-08-31,35.81,815799820.0,248221.5918,32.6585,,0.0375
2009-09-30,38.98,451826060.0,270293.195,30.0733,,0.0375
2009-10-31,35.66,352965400.0,247420.8939,27.5135,,0.0375
2009-11-30,39.36,385128920.0,273249.2305,30.3665,,0.0375
2009-12-31,40.35,249349460.0,280424.5568,25.4238,,0.0375
2010-01-31,38.95,324978340.0,270868.3225,24.54,,0.0375
2010-02-28,37.21,245084520.0,258869.424,23.4483,,0.0375
2010-03-31,37.41,324062660.0,260325.4457,19.8606,3.2698,0.0375
2010-04-30,36.93,333112600.0,257118.65,19.6058,3.2278,0.0375
2010-05-31,37.93,376887300.0,264227.6095,20.1367,3.3152,0.0375
2010-06-30,38.55,696808900.0,268644.1481,19.4488,3.254,0.0425
2010-07-31,38.56,379966440.0,269136.0054,19.4564,,0.0425
2010-08-31,41.43,413510760.0,302744.8069,20.9019,,0.0425
2010-09-30,47.63,455404590.0,349115.4576,23.1495,,0.0425
2010-10-31,46.43,323443130.0,340460.4747,22.5638,,0.0425
2010-11-30,47.67,217039250.0,349956.8056,23.1689,,0.0425
2010-12-31,45.36,202443020.0,333532.0967,21.5818,,0.0425
2011-01-31,38.53,189228010.0,283640.5006,18.3278,,0.0425
2011-02-28,40.51,287289170.0,298276.7038,19.2697,,0.0425
2011-03-31,45.79,305217500.0,337250.4265,21.1234,3.0671,0.0425
2011-04-30,43.01,129605320.0,316906.5739,19.8431,2.8812,0.0425
2011-05-31,44.15,233693680.0,325463.8355,20.3668,2.9572,0.0425
2011-06-30,47.94,317994070.0,353645.0559,21.2008,3.111,0.0425
2011-07-31,44.51,271644170.0,328375.3237,19.6838,,0.05
2011-08-31,44.27,212995810.0,326834.7856,19.5798,,0.05
2011-09-30,45.97,174140190.0,339544.5657,19.6537,,0.05
2011-10-31,51.24,210197640.0,378559.8315,21.9068,,0.05
2011-11-30,46.67,139672090.0,344796.7864,19.953,,0.05
2011-12-31,43.06,176255990.0,318238.3626,17.6238,,0.05
2012-01-31,49.84,202664540.0,368623.9044,20.3991,,0.05
2012-02-29,54.78,236231700.0,405192.4794,22.4212,,0.05
2012-03-31,54.54,429623330.0,403504.8445,21.9899,3.1226,0.05
2012-04-30,58.28,123563340.0,431673.8489,23.5,3.337,0.05
2012-05-31,56.35,169570460.0,417426.7607,22.7218,3.2265,0.05
2012-06-30,59.23,172644970.0,439768.4703,23.5601,3.2972,0.05
2012-07-31,53.58,217646660.0,397831.7833,21.3107,,0.06
2012-08-31,57.41,203000630.0,426538.9551,22.8361,,0.06
2012-09-30,64.88,131950190.0,482157.6205,24.9136,3.4507,0.06
2012-10-31,60.38,131838130.0,448877.1437,23.1855,3.2113,0.06
2012-11-30,67.05,95360080.0,498654.1032,25.7469,3.5661,0.06
2012-12-31,65.01,113535850.0,483762.7346,23.6038,3.4624,0.06
2013-01-31,68.04,281109970.0,506700.8777,24.7041,,0.06
2013-02-28,65.96,121781390.0,491670.6469,23.9506,,0.06
2013-03-31,65.3,139172430.0,487017.3959,22.1882,3.1933,0.06
2013-04-30,70.71,108937560.0,527927.2301,24.0265,3.4579,0.06
2013-05-31,78.3,137600630.0,600444.6608,26.6038,3.8288,0.06
2013-06-30,72.22,141415990.0,554108.8316,22.7536,3.2164,0.06
2013-07-31,65.24,202760440.0,500665.6847,20.5529,2.9053,0.07
2013-08-31,65.96,327935690.0,506482.258,20.7813,2.9376,0.07
2013-09-30,67.81,263697650.0,520945.6068,20.8198,2.9128,0.07
