MAXF IN Equity,price,volume,mc,pe,bm,div
2012-02-29,129.9,15750709.0,43164.4473,347.9851,2.1237,0.0
2012-03-31,134.63,7269384.0,44738.6334,22.3466,1.4176,0.0
2012-04-30,157.84,39205149.0,52450.8224,26.1987,1.6619,0.0
2012-05-31,146.82,6613634.0,48786.5405,24.3685,1.5458,0.0
2012-06-30,152.95,5341773.0,50823.7225,25.386,1.6104,0.0
2012-07-31,140.01,3687174.0,46667.2832,23.2386,1.4742,0.0
2012-08-31,143.39,8186626.0,47798.2146,23.8002,1.5098,0.0
2012-09-30,178.58,20123553.0,59545.0992,29.6412,1.8803,0.0
2012-10-31,192.76,18983797.0,64270.4794,31.9935,2.0295,0.0
2012-11-30,190.61,5948802.0,63565.5584,31.6367,2.0069,20.0
2012-12-31,192.4,7906057.0,64162.9791,31.934,2.0258,20.0
2013-01-31,198.97,3723546.0,66353.5215,33.0243,2.0949,20.0
2013-02-28,193.31,2129244.0,64468.3274,32.086,2.0354,20.0
2013-03-31,178.38,3225476.0,59489.8219,6.051,1.6317,20.0
2013-04-30,172.69,3210796.0,57591.3518,5.8579,1.5796,20.0
2013-05-31,170.14,6799964.0,56830.5242,5.7715,1.5563,20.0
2013-06-30,159.24,5316403.0,53187.207,5.4015,1.4565,20.0
2013-07-31,151.31,4039673.0,50541.1435,5.1328,1.3841,20.0
2013-08-31,128.58,3267119.0,42948.6697,4.3617,1.1761,20.0
2013-09-30,152.75,7473648.0,51019.8283,5.1814,1.3972,12.2
2013-10-31,150.48,3279890.0,50266.3519,5.1044,1.3764,12.2
2013-11-30,167.28,7590811.0,55878.098,5.6743,1.5301,4.0
2013-12-31,172.09,6338566.0,57512.4899,5.8377,1.5741,4.0
2014-01-31,151.23,2563038.0,50569.8631,5.1301,1.3833,4.0
2014-02-28,153.23,4263756.0,51235.4312,5.1976,1.4015,4.0
2014-03-31,165.65,7921232.0,55388.576,31.8231,1.4778,4.0
2014-04-30,170.14,5820072.0,56892.7599,32.6873,1.5179,4.0
2014-05-31,209.91,10455808.0,70208.8734,40.3276,1.8727,4.0
2014-06-30,229.5,20057949.0,76759.7487,44.0904,2.0475,4.0
2014-07-31,244.35,23715165.0,81726.1644,46.943,2.1799,4.0
2014-08-31,259.16,10488173.0,86679.2653,49.7881,2.3121,4.0
2014-09-30,254.74,8581307.0,85264.1168,48.9392,2.2726,3.6
2014-10-31,282.64,6990766.0,94604.6616,54.3004,2.5216,3.6
2014-11-30,290.93,7901415.0,97376.1784,55.8911,2.5955,5.8
2014-12-31,315.29,14494648.0,105530.8337,60.5717,2.8128,5.8
2015-01-31,377.83,25562960.0,126468.8929,72.5866,3.3708,5.8
2015-02-28,366.6,12058343.0,122711.3021,70.4299,3.2706,5.8
2015-03-31,343.35,16481089.0,114929.3226,32.7004,2.7712,5.8
2015-04-30,341.01,7369660.0,114177.9466,32.4767,2.7522,5.8
2015-05-31,374.05,6672661.0,125241.1845,35.6235,3.0189,5.8
