AL IN Equity,price,volume,mc,pe,bm,div
2023-05-31,73.15,384464372.0,429555.4205,34.5863,5.0217,0.5
2023-06-30,83.7,521755780.0,491507.706,39.5745,5.746,0.5
2023-07-31,92.0,732430950.0,540247.4188,43.4988,6.3158,1.3
2023-08-31,91.93,995851024.0,539806.9997,43.4634,6.3106,1.3
2023-09-30,88.5,395294774.0,519694.5279,41.844,6.0755,1.3
2023-10-31,83.85,353201436.0,492388.5442,39.6454,5.7563,1.3
2023-11-30,91.58,421256372.0,537751.7106,43.2979,6.2866,1.3
2023-12-31,90.78,668534040.0,533053.907,42.9196,6.2317,1.3
2024-01-31,87.95,653691846.0,516464.7878,41.5839,6.0377,1.3
2024-02-29,84.95,896123202.0,498848.0242,40.1655,5.8318,1.3
2024-03-31,85.63,509048766.0,502846.046,20.2423,5.5843,1.3
2024-04-30,96.33,810594080.0,565683.4497,22.7719,6.2821,2.475
2024-05-31,112.0,1049965326.0,657759.7098,26.4775,7.3044,2.475
2024-06-30,120.95,628773184.0,710292.3938,28.5922,7.8878,2.475
2024-07-31,128.54,670743878.0,754926.0884,30.3889,8.3835,2.475
2024-08-31,128.23,421114694.0,753046.7749,30.3132,8.3626,2.475
2024-09-30,117.7,338428254.0,691234.9808,27.8251,7.6762,2.475
2024-10-31,104.09,463149658.0,611305.4303,24.6076,6.7886,2.475
2024-11-30,116.04,356090400.0,681486.0422,27.4326,7.5679,3.475
2024-12-31,110.25,254329212.0,647504.2644,26.0638,7.1903,3.475
2025-01-31,108.42,323002578.0,636727.2093,25.63,7.0706,3.475
2025-02-28,106.47,409349624.0,625304.1182,25.1702,6.9438,3.475
2025-03-31,102.11,379718078.0,599697.6003,19.3025,4.9027,3.475
2025-04-30,112.66,232286810.0,661628.9606,21.2958,5.409,1.0
2025-05-31,118.02,306451254.0,693108.533,22.3091,5.6663,3.125
2025-06-30,125.46,239509238.0,736804.0588,23.7155,6.0235,3.125
2025-07-31,121.05,214404654.0,710933.2535,22.8828,5.812,3.125
2025-08-31,126.98,318327500.0,745760.467,24.0038,6.0968,3.125
2025-09-30,142.67,447007603.0,837965.7609,26.9698,6.8501,3.125
2025-10-31,141.53,245236666.0,831326.6347,26.7543,6.7954,3.125
2025-11-30,158.12,410360881.0,928773.8818,29.8904,7.5919,2.0
2025-12-31,179.19,389725073.0,1052535.997,33.8733,8.6035,2.0
2026-01-31,196.69,360691407.0,1155328.452,37.1815,9.4438,2.0
2026-02-28,211.1,349268856.0,1239970.696,39.9055,10.1356,2.0
2026-03-31,202.68,68261795.0,1190512.798,38.3138,9.7314,2.0
