IRB IN Equity,price,volume,mc,pe,bm,div
2021-02-28,10.81,187223130.0,37974.1725,5.2682,0.5682,0.5
2021-03-31,10.86,756684450.0,38167.47,32.6126,0.5531,0.5
2021-04-30,10.46,186563800.0,36761.67,31.4114,0.5327,0.5
2021-05-31,11.31,310515000.0,39748.995,33.964,0.576,0.5
2021-06-30,16.14,2550065290.0,56724.03,48.4685,0.822,0.5
2021-07-31,16.43,811600010.0,57760.8075,49.3544,0.837,0.5
2021-08-31,16.52,504833550.0,58077.1125,49.6246,0.8416,0.5
2021-09-30,20.36,1008961400.0,71555.22,61.1411,1.0369,0.0
2021-10-31,22.65,2538337370.0,79603.425,68.018,1.1535,0.0
2021-11-30,20.52,408417650.0,72117.54,61.6216,1.0451,0.0
2021-12-31,22.74,351436800.0,79919.73,68.2883,1.1581,0.0
2022-01-31,25.42,445813520.0,153511.38,76.3363,1.2946,0.0
2022-02-28,21.59,772997110.0,130351.815,64.8198,1.0993,0.0
2022-03-31,25.13,500920240.0,151729.875,28.9125,1.2075,0.0
2022-04-30,23.61,232349390.0,142580.79,27.1692,1.1347,0.0
2022-05-31,22.09,368054090.0,133371.315,25.4143,1.0614,0.0
2022-06-30,20.23,329280210.0,122138.775,23.2739,0.972,0.0
2022-07-31,21.36,192099740.0,128993.04,24.58,1.0266,0.0
2022-08-31,23.67,411316990.0,142912.935,27.2325,1.1373,0.125
2022-09-30,20.89,238736160.0,126154.71,24.0391,1.004,0.125
2022-10-31,23.38,398319820.0,141161.625,26.8987,1.1234,0.125
2022-11-30,28.03,610875700.0,169242.975,32.2497,1.3469,0.125
2022-12-31,29.09,1331079700.0,175644.315,33.4695,1.3978,0.125
2023-01-31,28.62,1050793140.0,172836.18,32.9344,1.3755,0.125
2023-02-28,29.3,572229173.0,176942.7,33.7169,1.4081,0.125
2023-03-31,25.15,421982035.0,151880.85,21.1345,1.1352,0.125
2023-04-30,27.4,186530777.0,165468.6,23.0252,1.2368,0.125
2023-05-31,28.6,249780746.0,172715.4,24.0336,1.291,0.075
2023-06-30,26.85,173078925.0,162147.15,22.563,1.212,0.075
2023-07-31,26.45,187863622.0,159731.55,22.2269,1.1939,0.075
2023-08-31,28.3,399752332.0,170903.7,23.7815,1.2774,0.075
2023-09-30,31.6,865212672.0,190832.4,26.5546,1.4264,0.075
