NTCPH IN Equity,price,volume,mc,pe,bm,div
2020-06-30,631.15,9184237.0,114912.2024,24.9171,3.0452,9.0
2020-07-31,782.65,12287498.0,142495.5006,30.8981,3.7762,9.0
2020-08-31,751.7,14751744.0,136860.4968,29.6763,3.6269,7.6667
2020-09-30,949.9,23723404.0,172946.3695,37.501,4.5832,7.6667
2020-10-31,900.4,7660841.0,164040.5805,35.5468,4.3443,7.6667
2020-11-30,922.05,7469124.0,167984.9148,36.4015,4.4488,8.75
2020-12-31,961.95,9617787.0,175254.1498,37.9767,4.6413,8.75
2021-01-31,890.25,5942909.0,162233.044,35.1461,4.2954,8.75
2021-02-28,811.35,11272190.0,147939.7984,32.0312,3.9147,6.25
2021-03-31,825.55,8539953.0,150528.9956,34.1136,3.6522,6.25
2021-04-30,896.35,9637969.0,163438.5139,37.0393,3.9654,6.25
2021-05-31,1051.0,24886864.0,191637.0593,43.4298,4.6496,6.25
2021-06-30,1129.35,16698254.0,205923.2283,46.6674,4.9962,6.25
2021-07-31,1024.05,11687319.0,186723.0497,42.3161,4.5304,6.25
2021-08-31,945.3,7340579.0,172363.946,39.062,4.182,7.25
2021-09-30,891.55,4120586.0,162563.2879,36.8409,3.9442,7.25
2021-10-31,827.2,4826083.0,150829.8488,34.1818,3.6595,6.0
2021-11-30,837.6,4327173.0,152726.1622,34.6116,3.7055,6.5
2021-12-31,904.65,7354478.0,164976.6465,37.3822,4.0021,6.5
2022-01-31,910.35,3681976.0,166016.128,37.6178,4.0273,3.5
2022-02-28,869.5,4515993.0,158701.2835,35.9298,3.8466,5.5
2022-03-31,756.15,6314013.0,138012.6228,81.132,3.237,5.5
2022-04-30,786.85,3767816.0,143615.9918,84.426,3.3684,4.5
2022-05-31,690.95,8229957.0,126137.8732,74.1363,2.9579,4.5
2022-06-30,649.8,4306377.0,118625.6458,69.721,2.7817,4.5
2022-07-31,682.15,3906741.0,124531.3701,73.1921,2.9202,4.5
2022-08-31,615.65,15105170.0,112391.3186,66.0569,2.6355,8.0
2022-09-30,605.8,11176629.0,110593.1306,65.0,2.5934,8.0
2022-10-31,600.75,4947094.0,109671.2169,64.4582,2.5717,6.0
2022-11-30,560.7,6419976.0,102359.8024,60.1609,2.4003,2.25
2022-12-31,561.65,5918359.0,102533.2317,60.2629,2.4044,2.25
2023-01-31,533.05,2980741.0,97312.0968,57.1942,2.2819,2.25
2023-02-28,537.95,4514090.0,98206.6269,57.72,2.3029,3.0
2023-03-31,563.35,9888763.0,102843.5789,14.3785,2.1091,3.0
2023-04-30,574.95,4606098.0,104911.1926,14.6746,2.1526,3.0
2023-05-31,618.8,14624024.0,112435.085,15.7938,2.3167,3.0
2023-06-30,693.2,19550406.0,125953.4598,17.6927,2.5953,3.0
2023-07-31,833.95,16886291.0,151527.5358,21.2851,3.1222,3.0
2023-08-31,913.65,19281505.0,163643.7327,23.3193,3.4206,9.0
2023-09-30,873.05,15028235.0,156371.872,22.2831,3.2686,9.0
2023-10-31,800.35,8301450.0,143350.5845,20.4275,2.9964,9.0
2023-11-30,792.5,22518544.0,141944.572,20.2272,2.967,9.5
