IIB IN Equity,price,volume,mc,pe,bm,div
2021-01-31,846.1,225282411.0,640733.4345,26.2927,1.5803,0.0
2021-02-28,1062.95,293638126.0,805061.5141,33.0314,1.9853,0.0
2021-03-31,954.45,157575613.0,722885.3306,24.0174,1.6969,0.0
2021-04-30,934.95,151072263.0,722861.4309,23.5267,1.6622,0.0
2021-05-31,1013.0,136254131.0,783582.6059,25.4907,1.801,0.0
2021-06-30,1016.35,104247053.0,786529.6928,22.3275,1.7659,0.0
2021-07-31,981.0,67113244.0,759173.1251,21.551,1.7044,0.0
2021-08-31,992.4,69363710.0,767995.3204,21.8014,1.7242,5.0
2021-09-30,1111.9,127932518.0,860473.5961,21.7891,1.899,5.0
2021-10-31,1140.2,80961698.0,882374.3091,22.3437,1.9473,5.0
2021-11-30,883.0,139386901.0,683570.3299,17.3035,1.5081,5.0
2021-12-31,888.15,124458344.0,687915.3418,15.8316,1.4769,5.0
2022-01-31,872.1,93160279.0,675499.5868,15.5455,1.4502,5.0
2022-02-28,920.7,104480711.0,713188.779,16.4118,1.531,5.0
2022-03-31,935.4,89169013.0,724619.9227,15.0701,1.5088,5.0
2022-04-30,978.55,52830539.0,758065.6514,15.7653,1.5784,5.0
2022-05-31,930.85,74057767.0,721197.4778,14.9968,1.5015,5.0
2022-06-30,794.35,57865648.0,615621.6019,11.3511,1.2385,5.0
2022-07-31,1043.5,99872789.0,808819.6038,14.9114,1.627,5.0
2022-08-31,1107.45,63308897.0,858450.0328,15.8252,1.7267,8.5
2022-09-30,1185.2,113947481.0,918796.7459,15.1058,1.8057,8.5
2022-10-31,1142.65,88459922.0,885831.9441,14.5635,1.7409,8.5
2022-11-30,1167.8,56447576.0,905448.2133,14.884,1.7792,8.5
2022-12-31,1220.1,62903965.0,946083.8952,13.9043,1.788,8.5
2023-01-31,1082.95,79577773.0,839735.7219,12.3413,1.587,8.5
2023-02-28,1077.7,61178345.0,836124.8038,12.2815,1.5793,8.5
2023-03-31,1067.95,103997976.0,828617.2767,11.1233,1.5065,8.5
2023-04-30,1152.8,59593843.0,894451.9843,12.0071,1.6261,8.5
