VTEX IN Equity,price,volume,mc,pe,bm,div
2015-07-31,159.79,8328200.0,50831.103,12.4797,1.4798,2.2
2015-08-31,181.97,16690580.0,57886.8253,14.212,1.6853,3.0
2015-09-30,186.98,6533945.0,59480.566,14.6032,1.7316,2.0
2015-10-31,145.13,3694275.0,46167.5823,11.3347,1.3441,2.0
2015-11-30,154.57,5358260.0,49170.5588,12.072,1.4315,2.0
2015-12-31,165.93,3173215.0,52784.3102,12.9592,1.5367,2.0
2016-01-31,157.47,9682000.0,50093.0833,12.2985,1.4584,2.0
2016-02-29,149.21,3808550.0,47465.4789,11.6534,1.3819,2.0
2016-03-31,154.7,4625365.0,49211.9133,7.6668,1.209,3.0
2016-04-30,175.3,4337025.0,55765.0188,8.6877,1.37,3.0
2016-05-31,169.2,5542260.0,53824.5361,8.3854,1.3223,3.0
2016-06-30,190.25,8254215.0,60520.7919,9.4286,1.4868,3.0
2016-07-31,217.44,6733300.0,69170.2509,10.7761,1.6993,3.0
2016-08-31,200.37,1999835.0,63740.0845,9.9301,1.5659,3.0
2016-09-30,213.07,11034375.0,67780.1059,10.5595,1.6651,3.0
2016-10-31,227.19,3493480.0,72271.8421,11.2593,1.7755,3.0
2016-11-30,220.69,10478470.0,70204.1147,10.9372,1.7247,3.0
2016-12-31,222.38,2600150.0,70741.7278,11.0209,1.7379,3.0
2017-01-31,252.74,2757310.0,80399.6016,12.5255,1.9752,3.0
2017-02-28,265.82,1843490.0,84560.5094,13.1738,2.0774,3.0
2017-03-31,262.53,4773915.0,75295.5877,8.0476,1.718,3.0
2017-04-30,259.69,3169970.0,74481.0507,7.9606,1.6994,3.0
2017-05-31,259.4,3482120.0,74397.8801,7.9517,1.6975,0.0
2017-06-30,227.96,3306465.0,65414.2735,6.9879,1.4918,0.0
2017-07-31,243.73,3786855.0,69939.5547,7.4713,1.595,0.0
2017-08-31,244.72,4395690.0,70223.6402,7.5017,1.6015,0.0
2017-09-30,267.42,11538550.0,76737.5199,8.1975,1.75,3.0
2017-10-31,257.94,2366880.0,74017.186,7.9069,1.688,3.0
2017-11-30,261.77,10855105.0,75116.2234,8.0243,1.713,3.0
2017-12-31,275.77,3220135.0,79133.5941,8.4535,1.8047,3.0
2018-01-31,259.48,10679135.0,74459.0964,7.9541,1.6981,3.0
2018-02-28,269.59,3976145.0,77417.4324,8.2641,1.7642,3.0
2018-03-31,244.44,1732375.0,70195.1748,11.6914,1.3923,3.0
2018-04-30,245.34,3448995.0,70453.6254,11.7345,1.3974,3.0
2018-05-31,250.74,9109165.0,72012.854,11.9927,1.4282,3.0
2018-06-30,243.99,7304170.0,70074.2452,11.6699,1.3897,3.0
2018-07-31,242.23,1813890.0,69568.7709,11.5857,1.3797,3.0
2018-08-31,220.02,2445215.0,63194.4304,10.5234,1.2532,3.0
2018-09-30,203.13,4805020.0,58343.2627,9.7156,1.157,3.0
2018-10-31,202.12,1648335.0,58053.1692,9.6673,1.1512,3.0
2018-11-30,211.97,2437550.0,60883.3588,10.1384,1.2073,3.0
2018-12-31,222.8,2304740.0,63994.0196,10.6564,1.269,3.0
2019-01-31,215.46,989865.0,61921.2218,10.3053,1.2272,3.0
2019-02-28,201.69,1622090.0,57963.8505,9.6467,1.1488,3.0
2019-03-31,217.63,2470525.0,62544.8598,8.4059,1.099,3.0
2019-04-30,225.33,1192535.0,64773.9927,8.7033,1.1379,3.0
2019-05-31,217.87,1615200.0,62629.5202,8.4151,1.1003,3.0
2019-06-30,212.07,1560070.0,60962.236,8.1911,1.071,3.0
2019-07-31,182.12,4866360.0,52357.8245,7.0343,0.9197,3.0
2019-08-31,174.44,1486960.0,50149.8952,6.7377,0.8809,3.0
2019-09-30,188.98,1481005.0,54330.0114,7.2993,0.9544,3.5
2019-10-31,180.75,818550.0,51966.4022,6.9814,0.9128,3.5
2019-11-30,179.03,2470050.0,51471.8948,6.915,0.9041,3.5
2019-12-31,198.49,2435125.0,57066.7285,7.6666,1.0024,3.5
2020-01-31,207.36,630215.0,59616.8916,8.0092,1.0472,3.5
2020-02-29,211.04,1364295.0,60693.7956,8.1513,1.0658,3.5
2020-03-31,125.01,3258100.0,35952.1009,6.1148,0.5841,3.5
2020-04-30,129.21,2561230.0,37159.9949,6.3202,0.6037,3.5
2020-05-31,131.5,1880055.0,37818.5847,6.4322,0.6144,3.5
2020-06-30,130.25,3349040.0,37459.0925,6.3711,0.6086,3.5
2020-07-31,133.05,3720200.0,38264.3551,6.508,0.6217,3.5
2020-08-31,169.37,4883735.0,48709.7619,8.2846,0.7914,3.5
2020-09-30,160.16,2025505.0,46061.023,7.8341,0.7483,3.5
2020-10-31,153.0,2277165.0,44001.8529,7.4839,0.7149,0.0
