PIDI IN Equity,price,volume,mc,pe,bm,div
2013-02-28,120.6,18842282.0,123649.3162,37.7465,9.2721,0.95
2013-03-31,131.9,8926334.0,135235.0316,31.7067,8.1885,0.95
2013-04-30,124.6,5687888.0,127750.4544,29.9519,7.7353,0.95
2013-05-31,142.65,12629852.0,146256.8405,34.2909,8.8558,0.95
2013-06-30,133.6,3729758.0,136978.0316,32.1154,8.294,0.95
2013-07-31,134.15,8302834.0,137541.9382,32.2476,8.3281,1.3
2013-08-31,112.35,11631028.0,115190.7324,27.0072,6.9748,1.3
2013-09-30,125.5,14404452.0,128673.2258,30.1683,7.7911,1.3
2013-10-31,144.3,14120844.0,147948.5776,34.6875,8.9583,1.3
2013-11-30,150.45,13955718.0,154254.0783,36.1659,9.34,1.3
2013-12-31,142.88,9582270.0,146487.5469,34.345,8.8698,1.3
2014-01-31,139.93,9739620.0,143462.9572,33.6358,8.6866,1.3
2014-02-28,143.18,7963266.0,146795.1323,34.4171,8.8884,1.3
2014-03-31,153.53,10288530.0,157406.8286,35.0114,8.0613,1.3
2014-04-30,159.25,7371826.0,163276.5834,36.317,8.3619,1.3
2014-05-31,151.38,10977738.0,155202.4666,34.5211,7.9484,1.3
2014-06-30,162.9,20125836.0,167018.8724,37.1494,8.5536,1.3
2014-07-31,186.15,7790638.0,190856.7409,42.4515,9.7744,1.3
2014-08-31,205.25,10121104.0,210439.6781,46.8073,10.7773,1.3
2014-09-30,198.55,10415320.0,203570.2708,45.2794,10.4255,1.35
2014-10-31,207.1,6257666.0,212336.4547,47.2292,10.8744,1.35
2014-11-30,230.15,22253758.0,235978.7061,52.4857,12.0847,1.35
2014-12-31,271.52,19897728.0,278401.5562,61.9213,14.2573,1.35
2015-01-31,285.35,25435592.0,292576.6838,65.0741,14.9832,1.35
2015-02-28,280.73,10005806.0,287834.6553,64.0194,14.7403,1.35
2015-03-31,299.93,29309188.0,307520.8057,59.985,13.5437,1.35
2015-04-30,283.52,16250214.0,290705.4644,56.705,12.8031,1.35
2015-05-31,276.02,17201854.0,283015.5218,55.205,12.4645,1.35
2015-06-30,275.2,14374330.0,282169.6281,55.04,12.4272,1.35
2015-07-31,279.08,15999560.0,286142.7651,55.815,12.6022,1.35
2015-08-31,285.43,22591770.0,292653.5832,57.085,12.8889,1.45
2015-09-30,283.93,9833640.0,291115.5947,56.785,12.8212,1.45
2015-10-31,280.8,10217368.0,287911.452,56.16,12.6801,1.45
2015-11-30,279.15,10912208.0,286219.6646,55.83,12.6056,1.45
2015-12-31,276.23,18079254.0,283227.4993,55.245,12.4735,1.45
2016-01-31,283.13,19437662.0,290302.4192,56.625,12.7851,1.45
2016-02-29,293.33,28403130.0,300760.9964,58.665,13.2457,1.45
2016-03-31,294.65,18787522.0,302119.5861,37.6309,11.4526,3.275
2016-04-30,301.52,80448262.0,309168.8722,38.5089,11.7199,3.275
2016-05-31,353.13,30528402.0,362076.9688,45.099,13.7255,3.275
2016-06-30,359.95,21840912.0,369074.9873,45.9706,13.9908,3.275
2016-07-31,365.4,21204928.0,374663.1487,46.6667,14.2026,3.275
2016-08-31,349.28,26992056.0,358129.3685,44.6073,13.5758,2.075
2016-09-30,340.8,23062698.0,349439.5213,43.5249,13.2464,2.075
2016-10-31,362.7,23268700.0,371894.7018,46.3218,14.0977,2.075
2016-11-30,320.2,24197492.0,328317.2967,40.894,12.4457,2.075
2016-12-31,294.9,16470012.0,302375.9238,37.6628,11.4624,2.075
2017-01-31,336.75,33943220.0,345286.8509,43.0077,13.089,2.075
2017-02-28,341.08,17711402.0,349721.4927,43.56,13.2571,2.075
