MUTH IN Equity,price,volume,mc,pe,bm,div
2024-10-31,1930.45,10961995.0,775005.9684,16.5675,2.9119,24.0
2024-11-30,1917.05,11876472.0,769626.3522,16.4525,2.8916,24.0
2024-12-31,2136.15,10966043.0,857587.0908,17.2782,3.067,24.0
2025-01-31,2258.8,10970553.0,906826.637,18.2702,3.2431,24.0
2025-02-28,2132.8,15907941.0,856242.1867,17.2511,3.0622,24.0
2025-03-31,2382.9,13771785.0,956648.3059,18.0423,3.2576,24.0
2025-04-30,2169.9,25368636.0,871136.4971,16.4296,2.9664,26.0
2025-05-31,2215.4,24956389.0,889403.1041,16.7741,3.0286,26.0
2025-06-30,2623.9,18006500.0,1053401.104,17.1158,3.4703,26.0
2025-07-31,2612.3,8530086.0,1048756.1,17.0401,3.455,26.0
2025-08-31,2637.8,17237782.0,1058993.546,17.2065,3.4887,26.0
2025-09-30,3077.1,12257752.0,1235358.648,16.9143,3.7642,26.0
2025-10-31,3178.7,11982069.0,1276147.845,17.4728,3.8885,26.0
2025-11-30,3744.2,13524002.0,1503178.268,20.5812,4.5803,26.0
2025-12-31,3811.7,9260767.0,1530277.39,17.5525,4.2957,26.0
2026-01-31,3829.6,11271718.0,1537463.676,17.6349,4.3159,26.0
2026-02-28,3353.5,25037879.0,1346324.534,15.4425,3.7793,26.0
2026-03-31,3304.6,3055873.0,1326692.765,15.2174,3.7242,26.0
