VOLT IN Equity,price,volume,mc,pe,bm,div
2015-07-31,317.6,43861494.0,105088.9919,27.3322,4.9993,2.5
2015-08-31,272.95,62087762.0,90314.9884,23.4897,4.2965,2.25
2015-09-30,268.3,40931344.0,88776.3744,23.0895,4.2233,2.25
2015-10-31,283.45,32600189.0,93789.2782,24.3933,4.4618,2.25
2015-11-30,288.5,29866854.0,95460.2461,24.8279,4.5412,2.25
2015-12-31,324.3,32284235.0,107305.9196,27.9088,5.1048,2.25
2016-01-31,286.55,26810416.0,94815.0208,24.6601,4.5105,2.25
2016-02-29,223.4,42688190.0,73919.6498,19.2255,3.5165,2.25
2016-03-31,278.1,35532933.0,92019.0448,23.7692,3.2734,2.25
2016-04-30,293.5,33682199.0,97114.6698,25.0855,3.4547,2.25
2016-05-31,335.9,60001284.0,111144.1825,28.7094,3.9538,2.25
2016-06-30,322.25,25233660.0,106627.6059,27.5427,3.7931,2.25
2016-07-31,349.55,27059870.0,115660.7592,29.8761,4.1145,2.25
2016-08-31,390.3,52570913.0,129144.3121,33.359,4.5941,2.6
2016-09-30,379.1,25060944.0,125438.4031,32.4017,4.4623,2.6
2016-10-31,386.4,22561422.0,127853.8616,33.0256,4.5482,2.6
2016-11-30,315.85,44738289.0,104509.9436,26.9957,3.7178,2.6
2016-12-31,328.25,26986650.0,108612.9143,28.0556,3.8637,2.6
2017-01-31,326.95,29566572.0,108182.7641,27.9444,3.8484,2.6
2017-02-28,373.5,34439277.0,123585.4486,31.9231,4.3964,2.6
2017-03-31,412.1,44601613.0,136357.5993,26.3491,4.1238,2.6
2017-04-30,411.05,26422627.0,136010.1704,26.282,4.1133,2.6
2017-05-31,486.35,63592108.0,160925.7909,31.0965,4.8668,2.6
2017-06-30,457.25,35519284.0,151297.0451,29.2359,4.5756,2.6
2017-07-31,504.25,23941337.0,166848.6277,32.241,5.0459,2.6
2017-08-31,524.75,35744052.0,173631.7647,33.5518,5.251,3.5
2017-09-30,506.05,25621574.0,167444.2202,32.3561,5.0639,3.5
2017-10-31,567.6,21380546.0,187810.1756,36.2916,5.6798,3.5
2017-11-30,636.6,33517199.0,210641.2261,40.7033,6.3703,3.5
2017-12-31,655.9,26584283.0,217027.3016,41.9373,6.5634,3.5
2018-01-31,605.0,27310302.0,200185.2683,38.6829,6.0541,3.5
2018-02-28,609.4,35413862.0,201641.1606,38.9642,6.0981,3.5
2018-03-31,620.9,32198775.0,205446.3351,35.8902,5.2608,3.5
2018-04-30,642.5,31031088.0,212593.4455,37.1387,5.4438,3.5
2018-05-31,539.95,49656332.0,178661.2154,31.211,4.5749,3.5
2018-06-30,523.8,37151624.0,173317.4268,30.2775,4.4381,3.5
2018-07-31,567.95,27804441.0,187925.9881,32.8295,4.8122,3.5
2018-08-31,614.8,37559544.0,203427.9382,35.5376,5.2091,4.0
2018-09-30,532.2,27564476.0,176096.8586,30.763,4.5093,4.0
2018-10-31,540.25,24679187.0,178760.4808,31.2283,4.5775,4.0
2018-11-30,553.95,30850482.0,183293.6017,32.0202,4.6936,4.0
2018-12-31,553.5,30377500.0,183144.7036,31.9942,4.6898,4.0
2019-01-31,541.1,22318672.0,179041.7328,31.2775,4.5847,4.0
2019-02-28,566.55,25732342.0,187462.7494,32.7486,4.8003,4.0
2019-03-31,629.45,33150047.0,208275.3996,41.0065,5.0675,4.0
2019-04-30,602.7,23889935.0,199424.2328,39.2638,4.8522,4.0
2019-05-31,580.15,49557715.0,191962.7819,37.7948,4.6706,4.0
2019-06-30,643.4,29676702.0,212891.2417,41.9153,5.1798,4.0
2019-07-31,583.0,28690698.0,192905.8034,37.9805,4.6936,4.0
2019-08-31,640.0,31609845.0,211766.2336,41.6938,5.1525,4.0
2019-09-30,679.55,23620552.0,224852.7251,44.2704,5.4709,4.0
2019-10-31,708.5,22506960.0,234431.8383,46.1564,5.704,4.0
2019-11-30,700.6,26675214.0,231817.8488,45.6417,5.6404,4.0
2019-12-31,659.3,26650323.0,218152.3091,42.9511,5.3079,4.0
2020-01-31,694.2,24490112.0,229700.1865,45.2248,5.5888,4.0
2020-02-29,678.75,33583351.0,224588.0173,44.2182,5.4644,4.0
2020-03-31,476.9,34664857.0,157798.9325,30.5118,3.6858,4.0
2020-04-30,505.4,42921520.0,167229.1476,32.3353,3.906,4.0
2020-05-31,480.15,68095531.0,158874.3079,30.7198,3.7109,4.0
2020-06-30,546.45,69617012.0,180811.9662,34.9616,4.2233,4.0
2020-07-31,598.4,53123258.0,198001.4284,38.2853,4.6248,4.0
