UNITDSPR IN Equity,price,volume,mc,pe,bm,div
2014-09-30,480.56,57207205.0,349193.5112,,11.5159,0.5
2014-10-31,552.77,31475615.0,401664.1021,,13.2463,0.5
2014-11-30,547.11,18709340.0,397551.3179,,13.1107,0.0
2014-12-31,556.73,26395205.0,404541.5551,,13.3412,0.0
2015-01-31,690.27,51720970.0,501576.9258,,16.5413,0.0
2015-02-28,684.03,27564215.0,497043.5511,,16.3918,0.0
2015-03-31,731.46,48705195.0,531507.1655,,80.5906,0.0
2015-04-30,666.03,28835230.0,483963.167,,73.3816,0.0
2015-05-31,727.32,38977435.0,528498.8903,,80.1344,0.0
2015-06-30,676.21,27256385.0,491360.3763,,74.5033,0.0
2015-07-31,741.13,26828275.0,538533.7346,,81.656,0.0
2015-08-31,661.49,18337330.0,480664.2363,,72.8814,0.0
2015-09-30,618.86,16548610.0,449687.6459,,68.1846,0.0
2015-10-31,629.09,12731150.0,457121.1418,,69.3117,0.0
2015-11-30,623.38,29437940.0,452972.0256,,68.6826,0.0
2015-12-31,598.29,20279895.0,434740.6693,,65.9182,0.0
2016-01-31,497.69,22057295.0,361640.8143,,54.8343,0.0
2016-02-29,530.13,38591235.0,385212.9652,,58.4085,0.0
2016-03-31,499.88,50923055.0,363232.144,256.3487,22.2201,0.0
2016-04-30,475.2,34989180.0,345298.7186,243.6923,21.1231,0.0
2016-05-31,494.02,54967000.0,358974.0775,253.3436,21.9596,0.0
2016-06-30,500.03,23083390.0,363341.1398,256.4256,22.2268,0.0
2016-07-31,490.86,35119670.0,356677.89,251.7231,21.8192,0.0
2016-08-31,462.61,56224210.0,336150.3463,237.2359,20.5634,0.0
2016-09-30,493.29,39612905.0,358443.6039,252.9692,21.9272,0.0
2016-10-31,453.36,31412605.0,329428.9381,232.4923,20.1523,0.0
2016-11-30,383.69,44235215.0,278804.0005,196.7641,17.0554,0.0
2016-12-31,388.56,23870075.0,282342.7492,199.2615,17.2718,0.0
2017-01-31,435.7,63575660.0,316596.4893,223.4359,19.3673,0.0
2017-02-28,469.02,39310120.0,340808.1095,240.5231,20.8484,0.0
2017-03-31,434.94,36611085.0,316044.2348,308.0312,17.6996,0.0
2017-04-30,375.19,62299690.0,272627.5714,265.7153,15.2681,0.0
2017-05-31,453.07,98802935.0,329218.2038,320.8711,18.4374,0.0
2017-06-30,479.67,80064800.0,348546.7937,339.7096,19.5199,0.0
2017-07-31,507.14,60299060.0,368507.5593,359.1643,20.6377,0.0
2017-08-31,508.58,41158915.0,369553.919,360.1841,20.6963,0.0
2017-09-30,479.53,32906000.0,348445.0643,339.6105,19.5142,0.0
2017-10-31,610.27,76142285.0,443445.8102,432.2025,24.8346,0.0
2017-11-30,656.93,54925585.0,477350.7842,465.2479,26.7334,0.0
2017-12-31,733.77,46837790.0,533185.7046,519.6671,29.8603,0.0
2018-01-31,657.12,71986740.0,477488.8455,465.3824,26.7411,0.0
2018-02-28,658.39,40802235.0,478411.6636,466.2819,26.7928,0.0
2018-03-31,625.93,43588035.0,454824.9709,70.0459,18.8014,0.0
2018-04-30,724.44,36078375.0,526406.1507,81.0698,21.7604,0.0
2018-05-31,668.72,54850400.0,485917.8415,74.8344,20.0867,0.0
2018-06-30,664.95,34909044.0,483178.4135,74.4125,19.9735,0.0
2018-07-31,587.05,40257303.0,426573.2576,65.6949,17.6336,0.0
2018-08-31,630.25,27315181.0,457964.0501,70.5293,18.9312,0.0
2018-09-30,514.3,25125440.0,373710.2911,57.5537,15.4483,0.0
2018-10-31,576.8,37739003.0,419125.2108,64.5479,17.3257,0.0
2018-11-30,672.4,40728906.0,488591.872,75.2462,20.1973,0.0
2018-12-31,635.8,31205300.0,461996.895,71.1504,19.0979,0.0
2019-01-31,539.8,35145584.0,392239.5784,60.4073,16.2143,0.0
2019-02-28,546.25,34060582.0,396926.3981,61.1291,16.408,0.0
2019-03-31,553.9,35665345.0,402485.1842,56.1196,13.0241,0.0
2019-04-30,561.1,28312043.0,407716.983,56.849,13.1934,0.0
2019-05-31,554.05,36266938.0,402594.18,56.1348,13.0277,0.0
2019-06-30,584.95,33513415.0,425047.3163,59.2655,13.7542,0.0
2019-07-31,594.05,35429879.0,431659.7286,60.1874,13.9682,0.0
2019-08-31,628.25,48584219.0,456510.7727,63.6525,14.7724,0.0
2019-09-30,667.0,30086957.0,484668.0229,67.5785,15.6835,0.0
2019-10-31,624.95,27415323.0,454112.8649,63.3181,14.6948,0.0
2019-11-30,606.25,23088087.0,440524.721,61.4235,14.2551,0.0
2019-12-31,599.55,25339672.0,435656.2416,60.7447,14.0975,0.0
2020-01-31,619.0,66983486.0,449789.3646,62.7153,14.5549,0.0
2020-02-29,686.35,58612599.0,498728.482,69.539,16.1385,0.0
2020-03-31,484.6,47203167.0,352129.1213,52.1636,9.4455,0.0
2020-04-30,536.65,58895006.0,389950.6664,57.7664,10.4601,0.0
2020-05-31,594.1,149775062.0,431696.0606,63.9505,11.5798,0.0
2020-06-30,592.3,96404941.0,430388.1109,63.7567,11.5447,0.0
2020-07-31,581.2,77858351.0,422322.4212,62.5619,11.3284,0.0
2020-08-31,546.65,42699453.0,397217.0536,58.8428,10.655,0.0
2020-09-30,515.85,52070055.0,374836.5811,55.5274,10.0546,0.0
2020-10-31,504.3,31800310.0,366443.9065,54.2842,9.8295,0.0
2020-11-30,548.4,57961712.0,398488.674,59.0312,10.6891,0.0
2020-12-31,578.25,46392257.0,420178.8398,62.2443,11.2709,0.0
2021-01-31,578.7,71807528.0,420505.8273,62.2928,11.2797,0.0
2021-02-28,535.1,53163914.0,388824.3791,57.5996,10.4298,0.0
2021-03-31,556.35,50563963.0,404265.4519,102.8373,9.8127,0.0
2021-04-30,519.55,30956951.0,377525.147,96.0351,9.1637,0.0
2021-05-31,612.45,53251432.0,445029.8841,113.207,10.8022,0.0
2021-06-30,661.65,52456511.0,480780.5091,122.3013,11.67,0.0
2021-07-31,640.75,52936753.0,465593.7566,118.4381,11.3014,0.0
2021-08-31,715.15,55952213.0,519655.677,132.1904,12.6136,0.0
