CLPL IN Equity,price,volume,mc,pe,bm,div
2014-03-31,38.6,2784260.0,2916.2301,20.8649,6.7595,0.5
2014-04-30,35.64,1470285.0,2692.6021,19.2649,6.2412,0.5
2014-05-31,35.18,1237755.0,2657.8491,19.0162,6.1606,0.5
2014-06-30,43.49,1322305.0,3285.6696,12.7089,5.3219,0.5
2014-07-31,72.87,2995340.0,5505.3287,21.2946,8.9172,0.5
2014-08-31,88.02,3218620.0,6649.9113,25.7218,10.7711,0.5
2014-09-30,83.0,2999920.0,6270.6503,24.2548,10.1568,0.5
2014-10-31,80.39,2678875.0,6073.4647,23.4921,9.8374,0.5
2014-11-30,87.76,1903145.0,6630.2683,25.6458,10.7393,0.5
2014-12-31,80.78,1408820.0,6102.9292,23.6061,9.8851,0.8
2015-01-31,120.15,4449710.0,9077.3329,35.111,14.7028,0.8
2015-02-28,154.97,7341925.0,11707.9832,45.2864,18.9638,0.8
2015-03-31,205.06,4965495.0,15492.2846,59.924,25.0934,0.8
2015-04-30,187.21,4274980.0,14143.7161,54.7078,22.909,0.8
2015-05-31,189.93,1588630.0,14349.2121,55.5026,23.2419,0.8
2015-06-30,186.17,1842125.0,14065.1441,54.4039,22.7818,0.8
2015-07-31,240.98,7294410.0,18206.0397,70.4208,29.4889,0.8
2015-08-31,281.19,6144190.0,21243.9044,82.1712,34.4094,0.8
2015-09-30,288.45,5669395.0,21792.3984,84.2928,35.2978,0.8
2015-10-31,255.34,2673330.0,19290.9368,74.6172,31.2462,1.0
2015-11-30,280.33,3123485.0,21178.9324,81.9199,34.3042,1.0
2015-12-31,282.1,1539685.0,21312.6559,82.4372,34.5208,1.0
2016-01-31,241.05,2500590.0,18211.3282,70.4413,29.4975,1.0
2016-02-29,187.84,1815110.0,14191.3126,54.8919,22.9861,0.5
2016-03-31,202.04,1325870.0,15264.1226,26.113,11.9123,0.5
2016-04-30,193.89,676010.0,14648.3901,25.0596,11.4318,0.5
2016-05-31,198.48,2488975.0,14995.1646,25.6528,11.7024,0.5
2016-06-30,198.77,1015130.0,15017.0741,25.6903,11.7195,0.5
2016-07-31,231.46,2412925.0,17486.8047,29.9154,13.6469,0.5
2016-08-31,241.04,1612700.0,18210.5718,31.1536,14.2117,0.5
2016-09-30,260.26,1484055.0,19662.6447,33.6377,15.3449,0.7
2016-10-31,393.1,4858589.0,29698.7062,50.8068,23.1772,0.7
2016-11-30,367.2,2700526.0,27741.9611,47.4593,21.6501,0.7
2016-12-31,343.15,837811.0,25924.9835,44.3509,20.2321,0.7
2017-01-31,421.35,2222383.0,31832.9938,54.458,24.8428,0.7
2017-02-28,404.5,1223237.0,30559.9762,52.2802,23.8493,0.7
2017-03-31,388.35,874727.0,29350.2315,30.6996,13.0583,0.7
2017-04-30,393.8,807335.0,29762.1248,31.1304,13.2416,0.7
2017-05-31,531.55,7870268.0,40172.8224,42.0198,17.8734,0.7
2017-06-30,552.7,2270060.0,41771.2707,43.6917,18.5846,0.7
2017-07-31,680.9,4410364.0,51460.2102,53.8261,22.8953,0.7
2017-08-31,651.1,3556474.0,49208.023,51.4704,21.8933,0.7
2017-09-30,690.8,3003754.0,52208.4201,54.6087,23.2282,1.5
2017-10-31,671.05,1002911.0,50715.7792,53.0474,22.5641,1.5
2017-11-30,648.85,1406920.0,49037.9755,51.2925,21.8176,1.5
2017-12-31,631.45,613034.0,47722.9401,49.917,21.2326,1.5
2018-01-31,589.85,1330965.0,44578.9472,46.6285,19.8337,1.5
2018-02-28,588.8,1221985.0,44499.5904,46.5455,19.7984,1.5
2018-03-31,569.55,823434.0,43059.9734,29.7313,11.8351,1.5
2018-04-30,599.1,604439.0,45294.0569,31.2739,12.4492,1.5
