KKB IN Equity,price,volume,mc,pe,bm,div
2017-06-30,251.8,1267998.0,19995.1661,524.5833,2.2264,0.0
2017-07-31,246.2,1900404.0,19550.4762,512.9167,2.1769,1.0
2017-08-31,252.45,686032.0,20046.7819,525.9375,2.2322,1.0
2017-09-30,237.05,1267579.0,18823.8846,493.8542,2.096,1.0
2017-10-31,252.3,1110375.0,20034.8706,525.625,2.2309,1.0
2017-11-30,255.45,1894898.0,20285.0094,532.1875,2.2587,1.0
2017-12-31,331.45,4500335.0,26320.0875,690.5208,2.9307,1.0
2018-01-31,347.2,3760379.0,27570.7781,723.3333,3.07,1.0
2018-02-28,343.4,1316653.0,27269.0252,715.4167,3.0364,1.0
2018-03-31,310.7,793872.0,24672.3533,49.9518,2.6178,1.0
2018-04-30,286.55,973737.0,22754.6277,46.0691,2.4143,1.0
2018-05-31,279.6,1232697.0,22202.7357,44.9518,2.3558,1.0
2018-06-30,288.4,1368748.0,22901.5343,46.3666,2.4299,1.0
2018-07-31,273.95,890207.0,21754.0753,44.0434,2.3082,2.5
2018-08-31,272.05,1072236.0,21603.1983,43.7379,2.2922,2.5
2018-09-30,228.05,534673.0,18109.2056,36.664,1.9214,2.5
2018-10-31,199.65,361141.0,15853.9921,32.0981,1.6821,2.5
2018-11-30,172.6,730381.0,13705.9806,27.7492,1.4542,2.5
2018-12-31,152.65,3600951.0,12121.7726,24.5418,1.2862,2.5
2019-01-31,139.8,1212731.0,11101.3679,22.4759,1.1779,2.5
2019-02-28,159.1,1192778.0,12633.9601,25.5788,1.3405,2.5
2019-03-31,163.65,1174093.0,12995.2707,371.9318,1.4291,2.5
2019-04-30,168.45,775055.0,13376.4336,382.8409,1.4711,2.5
2019-05-31,184.15,1142949.0,14623.1537,418.5227,1.6082,2.5
2019-06-30,183.7,491798.0,14587.4197,417.5,1.6042,2.5
2019-07-31,179.85,568915.0,14281.6953,408.75,1.5706,2.5
2019-08-31,147.7,290436.0,11728.6984,335.6818,1.2898,2.5
2019-09-30,159.4,207082.0,12657.7828,362.2727,1.392,2.5
2019-10-31,153.15,261491.0,12161.477,348.0682,1.3374,2.5
2019-11-30,135.85,376663.0,10787.7026,308.75,1.1864,2.5
2019-12-31,148.05,991960.0,11756.4915,336.4773,1.2929,2.5
