MM IN Equity,price,volume,mc,pe,bm,div
2016-08-31,718.3,51281386.0,892261.3522,24.6436,2.9326,6.0
2016-09-30,702.85,42249446.0,873069.558,24.1135,2.8695,6.0
2016-10-31,658.5,36055452.0,817978.7003,22.5919,2.6884,6.0
2016-11-30,592.55,54873140.0,736056.6118,20.3293,2.4192,6.0
2016-12-31,592.35,37302378.0,735808.136,20.3224,2.4183,6.0
2017-01-31,620.05,35040904.0,770216.6942,21.2728,2.5314,6.0
2017-02-28,656.08,43759898.0,814966.4021,22.5087,2.6785,6.0
2017-03-31,643.45,62035622.0,799283.8189,18.8336,2.4515,6.0
2017-04-30,667.78,55545440.0,829500.0033,19.5456,2.5442,6.0
2017-05-31,708.48,51928762.0,880056.8864,20.7369,2.6993,6.0
2017-06-30,674.3,57449184.0,837605.2204,19.7366,2.5691,6.0
2017-07-31,701.65,45826436.0,871578.9751,20.5371,2.6733,6.5
2017-08-31,672.4,42507810.0,835245.0692,19.681,2.5618,6.5
2017-09-30,627.13,45298684.0,779005.1518,18.3558,2.3893,6.5
2017-10-31,672.4,39670516.0,835245.0692,19.681,2.5618,6.5
2017-11-30,703.28,68751290.0,874306.2603,20.5847,2.6795,6.5
2017-12-31,751.1,96839222.0,933761.9453,21.9845,2.8617,6.5
2018-01-31,763.05,48217245.0,948618.0966,22.3343,2.9072,6.5
2018-02-28,728.35,54259482.0,905479.2894,21.3186,2.775,6.5
2018-03-31,738.9,45117413.0,918594.9708,10.6777,2.1826,6.5
2018-04-30,873.3,56133987.0,1085680.049,12.6199,2.5795,6.5
2018-05-31,922.95,57945639.0,1147404.559,13.3374,2.7262,6.5
2018-06-30,897.7,55303584.0,1116013.947,12.9725,2.6516,6.5
2018-07-31,935.95,46169339.0,1163566.062,13.5253,2.7646,7.5
2018-08-31,965.3,48197377.0,1200053.763,13.9494,2.8513,7.5
2018-09-30,860.95,55283839.0,1070326.621,12.4415,2.5431,7.5
2018-10-31,765.95,87723205.0,952223.3291,11.0686,2.2625,7.5
2018-11-30,790.9,62789647.0,983240.983,11.4292,2.3362,7.5
2018-12-31,803.85,73507855.0,999340.3265,11.6163,2.3744,7.5
2019-01-31,680.05,98009052.0,845433.0895,9.8273,2.0087,7.5
2019-02-28,645.9,89849895.0,802978.0642,9.3338,1.9079,7.5
2019-03-31,673.9,79403719.0,837787.4554,13.7784,1.8336,7.5
2019-04-30,645.3,66500044.0,802232.1486,13.1936,1.7558,7.5
2019-05-31,647.05,70587990.0,804407.7356,13.2294,1.7606,7.5
2019-06-30,655.35,72580236.0,814726.2337,13.3991,1.7832,7.5
2019-07-31,550.0,76058674.0,683755.8992,11.2451,1.4965,8.5
2019-08-31,528.8,80344975.0,657400.2173,10.8117,1.4388,8.5
2019-09-30,547.15,85918904.0,680212.8004,11.1869,1.4888,8.5
2019-10-31,606.45,74375880.0,753934.1183,12.3993,1.6501,8.5
2019-11-30,530.55,77500813.0,659575.8042,10.8475,1.4436,8.5
2019-12-31,531.55,83825134.0,660818.9968,10.8679,1.4463,8.5
2020-01-31,567.15,59848939.0,705076.6513,11.5958,1.5432,8.5
2020-02-29,457.05,79461686.0,568201.1522,9.3447,1.2436,8.5
2020-03-31,284.95,145994984.0,354247.7154,13.1556,0.7903,8.5
2020-04-30,366.65,139306907.0,455816.5463,16.9275,1.0169,8.5
2020-05-31,436.35,165584899.0,542467.0666,20.1454,1.2102,8.5
2020-06-30,510.7,178328471.0,634898.4322,23.578,1.4165,8.5
2020-07-31,606.45,174560459.0,753934.1183,27.9986,1.682,2.35
2020-08-31,606.9,119112985.0,754493.555,28.0194,1.6833,2.35
2020-09-30,607.9,161188077.0,755736.7475,28.0656,1.686,2.35
2020-10-31,594.0,103588905.0,738456.3913,27.4238,1.6475,2.35
2020-11-30,722.0,162494104.0,897585.0413,33.3333,2.0025,2.35
2020-12-31,720.6,111818502.0,895844.5717,33.2687,1.9986,2.35
2021-01-31,749.6,127939350.0,931897.1565,34.6076,2.0791,2.35
2021-02-28,806.4,158839889.0,1002510.495,37.2299,2.2366,2.35
2021-03-31,795.25,102404388.0,988648.8977,26.359,2.1234,2.35
2021-04-30,752.55,92589161.0,935564.5746,24.9437,2.0094,2.35
2021-05-31,807.95,117133979.0,1004437.443,26.7799,2.1573,2.35
2021-06-30,777.7,74650902.0,966830.8679,25.7773,2.0766,2.35
2021-07-31,743.1,50442577.0,923816.3794,24.6304,1.9842,8.75
2021-08-31,793.3,72975920.0,986224.6452,26.2943,2.1182,8.75
2021-09-30,803.05,81711233.0,998345.7725,26.6175,2.1443,8.75
2021-10-31,884.25,97760158.0,1099293.007,29.3089,2.3611,8.75
2021-11-30,835.5,111018129.0,1038687.371,27.6931,2.2309,8.75
2021-12-31,837.15,60158742.0,1040738.638,27.7478,2.2353,8.75
2022-01-31,885.8,69493388.0,1101219.956,29.3603,2.3652,8.75
2022-02-28,790.85,66333969.0,983178.8234,26.2131,2.1117,8.75
2022-03-31,806.55,96597163.0,1002696.946,13.6242,2.0481,8.75
2022-04-30,922.1,69418860.0,1146347.845,15.576,2.3415,8.75
2022-05-31,1034.35,92402372.0,1285896.208,17.4721,2.6266,8.75
2022-06-30,1093.15,105673396.0,1358995.93,18.4654,2.7759,8.75
2022-07-31,1164.45,77122229.0,1447635.558,19.6698,2.9569,11.55
2022-08-31,1308.7,84344618.0,1626966.082,22.1064,3.3232,11.55
2022-09-30,1268.2,81274481.0,1576616.784,21.4223,3.2204,11.55
2022-10-31,1348.6,50423818.0,1676569.465,22.7804,3.4245,11.55
2022-11-30,1305.6,67574065.0,1623112.185,22.0541,3.3154,11.55
2022-12-31,1249.2,42767173.0,1552996.126,21.1014,3.1721,11.55
2023-01-31,1378.75,46462517.0,1714051.72,23.2897,3.5011,11.55
2023-02-28,1269.6,46820529.0,1578357.254,21.4459,3.2239,11.55
2023-03-31,1158.7,57513208.0,1440876.857,12.5387,2.6496,11.55
2023-04-30,1226.9,36640551.0,1525685.523,13.2767,2.8056,11.55
2023-05-31,1319.0,59450738.0,1640214.528,14.2733,3.0162,11.55
2023-06-30,1453.6,47330686.0,1807593.509,15.7299,3.324,11.55
2023-07-31,1475.2,64317453.0,1834453.732,15.9636,3.3734,16.25
2023-08-31,1575.4,68278025.0,1959055.32,17.0479,3.6025,16.25
2023-09-30,1554.25,56818861.0,1932754.686,16.8191,3.5542,16.25
2023-10-31,1458.6,45085681.0,1813811.153,15.784,3.3354,16.25
2023-11-30,1647.75,54700140.0,2049024.631,17.8309,3.768,16.25
2023-12-31,1729.4,51317978.0,2150558.76,18.7144,3.9547,16.25
2024-01-31,1651.55,52857277.0,2053750.041,17.872,3.7767,16.25
2024-02-29,1932.4,74851400.0,2402995.113,20.9112,4.4189,16.25
2024-03-31,1921.35,74789860.0,2389254.119,18.9969,3.7382,16.25
2024-04-30,2156.35,62267716.0,2681483.395,21.3204,4.1954,16.25
2024-05-31,2506.25,83111791.0,3116594.133,24.78,4.8762,16.25
2024-06-30,2866.65,78464853.0,3564761.923,28.3434,5.5774,16.25
2024-07-31,2907.8,67697967.0,3615933.135,28.7502,5.6575,21.1
2024-08-31,2805.4,58330547.0,3488595.783,27.7378,5.4582,21.1
