JBCP IN Equity,price,volume,mc,pe,bm,div
2022-11-30,1009.1,3162480.0,156116.2202,40.4773,7.3084,8.25
2022-12-31,972.25,2888480.0,150422.0224,38.9992,7.0415,8.25
2023-01-31,1021.45,1683256.0,158034.0188,40.9727,7.3979,8.25
2023-02-28,969.35,1649700.0,150002.69,38.8829,7.0205,8.25
2023-03-31,988.18,1248988.0,152925.1881,37.2896,6.1655,8.25
2023-04-30,1064.93,4161214.0,164802.6473,40.1858,6.6443,8.25
2023-05-31,1052.25,4282438.0,162899.82,39.7075,6.5652,8.25
2023-06-30,1183.47,3781520.0,183241.8936,44.6594,7.384,8.25
2023-07-31,1250.55,4879700.0,193627.3686,47.1906,7.8025,8.25
2023-08-31,1384.25,5593844.0,214459.1117,52.2358,8.6367,8.875
2023-09-30,1482.1,4784580.0,229659.5614,55.9283,9.2472,8.875
2023-10-31,1398.25,3241737.0,216666.5419,52.7642,8.724,8.875
2023-11-30,1450.9,2767467.0,224938.7581,54.7509,9.0525,8.875
2023-12-31,1624.65,5487186.0,251892.4945,61.3075,10.1366,8.875
2024-01-31,1683.95,3339118.0,261086.6132,63.5453,10.5066,8.875
2024-02-29,1561.85,5363936.0,242323.136,58.9377,9.7448,10.125
2024-03-31,1650.4,2647025.0,256133.4979,46.2815,8.7617,10.125
2024-04-30,1905.25,3654840.0,295684.8927,53.4282,10.1147,10.125
2024-05-31,1771.9,4308552.0,275001.4953,49.6887,9.4067,10.125
2024-06-30,1754.65,3585105.0,272344.5922,49.205,9.3152,10.125
2024-07-31,1924.6,5151648.0,298723.0514,53.9708,10.2174,10.125
2024-08-31,1953.8,3749787.0,303414.2144,54.7897,10.3724,12.25
2024-09-30,1875.0,4129360.0,291214.515,52.5799,9.9541,12.25
2024-10-31,1961.05,5552633.0,304579.3198,54.993,10.4109,12.25
2024-11-30,1735.3,2593591.0,269682.4663,48.6624,9.2124,12.25
2024-12-31,1844.15,5316183.0,286855.1867,51.7148,9.7903,12.25
2025-01-31,1763.9,3198258.0,274372.4013,49.4644,9.3643,12.25
2025-02-28,1644.35,3234529.0,255871.2654,46.1119,8.7296,15.25
2025-03-31,1623.2,13692893.0,252695.244,38.2379,7.3601,15.25
2025-04-30,1612.4,4793356.0,251013.9302,37.9835,7.3111,15.25
2025-05-31,1676.3,3062336.0,261143.0057,39.4888,7.6009,15.25
2025-06-30,1679.3,5120371.0,262069.7511,39.5595,7.6145,15.25
2025-07-31,1769.3,12552718.0,276573.4392,41.6796,8.0226,15.5
2025-08-31,1724.3,3642013.0,269777.086,40.6196,7.8185,15.5
2025-09-30,1709.7,2502981.0,267732.5898,40.2756,7.7523,15.5
2025-10-31,1682.3,3111064.0,263441.8529,39.6302,7.6281,15.5
2025-11-30,1771.3,4465384.0,277434.1136,41.7267,8.0316,15.5
2025-12-31,1819.7,3056557.0,285057.7446,42.8669,8.2511,15.5
2026-01-31,1869.5,4041670.0,299933.3372,44.04,8.4769,15.5
2026-02-28,2053.5,7171588.0,329707.3028,48.3746,9.3112,19.7
2026-03-31,2072.4,819778.0,332741.8466,48.8198,9.3969,19.7
