BPCL IN Equity,price,volume,mc,pe,bm,div
2012-07-31,60.55,125729316.0,262696.5002,33.6389,1.6543,0.9167
2012-08-31,55.81,120235764.0,242124.7539,31.0046,1.5247,0.9167
2012-09-30,58.12,181005702.0,252139.4705,32.287,1.5878,0.9167
2012-10-31,56.26,103596018.0,244077.0813,31.2546,1.537,0.9167
2012-11-30,57.92,92370696.0,251271.7694,32.1759,1.5823,0.9167
2012-12-31,59.39,103889994.0,257671.0648,32.9954,1.6226,0.9167
2013-01-31,68.41,311808516.0,296789.9216,38.0046,1.869,0.9167
2013-02-28,61.99,163532694.0,268951.1788,34.4398,1.6937,0.9167
2013-03-31,62.95,128170374.0,273108.9131,14.5213,1.628,0.9167
2013-04-30,69.04,109261470.0,299537.6417,15.9266,1.7856,0.9167
2013-05-31,62.81,151746996.0,272494.2915,14.4887,1.6244,0.9167
2013-06-30,61.16,122991750.0,265335.7577,14.108,1.5817,0.9167
2013-07-31,53.96,159114834.0,234098.519,12.4471,1.3955,0.9167
2013-08-31,45.5,269313120.0,197401.9944,10.496,1.1767,0.9167
2013-09-30,55.21,288025980.0,239521.6507,12.7355,1.4278,1.8333
2013-10-31,59.93,187138686.0,259984.9344,13.8235,1.5498,1.8333
2013-11-30,56.67,177091110.0,245848.6377,13.0719,1.4655,1.8333
2013-12-31,57.98,151938618.0,251561.0031,13.3756,1.4996,1.8333
2014-01-31,60.45,177396024.0,262262.6497,13.9446,1.5634,1.8333
2014-02-28,63.0,115803756.0,273325.8384,14.5329,1.6293,1.8333
2014-03-31,76.68,233919798.0,332654.8993,8.5068,1.7124,1.8333
2014-04-30,75.82,207573234.0,328931.0156,8.4116,1.6932,1.8333
2014-05-31,86.98,215990496.0,377377.6589,9.6505,1.9426,1.8333
2014-06-30,100.07,336102300.0,434143.7285,11.1021,2.2348,1.8333
2014-07-31,96.69,206817654.0,419497.3152,10.7276,2.1594,1.8333
2014-08-31,115.72,222247104.0,502037.3799,12.8384,2.5843,1.8333
2014-09-30,109.23,199609278.0,473909.4034,12.1191,2.4395,2.8333
2014-10-31,120.79,166286124.0,524055.2946,13.4014,2.6977,2.8333
2014-11-30,124.38,228582156.0,539601.6055,13.799,2.7777,2.8333
2014-12-31,107.67,211382160.0,467112.4116,11.9453,2.4045,2.8333
2015-01-31,124.81,201056478.0,541481.6245,13.8471,2.7874,2.8333
2015-02-28,124.37,201801066.0,539565.2691,13.7981,2.7775,2.8333
2015-03-31,135.13,196139550.0,586276.6925,12.198,2.6001,2.8333
2015-04-30,127.46,159382296.0,552978.6638,11.5052,2.4524,2.8333
2015-05-31,141.69,146710482.0,614730.0569,12.79,2.7263,2.8333
2015-06-30,146.56,193222638.0,635844.1163,13.2293,2.8199,2.8333
2015-07-31,154.46,264295764.0,670118.3088,13.9424,2.9719,2.8333
2015-08-31,147.2,274889418.0,638627.9906,13.2872,2.8322,3.75
2015-09-30,141.78,169012122.0,615127.7532,12.7983,2.728,3.75
2015-10-31,145.18,156003090.0,629878.6715,13.1052,2.7934,3.75
2015-11-30,150.29,114886212.0,652041.2031,13.5663,2.8917,3.75
2015-12-31,148.72,138025758.0,645208.0571,13.4241,2.8614,3.75
2016-01-31,148.86,160150578.0,645822.6787,13.4369,2.8641,3.75
2016-02-29,128.21,251185464.0,556232.5428,11.5729,2.4668,5.8333
2016-03-31,150.72,213024162.0,653885.0678,15.6345,2.3527,6.4167
2016-04-30,163.0,131878896.0,707176.3755,16.9087,2.5444,6.4167
2016-05-31,163.42,169676964.0,708984.0861,16.9519,2.5509,6.4167
2016-06-30,178.69,162063918.0,775254.7556,18.5365,2.7894,8.9167
2016-07-31,197.55,217792137.0,857071.7361,20.4927,3.0837,8.9167
2016-08-31,200.87,259525086.0,871461.1122,20.8368,3.1355,5.1667
2016-09-30,204.2,181116096.0,885922.7968,21.1826,3.1875,5.1667
2016-10-31,223.08,112024116.0,967848.2399,23.1414,3.4823,5.1667
2016-11-30,214.65,249599157.0,931260.1779,22.2666,3.3507,5.1667
2016-12-31,211.83,157193970.0,919040.0544,21.9744,3.3067,5.1667
2017-01-31,227.22,121671411.0,985780.7287,23.5702,3.5468,5.1667
2017-02-28,223.35,138317223.0,969005.1746,23.1691,3.4865,9.5833
2017-03-31,216.62,192301665.0,939792.5718,9.7707,3.0493,13.0
2017-04-30,239.75,128851287.0,1040156.663,10.8142,3.375,13.0
2017-05-31,247.55,138240828.0,1073997.005,11.166,3.4848,13.0
2017-06-30,213.13,190955694.0,924680.1114,9.6136,3.0003,6.0
2017-07-31,235.58,169504472.0,1022043.403,10.6258,3.3162,6.0
2017-08-31,264.5,189879974.0,1147534.671,11.9305,3.7234,6.0
2017-09-30,235.65,238676940.0,1022368.791,10.6292,3.3173,6.0
2017-10-31,270.8,154626576.0,1174867.255,12.2147,3.8121,6.0
2017-11-30,251.93,149056174.0,1092977.99,11.3633,3.5464,6.0
2017-12-31,258.85,114991836.0,1123022.14,11.6757,3.6438,6.0
2018-01-31,246.15,173503952.0,1067923.121,11.1028,3.4651,6.0
2018-02-28,214.78,183244122.0,931785.8926,9.6876,3.0234,11.3333
2018-03-31,213.73,165608188.0,927230.5431,9.333,2.5322,7.3333
2018-04-30,193.68,315606122.0,840245.0599,8.4574,2.2946,7.3333
2018-05-31,201.98,272838880.0,876254.0131,8.8199,2.393,7.3333
2018-06-30,186.65,253574064.0,809767.6026,8.1507,2.2114,7.3333
2018-07-31,194.88,195759380.0,845451.1736,8.5098,2.3088,7.3333
2018-08-31,181.05,182105866.0,785472.4053,7.9061,2.145,10.5
2018-09-30,187.08,193435816.0,811611.4346,8.1692,2.2164,10.5
2018-10-31,137.55,544826462.0,596750.7835,6.0066,1.6297,10.5
2018-11-30,162.2,283733680.0,703693.0359,7.083,1.9217,10.5
2018-12-31,181.38,195536798.0,786882.3945,7.9203,2.1489,10.5
2019-01-31,172.73,173505826.0,749354.9915,7.5426,2.0464,10.5
2019-02-28,168.78,191212892.0,732218.2006,7.3701,1.9996,9.0
2019-03-31,198.78,207064226.0,862371.0432,10.0214,2.2247,9.0
2019-04-30,189.93,248797004.0,823975.9546,9.5752,2.1256,9.0
2019-05-31,204.68,335827932.0,887967.7689,10.3189,2.2907,9.0
2019-06-30,196.23,198091892.0,851308.0516,9.8929,2.1961,9.0
2019-07-31,172.75,205932398.0,749463.4522,8.7094,1.9334,9.0
2019-08-31,177.63,157843728.0,770613.2891,8.9551,1.988,9.5
2019-09-30,235.05,647830094.0,1019747.522,11.8503,2.6307,9.5
2019-10-31,263.3,563869884.0,1142308.116,13.2745,2.9468,9.5
2019-11-30,255.78,369282754.0,1109661.444,12.8951,2.8626,9.5
2019-12-31,245.78,257320916.0,1066277.163,12.391,2.7507,9.5
2020-01-31,228.48,279336886.0,991222.3574,11.5188,2.5571,9.5
2020-02-29,213.18,272288090.0,924844.4077,10.7474,2.3858,9.5
2020-03-31,158.45,532621912.0,687423.9305,20.4057,1.8817,12.25
2020-04-30,185.0,274479910.0,802609.1963,23.8249,2.197,12.25
2020-05-31,171.4,378577962.0,743606.5743,22.0734,2.0355,12.25
2020-06-30,187.0,375990392.0,811286.0525,24.0824,2.2208,12.25
2020-07-31,206.9,676606468.0,897620.7714,26.6452,2.4571,12.25
2020-08-31,203.9,524517196.0,884605.4871,26.2589,2.4215,12.25
2020-09-30,176.53,463570370.0,765841.0182,22.7334,2.0964,12.25
2020-10-31,177.23,369132528.0,768891.6316,22.8236,2.1047,8.25
2020-11-30,186.5,428746958.0,809131.2698,24.018,2.2148,8.25
2020-12-31,190.55,371664742.0,826702.2169,24.5396,2.2629,8.25
2021-01-31,191.8,345847926.0,832125.3488,24.7006,2.2778,8.25
2021-02-28,224.93,477538820.0,975838.3424,28.9665,2.6712,16.25
2021-03-31,213.98,945992028.0,928331.7075,5.2272,1.7334,10.5
2021-04-30,210.9,295866828.0,914990.8032,5.1521,1.7085,10.5
2021-05-31,236.0,468163246.0,1023887.29,5.7652,1.9118,10.5
2021-06-30,234.05,213952156.0,1015427.205,5.7176,1.896,10.5
2021-07-31,222.75,170440386.0,966384.8566,5.4416,1.8045,10.5
2021-08-31,235.83,235106872.0,1023110.37,5.761,1.9104,10.5
2021-09-30,216.1,364791854.0,937534.8285,5.2791,1.7506,31.5
2021-10-31,208.85,231341434.0,906081.2074,5.102,1.6919,31.5
