ECLX IN Equity,price,volume,mc,pe,bm,div
2023-06-30,1624.95,3196262.0,79663.7571,16.4535,4.5515,0.6667
2023-07-31,1719.3,2020596.0,84289.2997,17.4089,4.8158,0.6667
2023-08-31,1624.1,1304761.0,79622.0856,16.4449,4.5491,1.0
2023-09-30,1801.75,2076621.0,88331.4406,18.2437,5.0467,1.0
2023-10-31,1958.0,3898107.0,95991.6529,19.8258,5.4844,1.0
2023-11-30,2676.9,4693839.0,131235.9835,27.1051,7.4981,1.0
2023-12-31,2591.6,1863763.0,127054.1204,26.2414,7.2591,1.0
2024-01-31,2727.15,1914697.0,133699.5078,27.6139,7.6388,1.0
2024-02-29,2521.9,2243530.0,123637.0529,25.5356,7.0639,1.0
2024-03-31,2367.3,1137523.0,116057.7324,22.3015,5.0803,1.0
2024-04-30,2463.65,1020625.0,120781.3257,23.2091,5.2871,1.0
2024-05-31,2193.9,1878812.0,107556.7351,20.6679,4.7082,1.0
2024-06-30,2419.1,1824867.0,118597.246,22.7894,5.1915,1.0
2024-07-31,2395.55,1700162.0,114148.8175,22.5676,5.1409,1.0
2024-08-31,2903.8,2532306.0,138367.1125,27.3556,6.2317,1.0
2024-09-30,3008.05,5214289.0,143334.6624,28.3377,6.4554,1.0
2024-10-31,2910.55,2684674.0,138688.7524,27.4192,6.2462,1.0
2024-11-30,3487.3,4368722.0,166171.0969,32.8526,7.4839,1.0
2024-12-31,3483.4,2309325.0,165985.2605,32.8158,7.4755,1.0
2025-01-31,3058.15,2122021.0,145721.9454,28.8097,6.5629,1.0
2025-02-28,2833.9,1205281.0,135036.3524,26.6971,6.0817,1.0
2025-03-31,2777.0,1619194.0,132325.0469,24.3191,5.7389,1.0
2025-04-30,2515.1,905605.0,119845.4179,22.0256,5.1976,1.0
2025-05-31,3542.1,3357376.0,168782.3366,31.0194,7.32,1.0
2025-06-30,3501.2,969518.0,166833.4369,30.6612,7.2355,1.0
2025-07-31,3767.2,2165346.0,179508.4324,32.9906,7.7852,1.0
2025-08-31,4221.3,4181314.0,201146.4604,36.9673,8.7236,1.0
2025-09-30,4015.7,2642947.0,191349.5466,35.1668,8.2988,1.0
2025-10-31,4727.6,4250715.0,225271.8372,41.4012,9.77,1.0
2025-11-30,4550.7,2197309.0,216842.4887,39.852,9.4044,1.0
2025-12-31,4695.3,2325681.0,223732.7306,41.1183,9.7032,1.0
2026-01-31,4651.2,2140972.0,221631.3498,40.7321,9.6121,1.0
2026-02-28,3172.4,3589641.0,149183.2489,27.7818,6.556,1.0
2026-03-31,3105.25,703382.0,146025.496,27.1937,6.4172,1.0
