BHARTI IN Equity,price,volume,mc,pe,bm,div
2020-02-29,513.85,315418481.0,2855984.275,,3.9033,0.0
2020-03-31,432.77,362246937.0,2405355.238,,3.118,0.0
2020-04-30,504.82,279785383.0,2805793.148,,3.637,0.0
2020-05-31,542.42,736815156.0,3014740.994,,3.9079,0.0
2020-06-30,549.53,502131979.0,3054293.785,,5.0082,0.0
2020-07-31,544.62,367196130.0,3027015.998,,4.9635,0.0
2020-08-31,503.64,551228662.0,2799246.479,,4.59,1.9631
2020-09-30,413.19,743263884.0,2296516.869,,3.8701,1.9631
2020-10-31,425.76,530069397.0,2366348.032,,3.9878,1.9631
2020-11-30,454.71,282632926.0,2527286.976,,4.259,1.9631
2020-12-31,500.31,388472115.0,2780697.618,,4.6576,1.9631
2021-01-31,543.4,488386924.0,3020196.589,,5.0588,1.9631
2021-02-28,546.05,643328184.0,3034926.594,,5.0834,1.9631
2021-03-31,507.77,407175545.0,2841025.745,,4.8192,1.9631
2021-04-30,526.86,188939393.0,2947845.677,,5.0004,1.9631
2021-05-31,525.04,265819045.0,2937685.426,,4.9831,1.9631
2021-06-30,515.96,193537225.0,2886884.173,,4.8442,1.9631
2021-07-31,551.3,253533583.0,3084597.115,,5.176,1.9631
2021-08-31,651.81,474225148.0,3646980.707,,6.1197,1.9631
2021-09-30,688.3,524415154.0,3780162.369,,6.2807,1.9631
2021-10-31,685.35,227190505.0,3763960.888,,6.2537,0.0
2021-11-30,728.25,249928984.0,4000341.292,,6.6452,0.0
2021-12-31,683.8,192311231.0,3756183.474,126.0507,6.1089,0.0
2022-01-31,729.3,174804208.0,4006099.094,134.4381,6.5153,0.0
2022-02-28,686.5,128539118.0,3770988.152,126.5484,6.133,0.0
2022-03-31,754.95,155697250.0,4146983.442,98.6581,6.2298,0.0
2022-04-30,739.0,117221829.0,4059333.92,96.5737,6.0982,0.0
2022-05-31,700.2,182198250.0,3846232.437,91.5032,5.778,0.0
2022-06-30,684.95,139719790.0,3762450.3,68.3462,5.5196,0.0
2022-07-31,677.95,141994894.0,3772270.294,67.6477,5.4632,0.0
2022-08-31,726.6,172277955.0,4042973.153,72.5022,5.8552,3.0
2022-09-30,799.9,305600935.0,4450812.402,67.686,6.1082,3.0
2022-10-31,832.0,103731728.0,4629429.05,70.4023,6.3534,3.0
2022-11-30,848.75,124968093.0,4722637.318,71.8196,6.4813,3.0
2022-12-31,806.1,95010687.0,4486293.593,61.3573,6.4786,3.0
2023-01-31,770.3,146386067.0,4294126.424,58.6323,6.1909,3.0
2023-02-28,742.25,91915441.0,4137759.149,56.4973,5.9654,3.0
2023-03-31,749.0,100808682.0,4176524.783,50.4512,5.3837,3.0
2023-04-30,799.3,73184856.0,4457561.499,53.8393,5.7453,3.0
2023-05-31,849.9,163687245.0,4739860.034,57.2476,6.109,3.0
2023-06-30,878.75,118321238.0,4904851.096,59.3508,6.8296,3.0
2023-07-31,889.9,113614855.0,4977719.604,60.1039,6.9162,3.0
2023-08-31,856.4,122177123.0,4790396.125,57.8413,6.6559,4.0
2023-09-30,926.4,103620691.0,5193703.161,69.6018,6.8333,4.0
2023-10-31,914.4,94682043.0,5137423.367,68.7002,6.7448,4.0
2023-11-30,1014.7,89054600.0,5703973.995,76.2359,7.4847,4.0
2023-12-31,1032.2,133583219.0,5803814.615,69.8849,7.8532,4.0
2024-01-31,1170.7,130082861.0,6586251.048,79.262,8.907,4.0
2024-02-29,1123.35,127822689.0,6347354.583,76.0562,8.5467,4.0
2024-03-31,1228.6,147981000.0,6949032.791,93.9297,8.471,4.0
