CUBK IN Equity,price,volume,mc,pe,bm,div
2018-08-31,202.55,14726908.0,148243.9043,24.2707,3.5574,0.3
2018-09-30,177.75,16039068.0,130093.0831,21.299,3.1219,0.3
2018-10-31,170.1,18074369.0,124494.1403,20.3824,2.9875,0.3
2018-11-30,174.35,14030353.0,127604.6641,20.8916,3.0622,0.3
2018-12-31,195.05,26669635.0,142754.7446,23.372,3.4257,0.3
2019-01-31,191.0,18644449.0,139790.5985,22.8867,3.3546,0.3
2019-02-28,183.45,11336141.0,134511.4278,21.982,3.222,0.3
2019-03-31,204.85,19212641.0,150462.4926,21.4054,3.1082,0.3
2019-04-30,202.8,16637557.0,148956.7659,21.1912,3.0771,0.3
2019-05-31,212.0,17047901.0,155714.1734,22.1526,3.2167,0.3
2019-06-30,218.05,11698128.0,160157.9034,22.7847,3.3085,0.3
2019-07-31,193.7,15714011.0,142272.8084,20.2403,2.9391,0.3
2019-08-31,203.05,16017320.0,149298.2302,21.2173,3.0809,0.5
2019-09-30,218.65,18857731.0,160768.5695,22.8474,3.3176,0.5
2019-10-31,211.9,17690970.0,155805.4419,22.1421,3.2152,0.5
2019-11-30,224.8,15826908.0,165290.5301,23.4901,3.4109,0.5
2019-12-31,233.95,16542023.0,172143.6404,24.4462,3.5498,0.5
2020-01-31,231.25,16257948.0,170156.9431,24.1641,3.5088,0.5
2020-02-29,215.25,21021139.0,158383.9222,22.4922,3.266,0.5
2020-03-31,129.05,35435465.0,95151.0455,19.9151,1.7966,1.0
2020-04-30,144.35,36752357.0,106432.0296,22.2762,2.0096,1.0
2020-05-31,135.6,26899208.0,99980.4864,20.9259,1.8878,1.0
2020-06-30,121.3,58965185.0,89436.8215,18.7191,1.6887,1.0
2020-07-31,121.2,62213398.0,89363.0896,18.7037,1.6873,1.0
2020-08-31,135.0,95398314.0,99538.0948,20.8333,1.8795,0.5
2020-09-30,139.75,42562716.0,103040.3611,21.5664,1.9456,0.5
2020-10-31,147.7,34564976.0,109061.8386,22.7932,2.0563,0.5
2020-11-30,186.05,45366539.0,137379.5198,28.7114,2.5902,0.5
2020-12-31,180.1,43002373.0,132986.0334,27.7932,2.5074,0.5
2021-01-31,169.25,45528385.0,124974.3818,26.1188,2.3563,0.5
2021-02-28,165.3,61057626.0,122057.6975,25.5093,2.3013,0.5
2021-03-31,155.95,102175768.0,115219.3095,19.4209,1.9721,0.5
2021-04-30,166.75,45133143.0,123198.5883,20.7659,2.1087,0.5
2021-05-31,172.35,49455296.0,127335.9922,21.4633,2.1795,0.0
2021-06-30,166.6,68017537.0,123087.765,20.7472,2.1068,0.3
2021-07-31,150.25,34871230.0,111008.0222,18.7111,1.9,0.3
2021-08-31,151.75,40930522.0,112116.2553,18.8979,1.919,0.5
2021-09-30,157.65,49510263.0,116475.3058,19.6326,1.9936,0.5
2021-10-31,168.15,73765128.0,124232.938,20.9402,2.1264,0.5
2021-11-30,144.7,31711933.0,106986.5267,18.0199,1.8298,0.5
2021-12-31,134.65,43824039.0,99555.8799,16.7684,1.7027,0.5
2022-01-31,143.75,47006013.0,106284.1273,17.9016,1.8178,0.5
2022-02-28,125.15,52191193.0,92559.0519,15.5853,1.5826,0.5
2022-03-31,128.9,68365164.0,95332.4953,12.5267,1.4476,0.5
2022-04-30,137.1,38673580.0,101397.0916,13.3236,1.5397,0.5
2022-05-31,140.1,36820189.0,103615.8463,13.6152,1.5733,0.5
2022-06-30,133.05,61708193.0,98401.7727,12.93,1.4942,0.2
2022-07-31,160.85,58271864.0,118962.2333,15.6317,1.8064,0.2
2022-08-31,179.95,91611621.0,133088.3051,17.4879,2.0209,1.0
2022-09-30,174.1,70800318.0,128761.7334,16.9193,1.9552,1.0
2022-10-31,186.0,65849988.0,137562.7938,18.0758,2.0888,1.0
2022-11-30,188.8,71589562.0,139633.6316,18.3479,2.1203,1.0
2022-12-31,180.4,108399986.0,133516.4801,17.5316,2.0259,1.0
2023-01-31,158.6,57903947.0,117382.0052,15.413,1.7811,1.0
2023-02-28,138.45,113546744.0,102468.7177,13.4548,1.5548,1.0
2023-03-31,125.85,69217226.0,93181.4021,9.9329,1.2495,1.0
2023-04-30,141.65,96061002.0,104879.9809,11.18,1.4064,1.0
2023-05-31,125.15,88831673.0,92663.1106,9.8777,1.2426,1.0
2023-06-30,127.3,91527624.0,94255.0058,10.0474,1.2639,1.0
2023-07-31,133.2,85556144.0,98623.4625,10.513,1.3225,1.0
2023-08-31,123.4,82467965.0,91367.3819,9.7395,1.2252,1.0
2023-09-30,126.7,87760715.0,93810.756,10.0,1.258,1.0
2023-10-31,138.1,147446991.0,102251.5028,10.8998,1.3712,1.0
2023-11-30,146.35,85828564.0,108359.9379,11.5509,1.4531,1.0
2023-12-31,149.0,117969282.0,110355.2973,11.7601,1.4794,1.0
2024-01-31,144.9,71380545.0,107318.675,11.4365,1.4387,1.0
2024-02-29,135.15,128535141.0,100097.4391,10.6669,1.3419,1.0
2024-03-31,135.15,55987474.0,100101.8078,9.8506,1.1915,1.0
2024-04-30,160.7,113262433.0,119025.975,11.7128,1.4167,1.0
2024-05-31,143.1,77835447.0,105990.1495,10.43,1.2616,1.0
2024-06-30,167.08,146500045.0,123751.4617,12.1778,1.473,1.0
2024-07-31,172.27,98542676.0,127595.5489,12.5561,1.5187,1.0
2024-08-31,170.69,59747741.0,126425.2873,12.441,1.5048,1.5
2024-09-30,163.93,57469128.0,121418.3452,11.9483,1.4452,1.5
2024-10-31,175.74,210186947.0,130165.6804,12.809,1.5493,1.5
2024-11-30,179.53,63421266.0,132972.8269,13.0853,1.5827,1.5
2024-12-31,172.33,47000492.0,127694.0715,12.5605,1.5193,1.5
2025-01-31,173.72,37345723.0,128724.0417,12.6618,1.5315,1.5
2025-02-28,147.8,69016908.0,109517.6915,10.7726,1.303,1.5
2025-03-31,157.18,43469851.0,116468.1377,10.3612,1.2303,1.5
2025-04-30,176.56,50911246.0,130828.4412,11.6388,1.382,1.5
2025-05-31,195.7,50256906.0,145015.2777,12.9005,1.5318,1.5
2025-06-30,218.71,48821852.0,162065.8732,14.4173,1.7119,1.5
2025-07-31,214.28,47603292.0,158783.2075,14.1252,1.6772,1.5
2025-08-31,196.05,37460084.0,145274.6306,12.9235,1.5346,2.0
2025-09-30,213.73,46497760.0,158384.369,14.089,1.6729,2.0
2025-10-31,228.67,45999902.0,169455.6387,15.0738,1.7899,2.0
2025-11-30,271.08,127044520.0,200883.5201,17.8695,2.1218,2.0
2025-12-31,290.8,59995565.0,215802.1906,19.1694,2.2762,2.0
2026-01-31,301.75,47077025.0,223928.1672,19.8912,2.3619,2.0
2026-02-28,283.05,39584568.0,210319.5275,18.6585,2.2155,2.0
2026-03-31,268.8,6790991.0,199731.095,17.7192,2.104,2.0
