CYL IN Equity,price,volume,mc,pe,bm,div
2019-02-28,642.2,4578666.0,72597.3006,17.8389,3.085,12.0
2019-03-31,649.45,5655118.0,73416.8746,15.3064,2.7988,12.0
2019-04-30,589.6,11271267.0,65513.1617,13.8958,2.5409,12.0
2019-05-31,561.2,4392463.0,62357.5073,13.2265,2.4185,15.0
2019-06-30,542.1,1583166.0,60235.2187,12.7763,2.3362,15.0
2019-07-31,462.4,8005438.0,51393.3144,10.8979,1.9927,15.0
2019-08-31,421.0,2851348.0,46297.884,9.9222,1.8143,15.0
2019-09-30,465.35,2324400.0,51175.1077,10.9675,2.0054,15.0
2019-10-31,406.75,2756476.0,44730.7941,9.5864,1.7529,15.0
2019-11-30,404.1,3097188.0,44439.3704,9.5239,1.7415,15.0
2019-12-31,410.3,2762446.0,45121.192,9.67,1.7682,15.0
2020-01-31,490.95,6538119.0,53990.3709,11.5708,2.1158,15.0
2020-02-29,424.55,3132813.0,46688.2819,10.0059,1.8296,15.0
2020-03-31,229.3,3975565.0,25216.401,7.3635,0.9847,15.0
2020-04-30,228.35,21554188.0,25111.9283,7.333,0.9806,15.0
2020-05-31,199.05,20442808.0,21889.7715,6.3921,0.8548,15.0
2020-06-30,275.8,29869136.0,30330.0628,8.8568,1.1844,15.0
2020-07-31,330.0,26765099.0,36290.5029,10.5973,1.4171,15.0
2020-08-31,388.3,15191472.0,42701.8251,12.4695,1.6675,15.0
2020-09-30,383.5,10615542.0,42173.9633,12.3154,1.6468,15.0
2020-10-31,394.3,17334584.0,43361.6505,12.6622,1.6932,15.0
2020-11-30,489.15,10654661.0,53792.4203,15.7081,2.1005,15.0
2020-12-31,513.05,15027233.0,56420.7324,16.4756,2.2032,9.0
2021-01-31,605.6,29369242.0,66598.5684,19.4477,2.6006,9.0
2021-02-28,652.45,16989061.0,71750.7199,20.9522,2.8018,9.0
2021-03-31,647.45,16177032.0,71238.8005,19.5722,2.4089,9.0
2021-04-30,737.05,6646463.0,81107.4224,22.2808,2.7423,9.0
2021-05-31,823.85,6350095.0,90659.1818,24.9048,3.0652,0.0
2021-06-30,859.6,5602582.0,94642.8205,25.9855,3.1982,17.0
2021-07-31,986.7,11632036.0,108636.6597,29.8277,3.6711,17.0
2021-08-31,977.45,5245119.0,107618.2254,29.5481,3.6367,17.0
2021-09-30,1062.75,12807136.0,117009.8409,32.1267,3.9541,17.0
2021-10-31,1068.25,11350333.0,117615.3965,32.2929,3.9745,27.0
2021-11-30,1012.45,5791921.0,111573.8367,30.6061,3.7669,27.0
2021-12-31,1023.0,5629078.0,112736.466,30.925,3.8062,27.0
2022-01-31,937.85,6606914.0,103427.697,28.351,3.4894,27.0
2022-02-28,817.25,4152186.0,90127.7234,24.7053,3.0407,27.0
2022-03-31,927.75,6857999.0,102346.9827,19.4293,3.2518,27.0
2022-04-30,885.15,11190004.0,97647.4608,18.5372,3.1025,27.0
2022-05-31,783.4,4962798.0,86422.6637,16.4063,2.7459,24.0
2022-06-30,756.65,4112725.0,83499.3284,15.8461,2.6521,24.0
2022-07-31,826.2,5532582.0,91174.4459,17.3026,2.8959,24.0
2022-08-31,844.95,3702583.0,93243.5836,17.6953,2.9616,24.0
2022-09-30,792.9,3046261.0,87596.5227,16.6052,2.7792,24.0
2022-10-31,749.3,3804499.0,82779.7635,15.6921,2.6263,24.0
2022-11-30,837.3,4971967.0,92537.3058,17.5351,2.9348,24.0
2022-12-31,811.05,4025355.0,89636.19,16.9853,2.8428,24.0
2023-01-31,879.85,7799447.0,97239.8764,18.4262,3.0839,24.0
2023-02-28,944.3,8324504.0,104362.8065,19.7759,3.3098,24.0
2023-03-31,995.25,7560418.0,110049.7747,21.162,3.1745,24.0
2023-04-30,1179.95,16478546.0,130472.9783,25.0893,3.7636,24.0
2023-05-31,1297.9,16162098.0,143515.3003,27.5973,4.1398,24.0
2023-06-30,1500.7,19596205.0,165988.7638,31.9094,4.7867,26.0
2023-07-31,1467.05,8137877.0,162266.8194,31.1939,4.6794,26.0
2023-08-31,1637.35,7836893.0,181103.2867,34.815,5.2225,26.0
2023-09-30,1694.3,12072024.0,187667.3791,36.0259,5.4042,26.0
2023-10-31,1588.45,9133178.0,175943.0139,33.7752,5.0666,26.0
