WLCO IN Equity,price,volume,mc,pe,bm,div
2017-03-31,82.6,12236875.0,21907.6763,82.6,0.7798,0.5
2017-04-30,82.65,14669350.0,21920.9376,82.65,0.7803,0.5
2017-05-31,86.35,23501853.0,22902.2741,86.35,0.8152,0.5
2017-06-30,107.65,18040637.0,28551.5902,107.65,1.0163,0.5
2017-07-31,129.25,30107349.0,34280.474,129.25,1.2202,0.5
2017-08-31,140.4,20503604.0,37237.7451,140.4,1.3255,0.5
2017-09-30,132.3,11092359.0,35089.4137,132.3,1.249,0.5
2017-10-31,146.5,6784730.0,38855.6243,146.5,1.383,0.5
2017-11-30,128.15,21413883.0,33988.7246,128.15,1.2098,0.5
2017-12-31,135.75,11075398.0,36004.4429,135.75,1.2816,0.5
2018-01-31,159.95,31795090.0,42422.9145,159.95,1.51,0.5
2018-02-28,175.7,16668559.0,46600.2274,175.7,1.6587,0.5
2018-03-31,134.9,10043419.0,35779.0021,19.7801,1.2536,0.5
2018-04-30,142.1,10123430.0,37688.6301,20.8358,1.3205,0.5
2018-05-31,133.55,8476467.0,35420.9469,19.5821,1.2411,0.5
2018-06-30,118.4,7000821.0,31402.7713,17.3607,1.1003,0.5
2018-07-31,125.1,61811006.0,33179.7862,18.3431,1.1626,0.5
2018-08-31,166.9,26671145.0,44266.2376,24.4721,1.551,0.5
2018-09-30,124.25,22038303.0,32954.344,18.2185,1.1547,0.5
2018-10-31,135.9,21313268.0,36044.2282,19.9267,1.2629,0.5
2018-11-30,153.7,13952636.0,40765.253,22.5367,1.4283,0.5
2018-12-31,139.3,5496440.0,36945.997,20.4252,1.2945,0.5
2019-01-31,104.05,11237954.0,27596.7766,15.2566,0.9669,0.5
2019-02-28,108.25,16018311.0,28710.7263,15.8724,1.006,0.5
2019-03-31,136.2,18244606.0,36123.796,52.9961,1.2912,0.5
2019-04-30,132.95,17156916.0,35261.8112,51.7315,1.2604,0.5
2019-05-31,142.3,13651806.0,37741.6753,55.3696,1.3491,0.5
2019-06-30,140.45,6222855.0,37251.007,54.6498,1.3315,0.5
2019-07-31,111.8,11126329.0,29652.279,43.5019,1.0599,0.5
2019-08-31,121.1,10463452.0,32118.8818,47.1206,1.1481,0.5
2019-09-30,133.55,9527282.0,35420.9469,51.965,1.2661,0.5
2019-10-31,147.75,8813719.0,39187.1576,57.4903,1.4007,0.5
2019-11-30,139.2,55220011.0,36313.0198,54.1634,1.3197,0.5
2019-12-31,144.25,10934116.0,37630.4102,56.1284,1.3675,0.5
2020-01-31,171.65,30539704.0,44778.2317,66.7899,1.6273,0.5
2020-02-29,185.9,38001061.0,48495.6205,72.3346,1.7624,10.0
2020-03-31,62.05,39271019.0,16187.8767,2.4276,0.5035,10.0
2020-04-30,65.15,20268725.0,16996.6183,2.5489,0.5286,10.0
2020-05-31,59.95,14599569.0,15640.0195,2.3455,0.4864,10.0
2020-06-30,79.75,45548876.0,20805.5305,3.1201,0.6471,10.0
2020-07-31,87.8,33677125.0,22905.6499,3.4351,0.7124,10.0
2020-08-31,107.55,37526616.0,28058.1167,4.2077,0.8727,0.5
2020-09-30,113.7,20344234.0,29662.5557,4.4484,0.9226,0.5
2020-10-31,107.45,25933341.0,28032.0286,4.2038,0.8718,0.5
2020-11-30,118.1,32179685.0,30810.4474,4.6205,0.9583,0.5
2020-12-31,133.1,47571162.0,34723.7134,5.2074,1.08,0.5
2021-01-31,120.05,26585851.0,31319.172,4.6968,0.9741,0.5
2021-02-28,130.25,18796176.0,33980.1928,5.0959,1.0568,0.5
2021-03-31,138.35,30091682.0,36093.3565,4.6364,0.884,0.5
2021-04-30,142.9,39234480.0,37289.6678,4.7889,0.9131,0.5
2021-05-31,152.35,36786386.0,39755.6396,5.1056,0.9735,0.5
2021-06-30,143.1,54488019.0,37341.8577,4.7956,0.9144,0.5
2021-07-31,138.45,82307997.0,36128.4437,4.6397,0.8847,0.5
2021-08-31,118.95,39130507.0,31039.9305,3.9863,0.7601,5.0
2021-09-30,144.85,43962154.0,37798.5199,4.8542,0.9256,5.0
2021-10-31,133.5,62035451.0,34836.7442,4.4739,0.8531,5.0
2021-11-30,165.05,119617370.0,43069.6976,5.5312,1.0547,5.0
2021-12-31,178.45,81461870.0,46566.4195,5.9802,1.1403,5.0
2022-01-31,184.35,40847748.0,48106.021,6.1779,1.178,5.0
2022-02-28,142.2,26929876.0,37107.004,4.7654,0.9086,5.0
2022-03-31,167.4,25836021.0,43682.9287,9.9524,0.9864,5.0
2022-04-30,205.35,57568208.0,53585.9583,12.2087,1.2101,5.0
2022-05-31,226.3,73183494.0,59052.8481,13.4542,1.3335,5.0
2022-06-30,218.85,34976630.0,57108.7751,13.0113,1.2896,5.0
2022-07-31,226.0,23938408.0,58974.5633,13.4364,1.3318,5.0
2022-08-31,226.35,31439988.0,59193.7833,13.4572,1.3338,5.0
2022-09-30,265.1,61010325.0,69327.4661,15.761,1.5622,5.0
2022-10-31,222.3,22910733.0,58134.65,13.2164,1.31,5.0
2022-11-30,250.5,23399663.0,65509.3559,14.893,1.4761,5.0
2022-12-31,236.95,17811834.0,61969.3901,14.0874,1.3963,5.0
