JPVL IN Equity,price,volume,mc,pe,bm,div
2019-05-31,2.45,94450203.0,14690.2076,,0.1991,0.0
2019-06-30,2.0,32523058.0,11992.0062,,0.1626,0.0
2019-07-31,1.8,24616220.0,10792.8056,,0.1463,0.0
2019-08-31,1.5,22430738.0,8994.0046,,0.1219,0.0
2019-09-30,1.5,41940818.0,8994.0046,,0.1219,0.0
2019-10-31,1.15,77607944.0,6895.4035,,0.0935,0.0
2019-11-30,1.15,89217367.0,6895.4035,,0.0935,0.0
2019-12-31,1.55,175215406.0,9293.8048,,0.126,0.0
2020-01-31,2.3,151561825.0,14599.877,,0.187,0.0
2020-02-29,1.25,92771486.0,8550.5639,,0.1016,0.0
2020-03-31,0.6,393091866.0,4104.2707,,0.041,0.0
2020-04-30,0.7,193211294.0,4788.3158,,0.0479,0.0
2020-05-31,0.85,202184338.0,5814.3834,,0.0582,0.0
2020-06-30,1.95,270189702.0,13338.8796,,0.1334,0.0
2020-07-31,2.2,591125662.0,15048.9924,,0.1505,0.0
2020-08-31,2.65,523335117.0,18127.1954,,0.1813,0.0
2020-09-30,2.4,358305051.0,16417.0826,,0.1642,0.0
2020-10-31,2.3,204779788.0,15733.0368,,0.1574,0.0
2020-11-30,2.35,325612137.0,16075.0593,,0.1608,0.0
2020-12-31,3.2,1213139267.0,21889.4425,,0.2189,0.0
2021-01-31,2.85,564852417.0,19532.357,,0.195,0.0
2021-02-28,2.75,575481575.0,18847.0111,,0.1881,0.0
2021-03-31,3.25,633773484.0,22273.7404,16.2605,0.2166,0.0
2021-04-30,3.15,705659194.0,21588.3946,15.7602,0.21,0.0
2021-05-31,3.8,1331961500.0,26043.1427,19.0123,0.2533,0.0
2021-06-30,5.65,3667099039.0,38722.0411,28.2682,0.3766,0.0
2021-07-31,4.9,2080461646.0,33581.9483,24.5158,0.3266,0.0
2021-08-31,4.0,1307468885.0,27413.8353,20.0129,0.2666,0.0
2021-09-30,4.35,759403509.0,29812.5459,21.764,0.2899,0.0
2021-10-31,4.4,3068260444.0,30155.2188,22.0142,0.2933,0.0
2021-11-30,4.5,1159522551.0,30840.5647,22.5145,0.2999,0.0
2021-12-31,6.2,3984082208.0,42491.4447,31.02,0.4133,0.0
2022-01-31,9.05,6885667693.0,62023.8024,45.2792,0.6032,0.0
2022-02-28,7.25,1949618750.0,49687.5765,36.2734,0.4832,0.0
2022-03-31,6.8,1194991961.0,46603.52,69.3878,0.4486,0.0
2022-04-30,7.4,1455042228.0,50715.5953,75.5102,0.4882,0.0
2022-05-31,6.9,940797387.0,47288.8659,70.4082,0.4552,0.0
2022-06-30,6.45,982257634.0,44204.8094,65.8163,0.4255,0.0
2022-07-31,6.4,501397882.0,43862.1365,65.3061,0.4222,0.0
2022-08-31,7.55,1976778144.0,51743.6141,77.0408,0.498,0.0
2022-09-30,7.35,3031071672.0,50372.9224,75.0,0.4849,0.0
2022-10-31,7.5,1471134523.0,51400.9412,76.5306,0.4947,0.0
2022-11-30,7.7,1217958913.0,52771.633,78.5714,0.5079,0.0
2022-12-31,7.55,2660566192.0,51743.6141,77.0408,0.498,0.0
2023-01-31,7.15,699155115.0,49002.2306,72.9592,0.4717,0.0
