HUVR IN Equity,price,volume,mc,pe,bm,div
2008-12-31,246.42,72339743.0,545520.2948,,,6.5
2009-01-31,257.59,63226936.0,570257.2958,,,6.5
2009-02-28,249.57,55459363.0,552494.6473,,,6.5
2009-03-31,233.82,92036818.0,517702.5116,,,6.5
2009-04-30,231.11,105114360.0,511725.8855,,,6.5
2009-05-31,227.22,113305500.0,503115.3754,,,3.5
2009-06-30,263.35,91196080.0,583294.4604,,,7.5
2009-07-31,286.98,117428789.0,635627.4214,,,7.5
2009-08-31,255.92,90123135.0,566831.3832,,,7.5
2009-09-30,258.53,77749397.0,572703.8656,,,7.5
2009-10-31,279.1,53001899.0,618284.5686,,,4.0
2009-11-30,280.78,50892998.0,622087.9045,,,7.0
2009-12-31,260.69,51748018.0,577645.8137,,,7.0
2010-01-31,238.54,73504285.0,528563.371,,,7.0
2010-02-28,232.54,58902166.0,515256.5755,,,7.0
2010-03-31,235.83,80305057.0,522623.0652,,,7.0
2010-04-30,236.08,69390356.0,523168.4869,,,7.0
2010-05-31,233.52,39601342.0,517496.1592,,,7.0
2010-06-30,263.4,57601750.0,583795.733,,,7.0
2010-07-31,247.55,36675059.0,548684.097,,,6.5
2010-08-31,260.4,35396420.0,577223.5935,,,6.5
2010-09-30,304.26,68588480.0,674445.9417,,,6.5
2010-10-31,290.13,53558352.0,643129.6522,,,6.5
2010-11-30,293.62,54255702.0,650876.8876,,,6.5
2010-12-31,308.05,41370193.0,682847.873,,,6.5
2011-01-31,266.94,59311570.0,591736.0203,,,6.5
2011-02-28,277.62,41197821.0,615414.1904,,,6.5
2011-03-31,282.65,46383783.0,626544.0215,,,6.5
2011-04-30,280.78,31717717.0,615881.3927,,,6.5
2011-05-31,299.82,57973577.0,657667.1744,,,6.5
2011-06-30,338.32,52342675.0,742320.0765,,,6.5
2011-07-31,318.97,49784346.0,700061.6426,,,6.5
2011-08-31,315.43,60035175.0,692343.5678,,,6.5
2011-09-30,335.32,68726075.0,736022.8795,,,6.5
2011-10-31,369.97,51103076.0,812088.6616,,,6.5
2011-11-30,390.99,88488192.0,858225.1515,,,7.0
2011-12-31,401.08,51270426.0,880409.6017,,,7.0
2012-01-31,373.07,55831718.0,818927.8806,,,7.0
2012-02-29,374.3,66269273.0,821690.542,,,7.0
2012-03-31,403.69,48915203.0,886328.1806,,,7.0
2012-04-30,411.12,33543708.0,902647.5996,,,7.0
2012-05-31,421.36,47784749.0,925127.3291,,,7.0
2012-06-30,447.45,50169470.0,982535.4591,,,7.0
2012-07-31,460.1,73451363.0,1010314.514,,,7.5
2012-08-31,507.11,44284779.0,1113587.723,,,7.5
2012-09-30,537.38,52161890.0,1180083.057,,,7.5
2012-10-31,538.12,41014355.0,1181704.495,,,7.5
2012-11-30,529.75,32813550.0,1163343.035,,,16.5
2012-12-31,516.71,52680100.0,1134705.326,,,16.5
2013-01-31,466.6,85928393.0,1024661.502,,,16.5
2013-02-28,436.18,39378179.0,957905.5765,,,16.5
2013-03-31,459.71,63304101.0,1009683.272,,,16.5
2013-04-30,574.74,71460071.0,1262451.394,,,16.5
2013-05-31,583.31,45452764.0,1281264.904,,,16.5
2013-06-30,576.07,76321046.0,1265370.589,,,16.5
2013-07-31,603.05,119652181.0,1324622.327,,,18.5
2013-08-31,621.65,43160903.0,1365531.437,,,18.5
2013-09-30,617.72,28788907.0,1356903.824,,,18.5
2013-10-31,600.39,40726066.0,1318842.612,,,19.5
2013-11-30,585.52,19932756.0,1286215.992,,,11.5
2013-12-31,561.8,29331479.0,1234105.021,,,11.5
2014-01-31,561.25,35157860.0,1232915.575,,,11.5
2014-02-28,540.73,21110187.0,1187830.632,,,11.5
2014-03-31,596.15,27379777.0,1309620.738,,,11.5
2014-04-30,558.7,25014038.0,1227330.144,,,11.5
2014-05-31,593.99,38968205.0,1305111.158,,,11.5
2014-06-30,610.73,28510602.0,1341883.992,,,13.0
2014-07-31,675.95,28837261.0,1485189.891,,,13.0
2014-08-31,730.93,22640182.0,1606019.407,,,13.0
2014-09-30,734.43,21480958.0,1613709.827,,,13.0
2014-10-31,726.89,16765781.0,1597161.73,,,13.5
2014-11-30,773.9,16177111.0,1700491.29,,,13.5
2014-12-31,748.31,24787813.0,1644272.222,,,13.5
2015-01-31,918.08,72372296.0,2017321.484,,,13.5
2015-02-28,895.98,28136415.0,1968756.494,,,13.5
2015-03-31,860.0,39248343.0,1889894.714,,,13.5
2015-04-30,837.16,28799963.0,1839702.33,,,13.5
2015-05-31,846.21,35337855.0,1859901.257,,,13.5
2015-06-30,902.48,28567156.0,1983566.919,,,15.0
2015-07-31,907.35,33292942.0,1994277.791,,,15.0
2015-08-31,847.54,33562330.0,1862861.912,,,15.0
2015-09-30,802.11,36817237.0,1763011.985,,,15.0
2015-10-31,788.23,31646861.0,1732501.437,,,15.5
2015-11-30,795.91,19305442.0,1749381.388,,,15.5
2015-12-31,849.36,27171817.0,1866879.576,,,15.5
2016-01-31,804.23,30721407.0,1767666.097,,,15.5
2016-02-29,817.52,26480087.0,1796878.354,,,15.5
2016-03-31,856.01,34836572.0,1881485.704,,,15.5
2016-04-30,854.43,22587975.0,1878080.933,,,15.5
2016-05-31,835.04,42903380.0,1835451.373,,,15.5
2016-06-30,884.61,30182978.0,1944682.889,,,16.0
2016-07-31,908.24,27789115.0,1996624.783,,,16.0
2016-08-31,902.82,25670086.0,1984721.433,,,16.0
2016-09-30,854.39,28014095.0,1878240.549,,,16.0
2016-10-31,826.13,29773848.0,1816126.7,,,16.0
2016-11-30,830.91,31947424.0,1826623.291,,,16.5
2016-12-31,813.53,17285027.0,1788448.364,,,16.5
2017-01-31,842.13,23006205.0,1851320.543,,,16.5
