GODPI IN Equity,price,volume,mc,pe,bm,div
2015-10-31,3.7,9701320.0,2423.9624,3.6616,0.2622,0.05
2015-11-30,3.46,3910460.0,2265.0946,3.4216,0.245,0.05
2015-12-31,3.5,19729520.0,2289.6618,3.4587,0.2477,0.05
2016-01-31,2.88,11952800.0,1888.3977,2.8525,0.2043,0.05
2016-02-29,2.53,7445540.0,1654.1905,2.4988,0.1789,0.05
2016-03-31,2.67,16661560.0,1749.1837,2.6101,0.2201,0.05
2016-04-30,3.33,26220200.0,2178.2905,,0.274,0.05
2016-05-31,3.01,17139860.0,1968.6505,,0.2477,0.05
2016-06-30,3.01,16046880.0,1970.2883,,0.2479,0.05
2016-07-31,2.89,12282900.0,1890.0355,,0.2378,0.05
2016-08-31,2.78,10785900.0,1817.9718,,0.2287,0.05
2016-09-30,2.75,23093060.0,1798.318,,0.2262,0.0
2016-10-31,3.65,139653200.0,2389.5683,,0.3006,0.0
2016-11-30,3.09,33995880.0,2025.974,,0.2549,0.0
2016-12-31,2.94,8408200.0,1927.7052,,0.2425,0.0
2017-01-31,4.54,150724220.0,2974.2674,,0.3742,0.0
2017-02-28,4.85,79030380.0,3178.9939,,0.3999,0.0
2017-03-31,5.9,214112700.0,4156.115,,0.5963,0.0
2017-04-30,4.96,58677060.0,3491.9118,,0.501,0.0
2017-05-31,4.63,36111600.0,3262.8762,,0.4682,0.0
2017-06-30,4.73,44585240.0,3331.5869,,0.478,0.0
2017-07-31,5.76,139090460.0,4055.6917,,0.5819,0.0
2017-08-31,6.46,118818260.0,4550.7609,,0.653,0.0
2017-09-30,5.81,17981000.0,4090.928,,0.587,0.0
2017-10-31,7.32,19263240.0,5156.8243,,0.7399,0.0
2017-11-30,8.4,61232400.0,5916.1657,,0.8489,0.0
2017-12-31,17.16,488484380.0,12094.8414,,1.7354,0.0
2018-01-31,26.36,309236360.0,18573.0253,,2.665,0.0
2018-02-28,25.6,127113720.0,18037.4348,,2.5881,0.0
2018-03-31,21.55,92913960.0,15188.5843,7.3159,1.645,0.0
2018-04-30,28.58,152093220.0,20139.277,9.7004,2.1812,0.0
2018-05-31,22.1,91247060.0,15572.6594,7.5008,1.6866,0.0
2018-06-30,22.84,62814880.0,16092.394,7.7512,1.7429,0.0
2018-07-31,21.1,33930380.0,14871.458,7.1631,1.6107,0.0
2018-08-31,26.32,130426820.0,18544.8368,8.9325,2.0085,0.0
2018-09-30,21.1,90765260.0,14869.6962,7.1623,1.6105,0.0
2018-10-31,19.08,47614000.0,13444.39,6.4757,1.4561,0.0
2018-11-30,14.5,36669900.0,10220.2734,4.9228,1.1069,0.0
2018-12-31,14.65,33715140.0,10320.6967,4.9711,1.1178,0.0
2019-01-31,11.62,46400460.0,8190.6656,3.9452,0.8871,0.0
2019-02-28,12.51,46209200.0,8816.109,4.2464,0.9548,0.0
2019-03-31,11.58,57322880.0,8157.1912,3.2355,0.6976,0.0
2019-04-30,10.76,34606880.0,7582.8404,3.0077,0.6485,0.0
2019-05-31,12.36,35772540.0,8708.6384,3.4542,0.7448,0.0
2019-06-30,10.81,28642120.0,7618.0766,3.0217,0.6515,0.0
2019-07-31,9.08,22613820.0,6400.6643,2.5388,0.5474,0.0
2019-08-31,6.71,34706980.0,4728.7043,1.8756,0.4044,0.0
2019-09-30,7.37,50301420.0,5192.061,2.0594,0.444,0.0
2019-10-31,7.23,21018300.0,5096.9231,2.0217,0.4359,0.0
2019-11-30,8.26,33000780.0,5821.028,2.3089,0.4978,0.0
2019-12-31,11.6,73485080.0,8173.0475,3.2418,0.699,0.0
2020-01-31,10.14,71940020.0,7144.1491,2.8337,0.611,0.0
2020-02-29,8.4,35405360.0,5919.6895,2.348,0.5063,0.0
2020-03-31,5.23,41454220.0,3687.4732,2.2111,0.2782,0.0
2020-04-30,6.34,20366260.0,4469.7179,2.6801,0.3373,0.0
2020-05-31,5.86,17661200.0,4127.9263,2.4752,0.3115,0.0
2020-06-30,8.4,71610340.0,5917.9277,3.5485,0.4465,0.0
2020-07-31,8.53,53388540.0,6013.0656,3.6055,0.4537,0.0
2020-08-31,15.09,143533420.0,10634.2993,6.3765,0.8024,0.0
2020-09-30,14.98,40084420.0,10558.5414,6.3311,0.7967,0.0
2020-10-31,17.54,40090400.0,12359.1133,7.4107,0.9326,0.0
2020-11-30,20.91,60956580.0,14735.7981,8.8358,1.1119,0.0
2020-12-31,23.74,73019520.0,16726.646,10.0296,1.2621,0.0
2021-01-31,23.84,72749020.0,16798.8803,10.0729,1.2676,0.0
2021-02-28,28.94,98935260.0,20394.7392,12.229,1.5389,0.25
2021-03-31,35.94,126364500.0,25329.5754,15.651,1.2046,0.25
2021-04-30,46.71,64975700.0,32919.4628,20.3407,1.5656,0.25
2021-05-31,48.16,126101200.0,33937.7903,20.97,1.614,0.25
2021-06-30,65.49,136740920.0,46150.6732,28.5162,2.1948,0.25
