CCLP IN Equity,price,volume,mc,pe,bm,div
2020-09-30,265.6,4619040.0,35332.2156,21.2991,3.8057,5.0
2020-10-31,240.9,3816538.0,32046.4252,19.3184,3.4518,7.0
2020-11-30,266.25,4195477.0,35418.6829,21.3512,3.815,7.0
2020-12-31,267.7,4616455.0,35611.5734,21.4675,3.8358,7.0
2021-01-31,238.75,4418518.0,31760.4152,19.146,3.421,7.0
2021-02-28,228.6,5240126.0,30410.1818,18.332,3.2756,5.0
2021-03-31,233.95,5152192.0,31121.8812,17.0766,2.8623,2.0
2021-04-30,266.8,7088007.0,35491.8483,19.4745,3.2642,2.0
2021-05-31,354.5,28062192.0,47158.3966,25.8759,4.3372,2.0
2021-06-30,361.65,11096023.0,48109.5462,26.3978,4.4247,2.0
2021-07-31,442.5,44149714.0,58864.8546,32.2993,5.4139,2.0
2021-08-31,402.85,15667123.0,53590.2976,29.4051,4.9288,4.0
2021-09-30,384.55,9211490.0,51155.8866,28.0693,4.7049,4.0
2021-10-31,380.5,9418027.0,50617.1236,27.7737,4.6553,2.0
2021-11-30,403.85,6377504.0,53723.3255,29.4781,4.941,2.0
2021-12-31,429.25,9779135.0,57102.2347,31.3321,5.2518,2.0
2022-01-31,469.85,16390270.0,62503.1682,34.2956,5.7485,3.0
2022-02-28,447.75,14238375.0,59563.2512,32.6825,5.4781,3.0
2022-03-31,403.7,7955136.0,53703.3713,26.2826,4.2939,3.0
2022-04-30,408.15,10290552.0,54295.3455,26.5723,4.3412,3.0
2022-05-31,354.1,7046748.0,47105.1865,23.0534,3.7663,3.0
2022-06-30,383.45,4486304.0,51009.5559,24.9642,4.0785,3.0
2022-07-31,446.2,5265411.0,59357.0579,29.0495,4.7459,3.0
2022-08-31,480.0,9939717.0,63853.4016,31.25,5.1054,5.0
2022-09-30,502.5,9003643.0,66846.5298,32.7148,5.3448,5.0
2022-10-31,500.85,3329658.0,66627.0337,32.6074,5.3272,5.0
2022-11-30,546.1,5108405.0,72646.5471,35.5534,5.8085,5.0
2022-12-31,529.55,5434080.0,70444.935,34.4759,5.6325,5.0
2023-01-31,542.95,4190860.0,72227.5092,35.3483,5.775,6.0
2023-02-28,546.95,2906383.0,72759.6208,35.6087,5.8175,6.0
2023-03-31,567.65,3811860.0,75513.2988,26.5878,5.0433,6.0
2023-04-30,602.25,4081316.0,80116.0648,28.2084,5.3507,6.0
2023-05-31,634.5,5387296.0,84406.2152,29.719,5.6372,6.0
2023-06-30,664.45,2707295.0,88390.4014,31.1218,5.9033,6.0
2023-07-31,614.95,7578801.0,81805.5194,28.8033,5.4636,6.0
2023-08-31,606.0,3636905.0,80614.9195,28.3841,5.384,5.5
2023-09-30,645.7,5498005.0,85896.1279,30.2436,5.7368,5.5
2023-10-31,590.15,4193765.0,78506.427,27.6417,5.2432,5.5
2023-11-30,660.15,2839442.0,87818.3814,30.9204,5.8651,5.5
2023-12-31,643.75,4675405.0,85636.7235,30.1522,5.7194,5.5
2024-01-31,671.05,3276359.0,89268.3857,31.4309,5.962,5.5
2024-02-29,629.75,3117850.0,83774.3326,29.4965,5.595,5.0
2024-03-31,586.3,2350217.0,77994.2695,31.1862,4.6597,5.0
2024-04-30,591.55,3590055.0,78988.4411,31.4654,4.7014,5.0
2024-05-31,572.8,4747171.0,76484.7926,30.4681,4.5524,5.0
2024-06-30,591.05,4935095.0,78921.6771,31.4388,4.6974,5.0
2024-07-31,675.0,9379273.0,90131.346,35.9043,5.3646,5.0
2024-08-31,720.3,6977875.0,96180.1608,38.3138,5.7247,5.0
2024-09-30,704.05,17738440.0,94010.3321,37.4495,5.5955,4.5
2024-10-31,678.15,3441689.0,90551.9589,36.0718,5.3897,4.5
2024-11-30,791.45,13782201.0,105680.6723,42.0984,6.2901,4.5
2024-12-31,742.15,3777124.0,99097.7458,39.4761,5.8983,4.5
2025-01-31,621.7,3744665.0,83014.3079,33.0691,4.941,4.5
2025-02-28,580.2,4412475.0,77472.8992,30.8617,4.6112,4.5
2025-03-31,555.0,3846774.0,74107.9956,23.8799,3.7671,4.5
2025-04-30,591.5,3623661.0,78981.7647,25.4504,4.0149,2.0
2025-05-31,884.15,67789272.0,118058.7105,38.0422,6.0013,2.0
2025-06-30,849.55,8830941.0,113438.6444,36.5534,5.7664,2.0
2025-07-31,852.85,5239246.0,113879.2866,36.6954,5.7888,2.0
2025-08-31,871.5,6465907.0,116369.5823,37.4979,5.9154,7.0
2025-09-30,845.25,3711223.0,112864.4744,36.3684,5.7372,5.0
2025-10-31,859.75,1848530.0,114800.6292,36.9923,5.8357,5.0
2025-11-30,1008.6,24174116.0,134676.2601,43.3968,6.846,5.0
2025-12-31,944.2,4980486.0,126077.0621,40.6259,6.4089,5.0
2026-01-31,970.5,4212737.0,129588.8464,41.7575,6.5874,5.0
2026-02-28,1014.95,9827108.0,135524.1624,43.6701,6.8891,7.75
2026-03-31,1032.0,515439.0,137800.8134,44.4037,7.0048,7.75
