ESCORTS IN Equity,price,volume,mc,pe,bm,div
2011-02-28,113.05,36192650.0,11940.1145,7.1551,0.7082,1.5
2011-03-31,141.65,33965599.0,14960.7892,8.9652,0.8874,1.5
2011-04-30,137.1,13059746.0,14480.2273,8.6772,0.8589,1.5
2011-05-31,133.55,16330056.0,14105.2834,8.4525,0.8366,1.5
2011-06-30,113.0,24892229.0,11934.8336,7.1519,0.7079,1.5
2011-07-31,98.55,28460292.0,10408.6535,6.2373,0.6174,1.5
2011-08-31,69.05,41944569.0,7292.9226,4.3703,0.4326,1.5
2011-09-30,70.75,41864997.0,7472.4732,5.1567,0.4189,1.5
2011-10-31,85.25,38758522.0,9003.9342,6.2136,0.5047,1.5
2011-11-30,80.15,36744133.0,8465.2824,5.8418,0.4745,1.5
2011-12-31,66.1,23296424.0,6981.3495,4.8178,0.3914,1.5
2012-01-31,81.35,47195085.0,8592.024,5.9293,0.4817,1.5
2012-02-29,78.45,93840231.0,8285.7318,5.7179,0.4645,1.5
2012-03-31,68.6,34664610.0,7245.3945,5.0,0.4062,1.5
2012-04-30,73.75,64214799.0,7789.3272,5.3754,0.4367,1.5
2012-05-31,63.5,27235794.0,6706.7428,4.6283,0.376,1.5
2012-06-30,68.55,23675622.0,7240.1136,4.9964,0.4059,1.5
2012-07-31,58.1,34012306.0,6136.4056,4.2347,0.344,1.5
2012-08-31,61.15,32387871.0,6458.5405,4.457,0.3621,1.5
2012-09-30,63.95,32921202.0,6754.2709,10.3312,0.4764,1.5
2012-10-31,65.8,32512815.0,6949.6642,10.63,0.4902,1.5
2012-11-30,66.45,16214034.0,7018.3158,10.7351,0.495,1.5
2012-12-31,73.95,34768785.0,9064.5615,11.9467,0.5509,1.5
2013-01-31,67.5,16674032.0,8273.9405,10.9047,0.5028,1.5
2013-02-28,60.6,13307314.0,7428.1599,9.79,0.4514,1.5
2013-03-31,49.5,7482301.0,6067.5564,7.9968,0.3687,1.2
2013-04-30,57.1,6229396.0,6999.1408,9.2246,0.4254,1.2
2013-05-31,69.5,23571656.0,8519.0943,11.2278,0.5177,1.2
2013-06-30,73.6,26446612.0,9021.6585,11.8901,0.5483,1.2
2013-07-31,77.05,35626272.0,9444.5487,12.4475,0.574,1.2
2013-08-31,82.3,39161714.0,10088.0773,13.2956,0.6131,1.2
2013-09-30,84.55,16214305.0,10363.8753,13.6591,0.6299,1.2
